,episode,reward,epochs,epsilon,success
0,0,-1645.2713819339017,200,0.995,False
1,1,-1306.8960817954348,200,0.990025,False
2,2,-1415.997512801213,200,0.985074875,False
3,3,-1471.1122809795397,200,0.9801495006250001,False
4,4,-1498.2865821371274,200,0.9752487531218751,False
5,5,-885.3348155996543,200,0.9703725093562657,False
6,6,-1438.84570973967,200,0.9655206468094844,False
7,7,-854.2468928045238,200,0.960693043575437,False
8,8,-1008.4191761446283,200,0.9558895783575597,False
9,9,-1350.1395101396995,200,0.9511101304657719,False
10,10,-1175.209769302629,200,0.946354579813443,False
11,11,-1072.752522908383,200,0.9416228069143757,False
12,12,-853.0722847316016,200,0.9369146928798039,False
13,13,-1143.3837079647321,200,0.9322301194154049,False
14,14,-1316.4605079348855,200,0.9275689688183278,False
15,15,-1207.6567147481903,200,0.9229311239742362,False
16,16,-1336.084369851172,200,0.918316468354365,False
17,17,-1642.7913504659377,200,0.9137248860125932,False
18,18,-1052.2604074026492,200,0.9091562615825302,False
19,19,-1752.610422952326,200,0.9046104802746175,False
20,20,-767.9792996017499,200,0.9000874278732445,False
21,21,-1405.128472136772,200,0.8955869907338783,False
22,22,-860.7324675442661,200,0.8911090557802088,False
23,23,-981.9391824432413,200,0.8866535105013078,False
24,24,-1785.9332132918764,200,0.8822202429488013,False
25,25,-1665.8180677318726,200,0.8778091417340573,False
26,26,-1006.9089734849344,200,0.8734200960253871,False
27,27,-1630.7077008878443,200,0.8690529955452602,False
28,28,-1440.1670902126161,200,0.8647077305675338,False
29,29,-980.5208843714814,200,0.8603841919146962,False
30,30,-1739.205489365136,200,0.8560822709551227,False
31,31,-1667.3660778331612,200,0.851801859600347,False
32,32,-1257.3714397337853,200,0.8475428503023453,False
33,33,-1308.2500925552931,200,0.8433051360508336,False
34,34,-1801.1734289911678,200,0.8390886103705794,False
35,35,-1266.5939085099471,200,0.8348931673187264,False
36,36,-1165.7969323581735,200,0.8307187014821328,False
37,37,-1333.3471295017448,200,0.8265651079747222,False
38,38,-830.7182478736219,200,0.8224322824348486,False
39,39,-963.9058836477278,200,0.8183201210226743,False
40,40,-1157.8882974365088,200,0.8142285204175609,False
41,41,-760.1227479897151,200,0.810157377815473,False
42,42,-881.4491378953396,200,0.8061065909263957,False
43,43,-874.5833434423365,200,0.8020760579717637,False
44,44,-837.9484731841304,200,0.798065677681905,False
45,45,-1549.8443318967513,200,0.7940753492934954,False
46,46,-1616.9610328618494,200,0.7901049725470279,False
47,47,-1119.7956445176537,200,0.7861544476842928,False
48,48,-1257.6745815860702,200,0.7822236754458713,False
49,49,-952.6774763840955,200,0.778312557068642,False
50,50,-1085.817209897405,200,0.7744209942832988,False
51,51,-1288.4490020364747,200,0.7705488893118823,False
52,52,-592.1127820340166,200,0.7666961448653229,False
53,53,-1152.8832472646902,200,0.7628626641409962,False
54,54,-1717.3218992460422,200,0.7590483508202912,False
55,55,-928.8828951200604,200,0.7552531090661897,False
56,56,-1255.503481546551,200,0.7514768435208588,False
57,57,-1159.9875726334292,200,0.7477194593032545,False
58,58,-889.6701721558412,200,0.7439808620067382,False
59,59,-1184.5760028406146,200,0.7402609576967045,False
60,60,-1063.3315653869563,200,0.736559652908221,False
61,61,-974.5465765036378,200,0.7328768546436799,False
62,62,-1797.1955709989293,200,0.7292124703704616,False
63,63,-1041.5529344408742,200,0.7255664080186093,False
64,64,-1284.1137726988345,200,0.7219385759785162,False
65,65,-1518.9356139756467,200,0.7183288830986236,False
66,66,-863.938485291939,200,0.7147372386831305,False
67,67,-1460.4375521366655,200,0.7111635524897149,False
68,68,-1281.2570714241665,200,0.7076077347272662,False
69,69,-768.8116500606556,200,0.7040696960536299,False
70,70,-1122.5658470792312,200,0.7005493475733617,False
71,71,-962.6954609222744,200,0.697046600835495,False
72,72,-1608.9568543660457,200,0.6935613678313175,False
73,73,-1023.2102339431262,200,0.6900935609921609,False
74,74,-971.2883594492769,200,0.6866430931872001,False
75,75,-1131.096385546835,200,0.6832098777212641,False
76,76,-1751.4833339567138,200,0.6797938283326578,False
77,77,-944.045813356525,200,0.6763948591909945,False
78,78,-1660.9216364384363,200,0.6730128848950395,False
79,79,-1095.936809755282,200,0.6696478204705644,False
80,80,-1086.1239385461022,200,0.6662995813682115,False
81,81,-1359.186785093094,200,0.6629680834613705,False
82,82,-1628.3370799389218,200,0.6596532430440636,False
83,83,-969.9009778148072,200,0.6563549768288433,False
84,84,-1146.002713464172,200,0.653073201944699,False
85,85,-1269.915911726081,200,0.6498078359349755,False
86,86,-1647.5308808613413,200,0.6465587967553006,False
87,87,-975.9343216661052,200,0.6433260027715241,False
88,88,-1087.9502234456386,200,0.6401093727576664,False
89,89,-866.2324532537697,200,0.6369088258938781,False
90,90,-973.1533137107111,200,0.6337242817644086,False
91,91,-739.3452632968246,200,0.6305556603555866,False
92,92,-1727.834362244141,200,0.6274028820538087,False
93,93,-1176.2740945866085,200,0.6242658676435396,False
94,94,-1172.7310977769082,200,0.6211445383053219,False
95,95,-893.5176491872722,200,0.6180388156137953,False
96,96,-1432.2434263921164,200,0.6149486215357263,False
97,97,-1741.2670419159863,200,0.6118738784280476,False
98,98,-1301.4097258937663,200,0.6088145090359074,False
99,99,-1218.5693375580177,200,0.6057704364907278,False
100,100,-1273.8468491754013,200,0.6027415843082742,False
101,101,-1591.9156204051817,200,0.5997278763867329,False
102,102,-1505.116693897166,200,0.5967292370047992,False
103,103,-1471.9187771324011,200,0.5937455908197752,False
104,104,-1066.0553823342605,200,0.5907768628656763,False
105,105,-1057.412587249091,200,0.5878229785513479,False
106,106,-1366.1256962040604,200,0.5848838636585911,False
107,107,-1303.2564656450465,200,0.5819594443402982,False
108,108,-1183.3666852092865,200,0.5790496471185967,False
109,109,-1338.400052931069,200,0.5761543988830038,False
110,110,-1364.629201686041,200,0.5732736268885887,False
111,111,-1022.1302021136603,200,0.5704072587541458,False
112,112,-1293.6084817569838,200,0.567555222460375,False
113,113,-893.040003691965,200,0.5647174463480732,False
114,114,-1105.3278357506001,200,0.5618938591163328,False
115,115,-1168.2141831493525,200,0.5590843898207511,False
116,116,-1437.5028351177666,200,0.5562889678716474,False
117,117,-1478.673731218682,200,0.5535075230322891,False
118,118,-1330.6215880894288,200,0.5507399854171277,False
119,119,-1071.7031503860994,200,0.547986285490042,False
120,120,-1064.073680848618,200,0.5452463540625918,False
121,121,-838.3315825534058,200,0.5425201222922789,False
122,122,-806.8505030002966,200,0.5398075216808175,False
123,123,-1156.0539789199563,200,0.5371084840724134,False
124,124,-1436.149714196863,200,0.5344229416520513,False
125,125,-1127.39412780227,200,0.531750826943791,False
126,126,-972.3411322944264,200,0.5290920728090721,False
127,127,-702.9121686939044,200,0.5264466124450268,False
128,128,-1016.2672731392439,200,0.5238143793828016,False
129,129,-859.4793245084863,200,0.5211953074858876,False
130,130,-1771.1226606104992,200,0.5185893309484582,False
131,131,-1045.1236874124072,200,0.5159963842937159,False
132,132,-1471.3494572296427,200,0.5134164023722473,False
133,133,-985.2465073778634,200,0.510849320360386,False
134,134,-651.942085115131,200,0.5082950737585841,False
135,135,-1158.0638458374433,200,0.5057535983897912,False
136,136,-906.053992647546,200,0.5032248303978422,False
137,137,-899.2229885531992,200,0.500708706245853,False
138,138,-1797.0691553517313,200,0.4982051627146237,False
139,139,-1538.9050210899827,200,0.49571413690105054,False
140,140,-752.4485749570822,200,0.4932355662165453,False
141,141,-1158.135956637309,200,0.4907693883854626,False
142,142,-1194.5327068342488,200,0.4883155414435353,False
143,143,-964.8358148747986,200,0.4858739637363176,False
144,144,-1340.085178573157,200,0.483444593917636,False
145,145,-1088.9540400698327,200,0.4810273709480478,False
146,146,-851.4520532413891,200,0.47862223409330756,False
147,147,-857.6814854513326,200,0.47622912292284103,False
148,148,-1306.0543332980426,200,0.4738479773082268,False
149,149,-1512.0770075926614,200,0.47147873742168567,False
150,150,-736.1664974416809,200,0.46912134373457726,False
151,151,-1293.3128297367086,200,0.46677573701590436,False
152,152,-1013.2532938605017,200,0.46444185833082485,False
153,153,-900.163653490037,200,0.46211964903917074,False
154,154,-1421.2799755678705,200,0.4598090507939749,False
155,155,-1384.1952615755101,200,0.457510005540005,False
156,156,-1776.8203751261492,200,0.45522245551230495,False
157,157,-1486.374275061605,200,0.4529463432347434,False
158,158,-1481.2609931949232,200,0.4506816115185697,False
159,159,-1638.053732965547,200,0.4484282034609769,False
160,160,-1558.4720871293937,200,0.446186062443672,False
161,161,-854.1021819126336,200,0.4439551321314536,False
162,162,-1658.2664335524478,200,0.4417353564707963,False
163,163,-1198.1046351884925,200,0.43952667968844233,False
164,164,-1281.7340296228654,200,0.43732904629000013,False
165,165,-1173.0734991898407,200,0.4351424010585501,False
166,166,-1013.2930613163574,200,0.43296668905325736,False
167,167,-1267.3143308370516,200,0.43080185560799106,False
168,168,-1409.0937401963981,200,0.4286478463299511,False
169,169,-1011.5697114152134,200,0.42650460709830135,False
170,170,-1345.0667715421926,200,0.42437208406280985,False
171,171,-1697.3222454609622,200,0.4222502236424958,False
172,172,-1303.284946037816,200,0.42013897252428334,False
