,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,333.6448339173572,211,0.9,4,0.0,False
1,2,481.0383719977924,179,0.81,4,0.5,True
2,3,286.8351286478659,239,0.7290000000000001,4,0.333,False
3,4,335.30775294909256,79,0.6561000000000001,4,0.5,True
4,5,351.6338500453277,200,0.5904900000000002,4,0.4,False
5,6,219.37623925034842,220,0.5314410000000002,4,0.333,False
6,7,368.12648159116503,239,0.47829690000000014,4,0.286,False
7,8,243.74579218435667,222,0.43046721000000016,4,0.25,False
8,9,257.67779030633375,225,0.38742048900000015,4,0.222,False
9,10,411.7221955900314,210,0.34867844010000015,4,0.2,False
10,11,280.5823401888252,206,0.31381059609000017,4,0.182,False
11,12,332.9551436836947,163,0.28242953648100017,4,0.25,True
12,13,280.1381600913098,204,0.25418658283290013,4,0.231,False
13,14,209.82629349497128,217,0.22876792454961012,4,0.214,False
14,15,291.28435269347415,200,0.2058911320946491,4,0.2,False
15,16,175.11887715004252,212,0.1853020188851842,4,0.188,False
16,17,240.25129528451782,222,0.16677181699666577,4,0.176,False
17,18,242.42672573397851,222,0.1500946352969992,4,0.167,False
18,19,240.2322503774236,222,0.13508517176729928,4,0.158,False
19,20,150.11007573554804,213,0.12157665459056936,4,0.15,False
20,21,220.8579357845183,218,0.10941898913151243,4,0.143,False
21,22,166.2780685273434,212,0.0984770902183612,4,0.136,False
22,23,158.5475192866636,211,0.08862938119652508,4,0.13,False
23,24,145.99822503655437,212,0.07976644307687257,4,0.125,False
24,25,182.30822394359262,213,0.07178979876918531,4,0.12,False
25,26,224.98519755072758,219,0.06461081889226679,4,0.115,False
26,27,287.1189970857986,233,0.05814973700304011,4,0.111,False
27,28,190.63458997915717,214,0.0523347633027361,4,0.107,False
28,29,425.0390567201043,174,0.04710128697246249,4,0.138,True
29,30,269.9325400587869,78,0.042391158275216244,4,0.167,True
30,31,290.88866685060805,201,0.03815204244769462,4,0.161,False
31,32,134.39910267887305,209,0.03433683820292516,4,0.156,False
32,33,252.16683047095995,225,0.030903154382632643,4,0.152,False
33,34,308.75369539799846,237,0.02781283894436938,4,0.147,False
34,35,316.2758919095502,240,0.025031555049932444,4,0.143,False
35,36,290.3794204515407,202,0.0225283995449392,4,0.139,False
36,37,276.26988023178404,229,0.020275559590445278,4,0.135,False
37,38,182.8835187052128,213,0.01824800363140075,4,0.132,False
38,39,182.2429131632553,213,0.016423203268260675,4,0.128,False
39,40,246.71269275986106,223,0.014780882941434608,4,0.125,False
40,41,304.3921695735536,236,0.013302794647291147,4,0.122,False
41,42,134.0610357464188,209,0.011972515182562033,4,0.119,False
42,43,236.68675221974829,221,0.01077526366430583,4,0.116,False
43,44,281.9514533726322,230,0.009697737297875247,4,0.114,False
44,45,275.62511648930246,201,0.009697737297875247,4,0.111,False
45,46,364.8871231845583,248,0.009697737297875247,4,0.109,False
46,47,313.0706463214241,239,0.009697737297875247,4,0.106,False
47,48,251.1960861660964,223,0.009697737297875247,4,0.104,False
48,49,298.6923178050723,234,0.009697737297875247,4,0.102,False
49,50,252.27200346072766,224,0.009697737297875247,4,0.1,False
50,51,315.77329115512237,239,0.009697737297875247,4,0.098,False
51,52,189.36807365875052,216,0.009697737297875247,4,0.096,False
52,53,225.2148514057857,219,0.009697737297875247,4,0.094,False
53,54,159.93384043934043,211,0.009697737297875247,4,0.093,False
54,55,363.726621901151,250,0.009697737297875247,4,0.091,False
55,56,338.1817761124287,248,0.009697737297875247,4,0.089,False
56,57,238.22749397272693,221,0.009697737297875247,4,0.088,False
57,58,162.21443374918294,211,0.009697737297875247,4,0.086,False
58,59,184.65200481732012,214,0.009697737297875247,4,0.085,False
59,60,269.9731868596105,227,0.009697737297875247,4,0.083,False
60,61,262.89576526020227,226,0.009697737297875247,4,0.082,False
61,62,274.3154465136349,228,0.009697737297875247,4,0.081,False
62,63,332.1723693851959,245,0.009697737297875247,4,0.079,False
63,64,296.3362287693975,234,0.009697737297875247,4,0.078,False
64,65,195.7244219211278,215,0.009697737297875247,4,0.077,False
65,66,318.0903969339631,240,0.009697737297875247,4,0.076,False
66,67,235.26163452638704,221,0.009697737297875247,4,0.075,False
67,68,170.82392260704626,212,0.009697737297875247,4,0.074,False
68,69,199.3850466137845,215,0.009697737297875247,4,0.072,False
69,70,196.63323686001226,215,0.009697737297875247,4,0.071,False
70,71,363.82780798012413,250,0.009697737297875247,4,0.07,False
71,72,253.2976157459574,224,0.009697737297875247,4,0.069,False
72,73,278.0807436295845,202,0.009697737297875247,4,0.068,False
73,74,298.8820897673953,234,0.009697737297875247,4,0.068,False
74,75,188.87829814629498,214,0.009697737297875247,4,0.067,False
75,76,165.29628756427542,211,0.009697737297875247,4,0.066,False
76,77,128.07177272830728,208,0.009697737297875247,4,0.065,False
77,78,183.02630227032847,213,0.009697737297875247,4,0.064,False
78,79,315.3774607280442,239,0.009697737297875247,4,0.063,False
79,80,145.80044985482223,212,0.009697737297875247,4,0.062,False
80,81,304.33588915228586,236,0.009697737297875247,4,0.062,False
81,82,291.368596423487,232,0.009697737297875247,4,0.061,False
82,83,151.97271203533444,210,0.009697737297875247,4,0.06,False
83,84,335.14307164069623,246,0.009697737297875247,4,0.06,False
84,85,276.2971785175091,201,0.009697737297875247,4,0.059,False
85,86,285.76871984315824,206,0.009697737297875247,4,0.058,False
86,87,321.63690813012937,241,0.009697737297875247,4,0.057,False
87,88,253.78165446619948,224,0.009697737297875247,4,0.057,False
88,89,327.78284748261797,244,0.009697737297875247,4,0.056,False
89,90,203.68358592244311,216,0.009697737297875247,4,0.056,False
90,91,137.1106830166186,209,0.009697737297875247,4,0.055,False
91,92,153.9428548605464,210,0.009697737297875247,4,0.054,False
92,93,158.7164201652979,211,0.009697737297875247,4,0.054,False
93,94,174.85355506064354,212,0.009697737297875247,4,0.053,False
94,95,138.2318693837819,209,0.009697737297875247,4,0.053,False
95,96,290.6942001148129,200,0.009697737297875247,4,0.052,False
96,97,293.2821438422425,233,0.009697737297875247,4,0.052,False
97,98,332.9407210908453,246,0.009697737297875247,4,0.051,False
98,99,287.6558467158584,207,0.009697737297875247,4,0.051,False
99,100,254.03879047536736,224,0.009697737297875247,4,0.05,False
100,101,290.70521146757545,200,0.009697737297875247,4,0.05,False
101,102,275.06425812053476,228,0.009697737297875247,4,0.05,False
102,103,269.9438404130747,227,0.009697737297875247,4,0.05,False
103,104,194.6586237554728,215,0.009697737297875247,4,0.05,False
104,105,228.73804376006575,220,0.009697737297875247,4,0.05,False
105,106,185.62758804673052,214,0.009697737297875247,4,0.05,False
106,107,273.5699607478456,200,0.009697737297875247,4,0.05,False
107,108,245.08926672221844,222,0.009697737297875247,4,0.05,False
108,109,190.28296132454983,214,0.009697737297875247,4,0.05,False
109,110,284.56468998573854,205,0.009697737297875247,4,0.05,False
110,111,311.06233088515273,238,0.009697737297875247,4,0.05,False
111,112,195.69011786626638,215,0.009697737297875247,4,0.05,False
112,113,161.91680955046309,211,0.009697737297875247,4,0.05,False
113,114,315.92135330117867,240,0.009697737297875247,4,0.05,False
114,115,199.72350644065688,215,0.009697737297875247,4,0.05,False
115,116,230.41831163148146,220,0.009697737297875247,4,0.05,False
116,117,200.67518484978626,216,0.009697737297875247,4,0.05,False
117,118,167.6953435387519,212,0.009697737297875247,4,0.05,False
118,119,227.60012470071652,219,0.009697737297875247,4,0.05,False
119,120,327.9637320093258,244,0.009697737297875247,4,0.05,False
120,121,270.3436966315026,227,0.009697737297875247,4,0.05,False
121,122,230.78355370101036,220,0.009697737297875247,4,0.05,False
122,123,292.4424263568826,233,0.009697737297875247,4,0.05,False
123,124,136.4288317209516,209,0.009697737297875247,4,0.05,False
124,125,273.4069925887044,78,0.009697737297875247,4,0.05,True
125,126,312.80655323876397,239,0.009697737297875247,4,0.05,False
126,127,281.35081210962363,230,0.009697737297875247,4,0.05,False
127,128,150.04722832118557,210,0.009697737297875247,4,0.05,False
128,129,314.64211830039255,239,0.009697737297875247,4,0.05,False
129,130,290.9646562767217,201,0.009697737297875247,4,0.05,False
130,131,159.8861529676708,211,0.009697737297875247,4,0.05,False
131,132,207.6458189356692,216,0.009697737297875247,4,0.05,False
132,133,340.37327997589523,249,0.009697737297875247,4,0.05,False
133,134,243.7096772793417,222,0.009697737297875247,4,0.05,False
134,135,142.3948709406263,209,0.009697737297875247,4,0.05,False
135,136,322.2626333174237,242,0.009697737297875247,4,0.05,False
136,137,286.12221899913004,206,0.009697737297875247,4,0.05,False
137,138,223.94381690165156,219,0.009697737297875247,4,0.05,False
138,139,133.33789554750098,208,0.009697737297875247,4,0.05,False
139,140,313.87175493476093,162,0.009697737297875247,4,0.05,True
140,141,210.40811668832302,217,0.009697737297875247,4,0.05,False
141,142,365.24112356817375,249,0.009697737297875247,4,0.05,False
142,143,208.53673599673186,217,0.009697737297875247,4,0.05,False
143,144,285.3182092345143,231,0.009697737297875247,4,0.05,False
144,145,185.05174309538546,214,0.009697737297875247,4,0.05,False
145,146,275.7182701140932,229,0.009697737297875247,4,0.05,False
146,147,260.9572899695557,225,0.009697737297875247,4,0.05,False
147,148,185.91721365864345,214,0.009697737297875247,4,0.05,False
148,149,182.68423436927247,213,0.009697737297875247,4,0.05,False
149,150,364.71972251525176,248,0.009697737297875247,4,0.05,False
150,151,131.03266868813648,211,0.009697737297875247,4,0.05,False
151,152,233.77195009172993,220,0.009697737297875247,4,0.05,False
152,153,222.80284494745993,219,0.009697737297875247,4,0.05,False
153,154,267.8969432715208,227,0.009697737297875247,4,0.05,False
