,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,-1415.1559836417614,200,0.999,8,0.0,False
1,2,-1378.5494952410131,200,0.998001,8,0.0,False
2,3,-1168.5579732228853,200,0.997002999,8,0.0,False
3,4,-1386.165317062907,200,0.996005996001,8,0.0,False
4,5,-1165.5622258501485,200,0.995009990004999,8,0.0,False
5,6,-1097.605469999081,200,0.994014980014994,8,0.0,False
6,7,-1172.0437791359702,200,0.993020965034979,8,0.0,False
7,8,-1038.8384978366973,200,0.9920279440699441,8,0.0,False
8,9,-1239.5931312407454,200,0.9910359161258742,8,0.0,False
9,10,-1393.5315483333593,200,0.9900448802097482,8,0.0,False
10,11,-1280.0317087619944,200,0.9890548353295385,8,0.0,False
11,12,-1017.9539313254279,200,0.988065780494209,8,0.0,False
12,13,-1016.1702019238674,200,0.9870777147137147,8,0.0,False
13,14,-641.8594137257074,200,0.986090636999001,8,0.0,False
14,15,-1284.0445012553614,200,0.9851045463620021,8,0.0,False
15,16,-906.0402788726053,200,0.98411944181564,8,0.0,False
16,17,-1283.9776159557305,200,0.9831353223738244,8,0.0,False
17,18,-1355.333216488406,200,0.9821521870514506,8,0.0,False
18,19,-1228.9047063366165,200,0.9811700348643991,8,0.0,False
19,20,-1251.4777495905212,200,0.9801888648295347,8,0.0,False
20,21,-1329.319232587125,200,0.9792086759647052,8,0.0,False
21,22,-1590.1887197664014,200,0.9782294672887405,8,0.0,False
22,23,-1254.517199481838,200,0.9772512378214517,8,0.0,False
23,24,-1150.0492152312931,200,0.9762739865836303,8,0.0,False
24,25,-1365.80963271091,200,0.9752977125970467,8,0.0,False
25,26,-1420.0580712413803,200,0.9743224148844496,8,0.0,False
26,27,-1452.0401063229347,200,0.9733480924695651,8,0.0,False
27,28,-1331.543638103233,200,0.9723747443770956,8,0.0,False
28,29,-1102.5796998357707,200,0.9714023696327185,8,0.0,False
29,30,-1048.1412957383973,200,0.9704309672630859,8,0.0,False
30,31,-1043.2127394231795,200,0.9694605362958227,8,0.0,False
31,32,-1485.589584663251,200,0.9684910757595269,8,0.0,False
32,33,-1020.3157404114713,200,0.9675225846837673,8,0.0,False
33,34,-903.3448550292649,200,0.9665550620990835,8,0.0,False
34,35,-1169.0203934478718,200,0.9655885070369844,8,0.0,False
35,36,-1051.1846503435677,200,0.9646229185299474,8,0.0,False
36,37,-1070.214156287955,200,0.9636582956114175,8,0.0,False
37,38,-1443.0251572600332,200,0.9626946373158061,8,0.0,False
38,39,-977.282964613765,200,0.9617319426784903,8,0.0,False
39,40,-1532.6561066662712,200,0.9607702107358118,8,0.0,False
40,41,-993.9195528359853,200,0.959809440525076,8,0.0,False
41,42,-1432.358543127707,200,0.9588496310845509,8,0.0,False
42,43,-1087.3794744637346,200,0.9578907814534664,8,0.0,False
43,44,-1375.2461876802472,200,0.9569328906720129,8,0.0,False
44,45,-1202.4194191719005,200,0.9559759577813409,8,0.0,False
45,46,-899.383550022498,200,0.9550199818235596,8,0.0,False
46,47,-1107.4551792785599,200,0.9540649618417361,8,0.0,False
47,48,-1250.544783712985,200,0.9531108968798944,8,0.0,False
48,49,-1020.1437602701036,200,0.9521577859830145,8,0.0,False
49,50,-1307.6846640452907,200,0.9512056281970315,8,0.0,False
50,51,-1149.6736030248207,200,0.9502544225688344,8,0.0,False
51,52,-1063.8424424281172,200,0.9493041681462656,8,0.0,False
52,53,-856.7382341164398,200,0.9483548639781193,8,0.0,False
53,54,-1267.1291005135317,200,0.9474065091141411,8,0.0,False
54,55,-1216.866058078909,200,0.946459102605027,8,0.0,False
55,56,-1420.5295924584018,200,0.9455126435024219,8,0.0,False
56,57,-933.4543591181235,200,0.9445671308589195,8,0.0,False
57,58,-1535.28624266424,200,0.9436225637280606,8,0.0,False
58,59,-1185.768720923679,200,0.9426789411643326,8,0.0,False
59,60,-1127.6767298018974,200,0.9417362622231683,8,0.0,False
60,61,-1019.0918896563369,200,0.9407945259609451,8,0.0,False
61,62,-1277.1594104577164,200,0.9398537314349842,8,0.0,False
62,63,-1196.2607996388206,200,0.9389138777035492,8,0.0,False
63,64,-881.9859492736194,200,0.9379749638258457,8,0.0,False
64,65,-1381.8384313837205,200,0.9370369888620198,8,0.0,False
65,66,-1073.6416768466706,200,0.9360999518731578,8,0.0,False
66,67,-920.8788278297567,200,0.9351638519212846,8,0.0,False
67,68,-1231.0602027784428,200,0.9342286880693633,8,0.0,False
68,69,-1281.9727781570416,200,0.933294459381294,8,0.0,False
69,70,-1073.9432382907726,200,0.9323611649219127,8,0.0,False
70,71,-1331.4139345637973,200,0.9314288037569908,8,0.0,False
71,72,-1250.693824427904,200,0.9304973749532338,8,0.0,False
72,73,-1038.5418603235619,200,0.9295668775782806,8,0.0,False
73,74,-1517.912352727035,200,0.9286373107007023,8,0.0,False
74,75,-1292.27780237748,200,0.9277086733900016,8,0.0,False
75,76,-1207.6326145385128,200,0.9267809647166116,8,0.0,False
76,77,-1062.3828716143948,200,0.925854183751895,8,0.0,False
77,78,-878.2800428580135,200,0.9249283295681431,8,0.0,False
78,79,-1437.6895100647546,200,0.9240034012385749,8,0.0,False
79,80,-1452.2166249432555,200,0.9230793978373364,8,0.0,False
80,81,-1341.2349229027516,200,0.9221563184394991,8,0.0,False
81,82,-1240.677816031283,200,0.9212341621210596,8,0.0,False
82,83,-1099.9530272675893,200,0.9203129279589385,8,0.0,False
83,84,-1194.7021419813275,200,0.9193926150309796,8,0.0,False
84,85,-1200.9677547605522,200,0.9184732224159486,8,0.0,False
85,86,-1229.5932595872619,200,0.9175547491935327,8,0.0,False
86,87,-905.556109015244,200,0.9166371944443392,8,0.0,False
87,88,-1298.6794908687543,200,0.9157205572498949,8,0.0,False
88,89,-847.9469157386425,200,0.914804836692645,8,0.0,False
89,90,-843.1870571839908,200,0.9138900318559524,8,0.0,False
90,91,-1361.1365152863696,200,0.9129761418240965,8,0.0,False
91,92,-1136.5483746026566,200,0.9120631656822724,8,0.0,False
92,93,-1339.5723035234237,200,0.9111511025165902,8,0.0,False
93,94,-1207.5238596664854,200,0.9102399514140735,8,0.0,False
94,95,-1261.4705606783746,200,0.9093297114626595,8,0.0,False
95,96,-996.3031304915277,200,0.9084203817511969,8,0.0,False
96,97,-1272.0759326297818,200,0.9075119613694457,8,0.0,False
97,98,-1458.417247909912,200,0.9066044494080763,8,0.0,False
98,99,-1430.321015712163,200,0.9056978449586682,8,0.0,False
99,100,-1432.2672740311987,200,0.9047921471137096,8,0.0,False
100,101,-1388.2096266953808,200,0.9047921471137096,8,0.0,False
101,102,-1190.187556370824,200,0.9047921471137096,8,0.0,False
102,103,-546.108374977485,200,0.9047921471137096,8,0.0,False
103,104,-478.5861592053898,200,0.9047921471137096,8,0.0,False
104,105,-1374.1102330251686,200,0.9047921471137096,8,0.0,False
105,106,-1151.9021044308952,200,0.9047921471137096,8,0.0,False
106,107,-1324.2712276191403,200,0.9047921471137096,8,0.0,False
107,108,-1494.134808206978,200,0.9047921471137096,8,0.0,False
108,109,-1008.1771563930479,200,0.9047921471137096,8,0.0,False
109,110,-1416.1955154870695,200,0.9047921471137096,8,0.0,False
110,111,-1113.7657094864126,200,0.9047921471137096,8,0.0,False
111,112,-886.9789451722424,200,0.9047921471137096,8,0.0,False
112,113,-870.2496851394017,200,0.9047921471137096,8,0.0,False
113,114,-1429.0806879442969,200,0.9047921471137096,8,0.0,False
114,115,-827.7683700311851,200,0.9047921471137096,8,0.0,False
115,116,-1391.9072978228303,200,0.9047921471137096,8,0.0,False
116,117,-1027.2009952022374,200,0.9047921471137096,8,0.0,False
117,118,-1114.7303265022442,200,0.9047921471137096,8,0.0,False
118,119,-1318.0879508105297,200,0.9047921471137096,8,0.0,False
119,120,-1486.5147617339896,200,0.9047921471137096,8,0.0,False
120,121,-1506.319975620979,200,0.9047921471137096,8,0.0,False
121,122,-1207.2532486614004,200,0.9047921471137096,8,0.0,False
122,123,-1050.5931420680024,200,0.9047921471137096,8,0.0,False
123,124,-965.8328281737085,200,0.9047921471137096,8,0.0,False
124,125,-1022.2797292415613,200,0.9047921471137096,8,0.0,False
125,126,-1138.1164126774795,200,0.9047921471137096,8,0.0,False
126,127,-1553.7033874117649,200,0.9047921471137096,8,0.0,False
127,128,-1344.138643593451,200,0.9047921471137096,8,0.0,False
128,129,-1382.132068890432,200,0.9047921471137096,8,0.0,False
129,130,-1061.5643152040086,200,0.9047921471137096,8,0.0,False
130,131,-1358.8482048203036,200,0.9047921471137096,8,0.0,False
131,132,-1246.5156657924465,200,0.9047921471137096,8,0.0,False
132,133,-1142.2092578756728,200,0.9047921471137096,8,0.0,False
133,134,-1191.534679730111,200,0.9047921471137096,8,0.0,False
134,135,-1220.2710423961237,200,0.9047921471137096,8,0.0,False
135,136,-1156.020192116888,200,0.9047921471137096,8,0.0,False
136,137,-1112.090758003363,200,0.9047921471137096,8,0.0,False
137,138,-1466.1795886850387,200,0.9047921471137096,8,0.0,False
138,139,-1354.7849361758167,200,0.9047921471137096,8,0.0,False
139,140,-770.5432104621838,200,0.9047921471137096,8,0.0,False
140,141,-857.372069400425,200,0.9047921471137096,8,0.0,False
141,142,-1445.200002616694,200,0.9047921471137096,8,0.0,False
142,143,-1236.4528240379861,200,0.9047921471137096,8,0.0,False
143,144,-1411.4134738860164,200,0.9047921471137096,8,0.0,False
144,145,-1389.7317328839995,200,0.9047921471137096,8,0.0,False
145,146,-929.8565068298631,200,0.9047921471137096,8,0.0,False
146,147,-747.9440792691125,200,0.9047921471137096,8,0.0,False
147,148,-1433.9893517963526,200,0.9047921471137096,8,0.0,False
148,149,-1006.4435203134219,200,0.9047921471137096,8,0.0,False
149,150,-884.3793231920743,200,0.9047921471137096,8,0.0,False
150,151,-797.2182003043536,200,0.9047921471137096,8,0.0,False
