,episode,reward,epochs,epsilon,success
0,0,-917.1459554023922,200,0.999,False
1,1,-1662.5099505145108,200,0.998001,False
2,2,-857.2333143055779,200,0.997002999,False
3,3,-1728.0561989653597,200,0.996005996001,False
4,4,-1069.6375291787222,200,0.995009990004999,False
5,5,-1632.9005649875292,200,0.994014980014994,False
6,6,-898.7328288309126,200,0.993020965034979,False
7,7,-1224.2459800060797,200,0.9920279440699441,False
8,8,-816.6713260469096,200,0.9910359161258742,False
9,9,-1067.9902170638495,200,0.9900448802097482,False
10,10,-1110.3005803748506,200,0.9890548353295385,False
11,11,-1708.7965729874593,200,0.988065780494209,False
12,12,-1254.6580286985704,200,0.9870777147137147,False
13,13,-992.5019623949596,200,0.986090636999001,False
14,14,-1592.2219114861987,200,0.9851045463620021,False
15,15,-963.0336251774279,200,0.98411944181564,False
16,16,-1554.4434972742963,200,0.9831353223738244,False
17,17,-1052.4946735444578,200,0.9821521870514506,False
18,18,-1078.8686970988235,200,0.9811700348643991,False
19,19,-724.4181630063321,200,0.9801888648295347,False
20,20,-1299.0059842393034,200,0.9792086759647052,False
21,21,-1288.2368845242113,200,0.9782294672887405,False
22,22,-1462.8586844114118,200,0.9772512378214517,False
23,23,-1067.8396514636763,200,0.9762739865836303,False
24,24,-1164.8537910736968,200,0.9752977125970467,False
25,25,-1362.2926626904607,200,0.9743224148844496,False
26,26,-1201.4165107997712,200,0.9733480924695651,False
27,27,-1508.436956596344,200,0.9723747443770956,False
28,28,-990.3300913225453,200,0.9714023696327185,False
29,29,-981.496552426708,200,0.9704309672630859,False
30,30,-966.270570317907,200,0.9694605362958227,False
31,31,-1497.0126918950698,200,0.9684910757595269,False
32,32,-1171.2783890813234,200,0.9675225846837673,False
33,33,-1501.954437994694,200,0.9665550620990835,False
34,34,-830.2010782190002,200,0.9655885070369844,False
35,35,-1534.6591151885314,200,0.9646229185299474,False
36,36,-1461.2613701726868,200,0.9636582956114175,False
37,37,-1064.423676217073,200,0.9626946373158061,False
38,38,-686.9751661554778,200,0.9617319426784903,False
39,39,-1072.0472119718725,200,0.9607702107358118,False
40,40,-1717.5598559805462,200,0.959809440525076,False
41,41,-988.3149776135168,200,0.9588496310845509,False
42,42,-1767.375424859884,200,0.9578907814534664,False
43,43,-741.7049976333966,200,0.9569328906720129,False
44,44,-1161.5571013258948,200,0.9559759577813409,False
45,45,-1080.8656623037195,200,0.9550199818235596,False
46,46,-611.142085954865,200,0.9540649618417361,False
47,47,-1314.3521628979322,200,0.9531108968798944,False
48,48,-1616.0964113863897,200,0.9521577859830145,False
49,49,-1112.6735870127238,200,0.9512056281970315,False
50,50,-1413.8236377195008,200,0.9502544225688344,False
51,51,-1178.2106804162809,200,0.9493041681462656,False
52,52,-1174.8330260744583,200,0.9483548639781193,False
53,53,-1171.864949547745,200,0.9474065091141411,False
54,54,-1239.9909700346266,200,0.946459102605027,False
55,55,-1659.16970822052,200,0.9455126435024219,False
56,56,-1516.3207168932602,200,0.9445671308589195,False
57,57,-1437.029671697751,200,0.9436225637280606,False
58,58,-885.099693935133,200,0.9426789411643326,False
59,59,-830.8660079672447,200,0.9417362622231683,False
60,60,-1696.637204388082,200,0.9407945259609451,False
61,61,-1281.6464432109985,200,0.9398537314349842,False
62,62,-1348.7854807219449,200,0.9389138777035492,False
63,63,-1398.095319225393,200,0.9379749638258457,False
64,64,-1678.4964566866238,200,0.9370369888620198,False
65,65,-1348.31184035476,200,0.9360999518731578,False
66,66,-1706.2055454211823,200,0.9351638519212846,False
67,67,-1181.985378306244,200,0.9342286880693633,False
68,68,-1180.3505681374195,200,0.933294459381294,False
69,69,-1267.9639042990354,200,0.9323611649219127,False
70,70,-955.6774689385911,200,0.9314288037569908,False
