,episode,reward,epochs,success
0,0,591.0,410,True
1,1,838.0,163,True
2,2,733.0,268,True
3,3,832.0,169,True
4,4,899.0,102,True
5,5,807.0,194,True
6,6,821.0,180,True
7,7,841.0,160,True
8,8,764.0,237,True
9,9,758.0,243,True
10,10,827.0,174,True
11,11,793.0,208,True
12,12,858.0,143,True
13,13,831.0,170,True
14,14,749.0,252,True
15,15,770.0,231,True
16,16,769.0,232,True
17,17,839.0,162,True
18,18,753.0,248,True
19,19,854.0,147,True
20,20,799.0,202,True
21,21,748.0,253,True
22,22,832.0,169,True
23,23,847.0,154,True
24,24,636.0,365,True
25,25,773.0,228,True
26,26,816.0,185,True
27,27,716.0,285,True
28,28,866.0,135,True
29,29,781.0,220,True
30,30,835.0,166,True
31,31,838.0,163,True
32,32,777.0,224,True
33,33,728.0,273,True
34,34,808.0,193,True
35,35,823.0,178,True
36,36,761.0,240,True
37,37,810.0,191,True
38,38,864.0,137,True
39,39,622.0,379,True
40,40,762.0,239,True
41,41,822.0,179,True
42,42,780.0,221,True
43,43,758.0,243,True
44,44,772.0,229,True
45,45,815.0,186,True
46,46,876.0,125,True
47,47,719.0,282,True
48,48,759.0,242,True
49,49,848.0,153,True
50,50,847.0,154,True
51,51,836.0,165,True
52,52,769.0,232,True
53,53,797.0,204,True
54,54,760.0,241,True
55,55,793.0,208,True
56,56,776.0,225,True
57,57,793.0,208,True
58,58,749.0,252,True
59,59,806.0,195,True
60,60,673.0,328,True
61,61,724.0,277,True
62,62,848.0,153,True
63,63,847.0,154,True
64,64,721.0,280,True
65,65,767.0,234,True
66,66,746.0,255,True
67,67,790.0,211,True
68,68,859.0,142,True
69,69,817.0,184,True
70,70,749.0,252,True
71,71,861.0,140,True
72,72,840.0,161,True
73,73,707.0,294,True
74,74,759.0,242,True
75,75,780.0,221,True
76,76,847.0,154,True
77,77,795.0,206,True
78,78,799.0,202,True
79,79,808.0,193,True
80,80,750.0,251,True
81,81,797.0,204,True
82,82,760.0,241,True
83,83,738.0,263,True
84,84,777.0,224,True
85,85,757.0,244,True
86,86,785.0,216,True
87,87,774.0,227,True
88,88,850.0,151,True
89,89,780.0,221,True
90,90,839.0,162,True
91,91,811.0,190,True
92,92,843.0,158,True
93,93,757.0,244,True
94,94,851.0,150,True
95,95,834.0,167,True
96,96,839.0,162,True
97,97,807.0,194,True
98,98,819.0,182,True
99,99,800.0,201,True
100,100,782.0,219,True
101,101,834.0,167,True
102,102,826.0,175,True
103,103,790.0,211,True
104,104,763.0,238,True
105,105,711.0,290,True
106,106,755.0,246,True
107,107,829.0,172,True
108,108,789.0,212,True
109,109,773.0,228,True
110,110,760.0,241,True
111,111,717.0,284,True
112,112,768.0,233,True
113,113,818.0,183,True
114,114,724.0,277,True
115,115,703.0,298,True
116,116,830.0,171,True
117,117,738.0,263,True
118,118,790.0,211,True
119,119,740.0,261,True
120,120,796.0,205,True
121,121,829.0,172,True
122,122,676.0,325,True
123,123,826.0,175,True
124,124,654.0,347,True
125,125,741.0,260,True
126,126,739.0,262,True
127,127,859.0,142,True
128,128,781.0,220,True
129,129,856.0,145,True
130,130,832.0,169,True
131,131,754.0,247,True
132,132,859.0,142,True
133,133,781.0,220,True
134,134,808.0,193,True
135,135,854.0,147,True
136,136,667.0,334,True
137,137,816.0,185,True
138,138,727.0,274,True
139,139,847.0,154,True
140,140,839.0,162,True
141,141,754.0,247,True
142,142,800.0,201,True
143,143,809.0,192,True
144,144,793.0,208,True
145,145,812.0,189,True
146,146,765.0,236,True
147,147,823.0,178,True
148,148,705.0,296,True
149,149,717.0,284,True
150,150,808.0,193,True
151,151,591.0,410,True
152,152,786.0,215,True
153,153,816.0,185,True
154,154,807.0,194,True
155,155,671.0,330,True
156,156,727.0,274,True
157,157,806.0,195,True
158,158,846.0,155,True
159,159,829.0,172,True
160,160,872.0,129,True
161,161,763.0,238,True
162,162,828.0,173,True
163,163,791.0,210,True
164,164,668.0,333,True
165,165,749.0,252,True
166,166,789.0,212,True
167,167,802.0,199,True
168,168,829.0,172,True
169,169,723.0,278,True
170,170,736.0,265,True
171,171,824.0,177,True
172,172,763.0,238,True
173,173,770.0,231,True
174,174,762.0,239,True
175,175,781.0,220,True
176,176,723.0,278,True
177,177,710.0,291,True
178,178,807.0,194,True
179,179,752.0,249,True
180,180,777.0,224,True
181,181,727.0,274,True
182,182,755.0,246,True
183,183,785.0,216,True
184,184,841.0,160,True
185,185,703.0,298,True
186,186,771.0,230,True
187,187,723.0,278,True
188,188,810.0,191,True
189,189,813.0,188,True
190,190,760.0,241,True
191,191,734.0,267,True
192,192,680.0,321,True
193,193,858.0,143,True
194,194,741.0,260,True
195,195,775.0,226,True
196,196,794.0,207,True
197,197,683.0,318,True
198,198,841.0,160,True
199,199,754.0,247,True
200,200,862.0,139,True
201,201,771.0,230,True
202,202,814.0,187,True
203,203,813.0,188,True
204,204,815.0,186,True
205,205,829.0,172,True
206,206,853.0,148,True
207,207,742.0,259,True
208,208,781.0,220,True
209,209,772.0,229,True
210,210,806.0,195,True
211,211,761.0,240,True
212,212,801.0,200,True
213,213,823.0,178,True
214,214,787.0,214,True
215,215,864.0,137,True
216,216,756.0,245,True
217,217,745.0,256,True
218,218,803.0,198,True
219,219,782.0,219,True
220,220,796.0,205,True
221,221,718.0,283,True
222,222,739.0,262,True
223,223,802.0,199,True
224,224,727.0,274,True
225,225,808.0,193,True
226,226,804.0,197,True
227,227,752.0,249,True
228,228,838.0,163,True
229,229,851.0,150,True
230,230,792.0,209,True
231,231,795.0,206,True
232,232,743.0,258,True
233,233,806.0,195,True
234,234,824.0,177,True
235,235,802.0,199,True
236,236,772.0,229,True
237,237,811.0,190,True
238,238,756.0,245,True
239,239,841.0,160,True
240,240,897.0,104,True
241,241,795.0,206,True
242,242,848.0,153,True
243,243,859.0,142,True
244,244,790.0,211,True
245,245,891.0,110,True
246,246,822.0,179,True
247,247,805.0,196,True
248,248,845.0,156,True
249,249,768.0,233,True
250,250,699.0,302,True
251,251,815.0,186,True
252,252,841.0,160,True
253,253,884.0,117,True
254,254,794.0,207,True
255,255,776.0,225,True
256,256,777.0,224,True
257,257,597.0,404,True
258,258,814.0,187,True
259,259,759.0,242,True
260,260,830.0,171,True
261,261,767.0,234,True
262,262,846.0,155,True
263,263,830.0,171,True
264,264,760.0,241,True
265,265,763.0,238,True
266,266,817.0,184,True
267,267,792.0,209,True
268,268,825.0,176,True
269,269,825.0,176,True
270,270,727.0,274,True
271,271,846.0,155,True
272,272,710.0,291,True
273,273,840.0,161,True
274,274,807.0,194,True
275,275,882.0,119,True
276,276,767.0,234,True
277,277,828.0,173,True
278,278,772.0,229,True
279,279,697.0,304,True
280,280,714.0,287,True
281,281,833.0,168,True
282,282,892.0,109,True
283,283,801.0,200,True
284,284,785.0,216,True
285,285,834.0,167,True
286,286,800.0,201,True
287,287,794.0,207,True
288,288,723.0,278,True
289,289,856.0,145,True
290,290,829.0,172,True
291,291,848.0,153,True
292,292,691.0,310,True
293,293,685.0,316,True
294,294,766.0,235,True
295,295,786.0,215,True
296,296,797.0,204,True
297,297,814.0,187,True
298,298,774.0,227,True
299,299,816.0,185,True
300,300,814.0,187,True
301,301,750.0,251,True
302,302,775.0,226,True
303,303,803.0,198,True
304,304,772.0,229,True
305,305,812.0,189,True
306,306,798.0,203,True
307,307,793.0,208,True
308,308,755.0,246,True
309,309,812.0,189,True
310,310,637.0,364,True
311,311,828.0,173,True
312,312,839.0,162,True
313,313,826.0,175,True
314,314,815.0,186,True
315,315,852.0,149,True
316,316,847.0,154,True
317,317,703.0,298,True
318,318,760.0,241,True
319,319,827.0,174,True
320,320,688.0,313,True
321,321,811.0,190,True
322,322,768.0,233,True
323,323,727.0,274,True
324,324,825.0,176,True
325,325,763.0,238,True
326,326,773.0,228,True
327,327,788.0,213,True
328,328,634.0,367,True
329,329,704.0,297,True
330,330,829.0,172,True
331,331,817.0,184,True
332,332,835.0,166,True
333,333,833.0,168,True
334,334,760.0,241,True
335,335,731.0,270,True
336,336,837.0,164,True
337,337,759.0,242,True
338,338,861.0,140,True
339,339,742.0,259,True
340,340,800.0,201,True
341,341,840.0,161,True
