,episode,reward,epochs,success
0,0,10.0,10,False
1,1,8.0,8,False
2,2,10.0,10,False
3,3,10.0,10,False
4,4,10.0,10,False
5,5,8.0,8,False
6,6,9.0,9,False
7,7,9.0,9,False
8,8,9.0,9,False
9,9,10.0,10,False
10,10,9.0,9,False
11,11,9.0,9,False
12,12,10.0,10,False
13,13,12.0,12,False
14,14,9.0,9,False
15,15,10.0,10,False
16,16,9.0,9,False
17,17,11.0,11,False
18,18,9.0,9,False
19,19,10.0,10,False
20,20,9.0,9,False
21,21,9.0,9,False
22,22,10.0,10,False
23,23,10.0,10,False
24,24,10.0,10,False
25,25,9.0,9,False
26,26,9.0,9,False
27,27,10.0,10,False
28,28,11.0,11,False
29,29,10.0,10,False
30,30,9.0,9,False
31,31,10.0,10,False
32,32,10.0,10,False
33,33,9.0,9,False
34,34,9.0,9,False
35,35,9.0,9,False
36,36,9.0,9,False
37,37,10.0,10,False
38,38,10.0,10,False
39,39,10.0,10,False
40,40,10.0,10,False
41,41,9.0,9,False
42,42,9.0,9,False
43,43,12.0,12,False
44,44,9.0,9,False
45,45,8.0,8,False
46,46,11.0,11,False
47,47,10.0,10,False
48,48,12.0,12,False
49,49,11.0,11,False
50,50,9.0,9,False
51,51,10.0,10,False
52,52,10.0,10,False
53,53,10.0,10,False
54,54,10.0,10,False
55,55,9.0,9,False
56,56,8.0,8,False
57,57,9.0,9,False
58,58,8.0,8,False
59,59,9.0,9,False
60,60,10.0,10,False
61,61,9.0,9,False
62,62,8.0,8,False
63,63,9.0,9,False
64,64,10.0,10,False
65,65,9.0,9,False
66,66,9.0,9,False
67,67,9.0,9,False
68,68,9.0,9,False
69,69,12.0,12,False
70,70,9.0,9,False
71,71,9.0,9,False
72,72,10.0,10,False
73,73,10.0,10,False
74,74,12.0,12,False
75,75,9.0,9,False
76,76,10.0,10,False
77,77,12.0,12,False
78,78,10.0,10,False
79,79,10.0,10,False
80,80,10.0,10,False
81,81,11.0,11,False
82,82,8.0,8,False
83,83,9.0,9,False
84,84,9.0,9,False
85,85,9.0,9,False
86,86,9.0,9,False
87,87,8.0,8,False
88,88,9.0,9,False
89,89,10.0,10,False
90,90,9.0,9,False
91,91,9.0,9,False
92,92,10.0,10,False
93,93,10.0,10,False
94,94,11.0,11,False
95,95,11.0,11,False
96,96,11.0,11,False
97,97,8.0,8,False
98,98,9.0,9,False
99,99,9.0,9,False
100,100,9.0,9,False
101,101,10.0,10,False
102,102,9.0,9,False
103,103,11.0,11,False
104,104,10.0,10,False
105,105,9.0,9,False
106,106,12.0,12,False
107,107,9.0,9,False
108,108,11.0,11,False
109,109,10.0,10,False
110,110,9.0,9,False
111,111,10.0,10,False
112,112,10.0,10,False
