,episode,reward,epochs,success
0,0,-417.1054627896188,89,False
1,1,-364.9842720653802,107,False
2,2,-309.0732769425688,100,False
3,3,-137.19343269802644,60,False
4,4,-169.90514033864446,79,False
5,5,-377.48734121770417,89,False
6,6,-194.8041050219873,94,False
7,7,-397.2765629332639,86,False
8,8,-224.4440968673261,79,False
9,9,-309.15765722201843,85,False
10,10,-311.11564561272394,115,False
11,11,-320.82225471700855,88,False
12,12,-388.6271535438213,93,False
13,13,-368.33503915350707,101,False
14,14,-137.31858750198705,48,False
15,15,-234.652600044106,73,False
16,16,-341.0913188542646,83,False
17,17,-208.62689909983774,88,False
18,18,-286.8116223214465,88,False
19,19,-369.8339656308025,95,False
20,20,-163.67408480668814,89,False
21,21,-401.59955836867255,88,False
22,22,-115.82847584884445,63,False
23,23,-115.23648763903383,51,False
24,24,-153.10385952739554,68,False
25,25,-298.9675426659129,77,False
26,26,-83.68152575050549,70,False
27,27,-116.36128072305553,74,False
28,28,-119.95967774029714,63,False
29,29,-157.1870898434295,57,False
30,30,-119.32578589103518,54,False
31,31,-317.7875123482405,82,False
32,32,-275.6004220322226,79,False
33,33,-224.31311540840818,100,False
34,34,-372.3979531784879,90,False
35,35,-444.72287386038244,104,False
36,36,-104.96701253349971,52,False
37,37,-146.4628623273581,72,False
38,38,-153.03949788486506,55,False
39,39,-342.34585395383186,100,False
40,40,-386.2128316059523,85,False
41,41,-121.53827233755287,68,False
42,42,-175.60591375601587,73,False
43,43,-206.7680210159607,96,False
44,44,-334.9072194741948,82,False
45,45,-398.3974080576346,90,False
46,46,-399.70476663837894,93,False
47,47,-96.83512654059075,58,False
48,48,-393.9344965958098,92,False
49,49,-350.37133358902815,86,False
50,50,-128.92189816788382,99,False
51,51,-324.36620376783355,85,False
52,52,-131.15904751988268,59,False
53,53,-338.4669399430395,103,False
54,54,-114.87625044513801,66,False
55,55,-178.77308326961582,74,False
56,56,-333.36362272486457,96,False
57,57,-404.83638424073314,84,False
58,58,-131.94599406379248,65,False
59,59,43.52335770614468,87,False
60,60,-363.614783697944,94,False
61,61,-415.41748549202157,89,False
62,62,-64.63581812374755,91,False
63,63,-361.61760203763015,100,False
64,64,-545.2053055701223,94,False
65,65,-345.8196001027145,88,False
66,66,-387.5220318303985,115,False
67,67,-156.92240012838994,72,False
68,68,-417.2935524830454,88,False
69,69,-250.9678174978142,81,False
70,70,-48.35653122155844,66,False
71,71,-134.77015786035753,60,False
72,72,-392.39874616193947,87,False
73,73,-405.6864360319993,120,False
74,74,-314.2783600233497,92,False
75,75,-214.759562703645,89,False
76,76,-339.2729831504851,100,False
77,77,-210.3580518384013,81,False
78,78,-142.34277928809723,70,False
79,79,-147.92964505594387,60,False
80,80,-163.57061528970834,80,False
81,81,-346.58718103093724,106,False
82,82,-121.87065112635189,75,False
83,83,-393.7231719491965,88,False
84,84,-144.26380550457353,64,False
85,85,-135.4330286846755,72,False
86,86,-347.53232929033715,93,False
87,87,-105.31702422772452,56,False
88,88,-153.8314010624012,68,False
89,89,-396.0513253989112,87,False
90,90,-126.3230046751988,75,False
91,91,-96.25199929863362,69,False
