,episode,reward,epochs,success
0,0,323.3814583135401,82,True
1,1,254.75749751770638,87,True
2,2,322.4835201602721,82,True
3,3,262.1893974618772,80,True
4,4,286.6172440806155,78,True
5,5,302.610665176561,80,True
6,6,322.53503953684714,82,True
7,7,304.3460780078635,79,True
8,8,316.28596629285073,81,True
9,9,340.8187164718431,86,True
10,10,296.9784873164069,80,True
11,11,260.0921820754428,82,True
12,12,261.47212125723115,82,True
13,13,277.8902024234184,80,True
14,14,257.6951515710764,86,True
15,15,303.64576360248856,80,True
16,16,336.192550133752,85,True
17,17,255.4227383085353,84,True
18,18,305.489523785946,80,True
19,19,320.149569224283,81,True
20,20,292.64356242103236,80,True
21,21,287.6667361822682,80,True
22,22,276.9545951541053,81,True
23,23,317.91932693298355,82,True
24,24,336.0881958205265,85,True
25,25,283.58189619318625,80,True
26,26,282.46426538969433,80,True
27,27,303.4852590231021,80,True
28,28,313.3429941987042,81,True
29,29,302.8879127998686,80,True
30,30,312.2452530563078,81,True
31,31,297.424042585185,80,True
32,32,290.9360618009067,80,True
33,33,267.88917954380304,81,True
34,34,283.96603839636566,80,True
35,35,291.2632371230909,80,True
36,36,304.9617898136227,80,True
37,37,263.29863213531485,81,True
38,38,292.6729822895429,82,True
39,39,332.02099408153776,83,True
40,40,297.4965545735603,80,True
41,41,295.27133668262377,80,True
42,42,301.7445879270405,80,True
43,43,267.94866221310656,80,True
44,44,292.26388863655006,80,True
45,45,339.9375436745328,83,True
46,46,311.12514029281647,81,True
47,47,262.99361704802584,84,True
48,48,298.37423649488915,80,True
49,49,271.4002477815807,82,True
50,50,315.67836855334906,81,True
51,51,279.6261916354879,79,True
52,52,276.5684955606348,80,True
53,53,314.6851579683807,82,True
54,54,297.3537505870961,80,True
55,55,255.83013793625713,83,True
56,56,278.0489930271641,80,True
57,57,272.5133153883231,81,True
58,58,295.94285032118637,80,True
59,59,291.8791050896441,80,True
60,60,261.2832299207929,82,True
61,61,317.21410632771517,81,True
62,62,335.49491191649395,85,True
63,63,334.0262996573017,84,True
64,64,307.15544000348984,80,True
65,65,277.70931113625454,80,True
66,66,339.4565214319134,83,True
67,67,266.263732412595,81,True
68,68,295.61172409127465,81,True
69,69,336.92175544386555,85,True
70,70,320.96462027576194,81,True
71,71,296.5581519100572,81,True
72,72,261.60479391921945,83,True
73,73,320.8659734341904,81,True
