,episode,reward,epochs,success
0,0,839.0,162,True
1,1,888.0,113,True
2,2,856.0,145,True
3,3,836.0,165,True
4,4,861.0,140,True
5,5,909.0,92,True
6,6,899.0,102,True
7,7,884.0,117,True
8,8,826.0,175,True
9,9,762.0,239,True
10,10,859.0,142,True
11,11,835.0,166,True
12,12,907.0,94,True
13,13,864.0,137,True
14,14,876.0,125,True
15,15,861.0,140,True
16,16,883.0,118,True
17,17,872.0,129,True
18,18,858.0,143,True
19,19,882.0,119,True
20,20,864.0,137,True
21,21,722.0,279,True
22,22,878.0,123,True
23,23,883.0,118,True
24,24,899.0,102,True
25,25,812.0,189,True
26,26,882.0,119,True
27,27,835.0,166,True
28,28,858.0,143,True
29,29,883.0,118,True
30,30,866.0,135,True
31,31,883.0,118,True
32,32,883.0,118,True
33,33,795.0,206,True
34,34,870.0,131,True
35,35,869.0,132,True
36,36,829.0,172,True
37,37,895.0,106,True
38,38,848.0,153,True
39,39,836.0,165,True
40,40,797.0,204,True
41,41,857.0,144,True
42,42,838.0,163,True
43,43,864.0,137,True
44,44,889.0,112,True
45,45,830.0,171,True
46,46,875.0,126,True
47,47,806.0,195,True
48,48,866.0,135,True
49,49,875.0,126,True
50,50,877.0,124,True
51,51,851.0,150,True
52,52,878.0,123,True
53,53,872.0,129,True
54,54,882.0,119,True
55,55,893.0,108,True
56,56,-500.0,500,False
57,57,892.0,109,True
58,58,899.0,102,True
59,59,848.0,153,True
60,60,901.0,100,True
61,61,844.0,157,True
62,62,848.0,153,True
63,63,891.0,110,True
64,64,793.0,208,True
65,65,794.0,207,True
66,66,847.0,154,True
67,67,864.0,137,True
68,68,834.0,167,True
69,69,882.0,119,True
70,70,748.0,253,True
71,71,875.0,126,True
72,72,906.0,95,True
73,73,874.0,127,True
74,74,876.0,125,True
75,75,871.0,130,True
76,76,875.0,126,True
77,77,848.0,153,True
78,78,867.0,134,True
79,79,840.0,161,True
80,80,892.0,109,True
81,81,867.0,134,True
82,82,847.0,154,True
83,83,838.0,163,True
84,84,862.0,139,True
85,85,873.0,128,True
86,86,835.0,166,True
87,87,887.0,114,True
88,88,862.0,139,True
89,89,870.0,131,True
90,90,857.0,144,True
91,91,862.0,139,True
92,92,907.0,94,True
93,93,884.0,117,True
94,94,870.0,131,True
95,95,878.0,123,True
96,96,855.0,146,True
97,97,829.0,172,True
98,98,906.0,95,True
99,99,861.0,140,True
100,100,860.0,141,True
101,101,850.0,151,True
102,102,853.0,148,True
103,103,855.0,146,True
104,104,873.0,128,True
105,105,842.0,159,True
106,106,861.0,140,True
107,107,882.0,119,True
108,108,859.0,142,True
109,109,881.0,120,True
110,110,896.0,105,True
111,111,894.0,107,True
112,112,900.0,101,True
113,113,890.0,111,True
114,114,874.0,127,True
115,115,898.0,103,True
116,116,866.0,135,True
117,117,907.0,94,True
118,118,847.0,154,True
119,119,831.0,170,True
120,120,849.0,152,True
121,121,865.0,136,True
122,122,849.0,152,True
123,123,893.0,108,True
124,124,875.0,126,True
125,125,852.0,149,True
126,126,868.0,133,True
127,127,874.0,127,True
128,128,883.0,118,True
129,129,833.0,168,True
130,130,871.0,130,True
131,131,875.0,126,True
132,132,821.0,180,True
133,133,880.0,121,True
134,134,906.0,95,True
135,135,805.0,196,True
136,136,862.0,139,True
137,137,886.0,115,True
138,138,853.0,148,True
139,139,850.0,151,True
140,140,847.0,154,True
141,141,845.0,156,True
142,142,815.0,186,True
143,143,870.0,131,True
144,144,891.0,110,True
145,145,872.0,129,True
146,146,866.0,135,True
147,147,858.0,143,True
148,148,842.0,159,True
149,149,827.0,174,True
150,150,887.0,114,True
151,151,883.0,118,True
152,152,869.0,132,True
153,153,873.0,128,True
154,154,849.0,152,True
155,155,819.0,182,True
156,156,872.0,129,True
157,157,852.0,149,True
158,158,890.0,111,True
159,159,888.0,113,True
160,160,846.0,155,True
161,161,845.0,156,True
162,162,864.0,137,True
163,163,871.0,130,True
164,164,894.0,107,True
165,165,902.0,99,True
166,166,833.0,168,True
167,167,871.0,130,True
168,168,880.0,121,True
169,169,869.0,132,True
170,170,881.0,120,True
171,171,882.0,119,True
172,172,866.0,135,True
173,173,809.0,192,True
174,174,876.0,125,True
175,175,868.0,133,True
176,176,859.0,142,True
177,177,847.0,154,True
178,178,881.0,120,True
179,179,870.0,131,True
180,180,894.0,107,True
181,181,865.0,136,True
182,182,870.0,131,True
183,183,900.0,101,True
184,184,867.0,134,True
185,185,857.0,144,True
186,186,847.0,154,True
187,187,861.0,140,True
188,188,869.0,132,True
189,189,867.0,134,True
190,190,860.0,141,True
191,191,899.0,102,True
192,192,796.0,205,True
193,193,842.0,159,True
194,194,902.0,99,True
195,195,872.0,129,True
196,196,883.0,118,True
197,197,883.0,118,True
198,198,855.0,146,True
199,199,877.0,124,True
200,200,845.0,156,True
201,201,823.0,178,True
202,202,886.0,115,True
203,203,867.0,134,True
204,204,868.0,133,True
205,205,878.0,123,True
206,206,894.0,107,True
207,207,890.0,111,True
208,208,868.0,133,True
209,209,880.0,121,True
210,210,908.0,93,True
211,211,865.0,136,True
212,212,830.0,171,True
213,213,872.0,129,True
214,214,900.0,101,True
215,215,863.0,138,True
216,216,879.0,122,True
217,217,870.0,131,True
218,218,887.0,114,True
219,219,864.0,137,True
220,220,879.0,122,True
221,221,868.0,133,True
222,222,802.0,199,True
223,223,885.0,116,True
224,224,879.0,122,True
225,225,868.0,133,True
226,226,880.0,121,True
227,227,900.0,101,True
228,228,860.0,141,True
229,229,836.0,165,True
230,230,899.0,102,True
231,231,851.0,150,True
232,232,894.0,107,True
233,233,886.0,115,True
234,234,908.0,93,True
235,235,906.0,95,True
236,236,889.0,112,True
237,237,863.0,138,True
238,238,858.0,143,True
239,239,743.0,258,True
240,240,821.0,180,True
241,241,863.0,138,True
242,242,889.0,112,True
243,243,886.0,115,True
244,244,817.0,184,True
245,245,868.0,133,True
246,246,876.0,125,True
247,247,901.0,100,True
248,248,894.0,107,True
249,249,893.0,108,True
250,250,867.0,134,True
251,251,872.0,129,True
252,252,885.0,116,True
253,253,846.0,155,True
254,254,908.0,93,True
255,255,891.0,110,True
256,256,897.0,104,True
