,episode,reward,epochs,success
0,0,10.0,10,False
1,1,10.0,10,False
2,2,10.0,10,False
3,3,10.0,10,False
4,4,10.0,10,False
5,5,9.0,9,False
6,6,11.0,11,False
7,7,11.0,11,False
8,8,10.0,10,False
9,9,10.0,10,False
10,10,10.0,10,False
11,11,10.0,10,False
12,12,9.0,9,False
13,13,11.0,11,False
14,14,10.0,10,False
15,15,10.0,10,False
16,16,9.0,9,False
17,17,13.0,13,False
18,18,11.0,11,False
19,19,9.0,9,False
20,20,9.0,9,False
21,21,8.0,8,False
22,22,10.0,10,False
23,23,10.0,10,False
24,24,9.0,9,False
25,25,10.0,10,False
26,26,10.0,10,False
27,27,9.0,9,False
28,28,11.0,11,False
29,29,9.0,9,False
30,30,10.0,10,False
31,31,9.0,9,False
32,32,10.0,10,False
33,33,9.0,9,False
34,34,9.0,9,False
35,35,13.0,13,False
36,36,9.0,9,False
37,37,9.0,9,False
38,38,8.0,8,False
39,39,9.0,9,False
40,40,9.0,9,False
41,41,9.0,9,False
42,42,9.0,9,False
43,43,9.0,9,False
44,44,9.0,9,False
45,45,8.0,8,False
46,46,10.0,10,False
47,47,9.0,9,False
48,48,10.0,10,False
49,49,10.0,10,False
50,50,11.0,11,False
51,51,10.0,10,False
52,52,9.0,9,False
53,53,11.0,11,False
54,54,13.0,13,False
55,55,10.0,10,False
56,56,8.0,8,False
57,57,10.0,10,False
58,58,10.0,10,False
59,59,9.0,9,False
60,60,9.0,9,False
61,61,9.0,9,False
62,62,9.0,9,False
63,63,9.0,9,False
64,64,11.0,11,False
65,65,10.0,10,False
66,66,10.0,10,False
67,67,11.0,11,False
68,68,10.0,10,False
69,69,9.0,9,False
70,70,10.0,10,False
71,71,10.0,10,False
72,72,8.0,8,False
73,73,9.0,9,False
74,74,9.0,9,False
75,75,9.0,9,False
76,76,10.0,10,False
77,77,10.0,10,False
78,78,9.0,9,False
79,79,12.0,12,False
80,80,9.0,9,False
81,81,11.0,11,False
82,82,10.0,10,False
83,83,10.0,10,False
84,84,9.0,9,False
85,85,9.0,9,False
