,episode,reward,epochs,success
0,0,-98.37837764171155,344,False
1,1,-331.02789317361214,249,False
2,2,-557.6391264118872,134,False
3,3,-173.13916159237408,227,False
4,4,-679.3692274326077,154,False
5,5,-658.1209049820872,151,False
6,6,-341.4151652521727,162,False
7,7,-649.0293701028672,151,False
8,8,-624.3285120444723,435,False
9,9,-543.0420524405648,179,False
10,10,-629.212734003005,288,False
11,11,-195.042771935703,172,False
12,12,-220.5334105361075,127,False
13,13,-273.07122416302445,200,False
14,14,-58.41752723121972,210,False
15,15,-520.261306298431,189,False
16,16,-200.33106193235898,250,False
17,17,-278.6489124187575,209,False
18,18,-107.48248637437632,68,False
19,19,-94.1497444653901,208,False
20,20,-272.99193530351107,263,False
21,21,-586.87504791246,161,False
22,22,-365.2601060967669,234,False
23,23,-162.85449255776527,215,False
24,24,-646.5623496530983,233,False
25,25,-614.5544073084001,205,False
26,26,-263.84531737435447,244,False
27,27,-344.2213385572252,278,False
28,28,-586.8119369506155,166,False
29,29,-395.18424886209294,234,False
30,30,-360.8469370398149,254,False
31,31,-171.22239750874945,101,False
32,32,-321.57654145367025,142,False
33,33,-590.8746612303042,124,False
34,34,20.056823020740197,273,False
35,35,-588.0222009721381,133,False
36,36,-200.55450020301043,202,False
37,37,-155.016570618037,102,False
38,38,-444.21399050632414,119,False
39,39,-104.13344329974812,127,False
40,40,-486.5842806979284,392,False
41,41,-117.37580538463894,224,False
42,42,-635.8777134467789,158,False
43,43,-227.54706407264638,113,False
44,44,-80.81007280676972,377,False
45,45,-584.0378265761997,158,False
46,46,-572.7532384270943,176,False
47,47,-80.61197098719123,211,False
48,48,-157.79676388051058,827,False
49,49,-660.1309006934638,331,False
50,50,-417.00193276705215,148,False
51,51,-68.87693341892192,167,False
52,52,-177.51437436873843,131,False
53,53,-436.57496266068387,154,False
54,54,-117.61693165308351,170,False
55,55,-624.1583493110138,139,False
56,56,-644.5545286705969,131,False
57,57,-434.575697456293,176,False
58,58,-557.1214511629157,146,False
59,59,-609.2540959782664,130,False
60,60,-262.4675362215594,221,False
61,61,-512.4533578063313,146,False
62,62,-567.740021263668,152,False
63,63,-114.32488355750617,224,False
64,64,-486.5555623749571,125,False
65,65,-217.97373124892744,256,False
66,66,-152.18929097884853,119,False
67,67,-51.641707899066176,164,False
68,68,9.746021524860623,190,False
69,69,-115.34178185516504,136,False
70,70,-274.00009751717073,232,False
71,71,-674.6275509073879,281,False
72,72,174.24979759291762,926,False
73,73,-75.16439446636083,519,False
74,74,-405.91225311114937,131,False
75,75,-484.1872357599912,156,False
76,76,-240.45742949856293,274,False
77,77,-490.6555064181574,131,False
78,78,-284.5931026377095,146,False
79,79,-57.4371814960494,258,False
80,80,-541.7477242150758,213,False
81,81,-300.3579975735272,156,False
82,82,-85.24242011925051,730,False
83,83,-713.3176075327283,422,False
84,84,-319.7466091247399,397,False
85,85,-261.62608729065926,150,False
86,86,-367.9309140878926,145,False
87,87,-193.3071067389124,286,False
88,88,-388.1324215887414,242,False
89,89,-345.53874442060584,239,False
90,90,-262.9652019314574,321,False
91,91,-505.98009780182304,237,False
92,92,-218.62305285561666,275,False
93,93,-79.2347674006497,106,False
94,94,-190.57899812074047,150,False
95,95,-95.94029315725845,120,False
96,96,-373.57708880592594,134,False
97,97,-0.5420691589003042,202,False
98,98,-354.78277137100383,126,False
99,99,-544.714535716389,137,False
100,100,-399.9082999285984,228,False
101,101,-305.45469782938426,140,False
102,102,-712.7502804497179,178,False
103,103,-317.58801803799065,266,False
104,104,-659.8414070743385,136,False
105,105,-56.271204050644556,256,False
106,106,-118.0826466705492,695,False
107,107,-371.9302476704067,145,False
108,108,-201.91629933338908,119,False
109,109,-28.088617154697246,257,False
110,110,-580.5216087680263,151,False
111,111,-374.40503282296316,117,False
112,112,-450.4612129877566,349,False
113,113,-378.8767257872973,261,False
114,114,-600.8240795855019,150,False
115,115,-508.6729583028095,167,False
116,116,-625.9307335272434,118,False
117,117,-94.64560032511939,240,False
118,118,-160.65233009237892,258,False
119,119,-475.9145055946266,227,False
120,120,-353.1067006239949,136,False
121,121,-286.4750748924039,141,False
122,122,-581.6043224196574,221,False
123,123,-414.895753824883,143,False
124,124,-434.81476814124335,140,False
125,125,-594.808880935281,157,False
126,126,-203.08077390819034,277,False
127,127,-71.23531906233426,145,False
128,128,-587.2666092787126,152,False
129,129,-64.37254888627798,720,False
130,130,-269.5971453753336,395,False
131,131,-288.9122915742623,125,False
132,132,-689.6434613690645,168,False
133,133,-548.9126478764341,151,False
134,134,-282.122979160081,169,False
135,135,-629.4389788632874,135,False
136,136,-342.2508386554349,348,False
137,137,-299.0009551532844,200,False
138,138,-6.0997532069765015,159,False
139,139,-421.9550308268919,148,False
140,140,-420.22347502726603,261,False
141,141,-187.96379976779988,932,False
142,142,-130.63123742662927,162,False
143,143,-609.6724675470866,140,False
144,144,-270.9852447322602,142,False
145,145,-73.94299087989205,215,False
146,146,-344.37839424225854,175,False
147,147,-516.282111886323,129,False
148,148,-557.6340259748852,244,False
149,149,-186.76012743683137,429,False
150,150,-222.26734635071313,109,False
151,151,-311.38121896652467,419,False
152,152,-300.5016351314248,332,False
153,153,-301.36888533636795,179,False
