,episode,reward,epochs,success
0,0,-194.15658062225702,200,False
1,1,-40.404873125226004,200,False
2,2,-193.26015745280074,200,False
3,3,-170.828650936528,200,False
4,4,-105.56654489805624,200,False
5,5,-192.24716063391725,200,False
6,6,-45.67230644170195,200,False
7,7,-193.09945848690404,200,False
8,8,-156.8835330190268,200,False
9,9,-193.41715291461696,200,False
10,10,-50.662307810853235,200,False
11,11,-194.31773512274617,200,False
12,12,-193.2643864073725,200,False
13,13,-193.37108960587557,200,False
14,14,-193.7162498861234,200,False
15,15,24.176923246704973,200,False
16,16,-193.82794427563965,200,False
17,17,-190.4482656546861,200,False
18,18,-194.21787781880084,200,False
19,19,-12.840395675084437,200,False
20,20,-27.188082138309255,200,False
21,21,-84.30139345321095,200,False
22,22,22.612974265939556,200,False
23,23,-194.16929840453463,200,False
24,24,-33.213817118667066,200,False
25,25,-15.494762724847533,200,False
26,26,-136.53367719528546,200,False
27,27,-158.46524656462861,200,False
28,28,-155.27644309163406,200,False
29,29,-157.0658946077856,200,False
30,30,27.678015270794276,200,False
31,31,-193.9925998598568,200,False
32,32,-162.2972844802007,200,False
33,33,-5.2839006268186495,200,False
34,34,-193.67803121685938,200,False
35,35,-194.23780383129667,200,False
36,36,-15.527176447540114,200,False
37,37,-155.89564501538007,200,False
38,38,5.803646038657462,200,False
39,39,-191.992381210207,200,False
40,40,-194.8005064515428,200,False
41,41,-31.272278114920482,200,False
42,42,-162.38562945072772,200,False
43,43,-194.04606085271325,200,False
44,44,-35.794599926884985,200,False
45,45,-41.117259406019,200,False
46,46,11.319001177434984,200,False
47,47,-194.74717632811576,200,False
48,48,-22.67129763185949,200,False
49,49,34.1940355632687,200,False
50,50,-193.5098308344294,200,False
51,51,-148.750488407768,200,False
52,52,-194.0912511297391,200,False
53,53,-194.1923097158451,200,False
54,54,-190.95358639712003,200,False
55,55,-159.25459640136808,200,False
56,56,-194.02966704537903,200,False
57,57,-154.4932851377098,200,False
58,58,-20.686467951600207,200,False
59,59,-166.34475073664134,200,False
60,60,-194.5218432892318,200,False
61,61,-193.8163947047883,200,False
62,62,-0.18168743990827352,200,False
63,63,-191.44525641263215,200,False
64,64,-159.86587768882146,200,False
65,65,-32.395930381608196,200,False
66,66,-167.4193946350897,200,False
67,67,-147.07414349804822,200,False
68,68,-112.08242410393723,200,False
69,69,-106.7237180489883,200,False
70,70,-127.00439217974235,200,False
71,71,-148.95981354616197,200,False
72,72,-161.04172300804294,200,False
73,73,-15.787056498083984,200,False
74,74,-21.993641432345612,200,False
75,75,-192.65034595539987,200,False
76,76,-194.0999492279161,200,False
77,77,-166.79903522024233,200,False
78,78,-40.46855963606504,200,False
79,79,-194.11911447400598,200,False
80,80,35.310443914931966,200,False
81,81,-9.790639765560627,200,False
82,82,-153.88771880029708,200,False
83,83,-193.81356434059853,200,False
84,84,-157.17022575674946,200,False
85,85,-43.75453348668543,200,False
86,86,-194.56340846418243,200,False
87,87,-194.37428637456264,200,False
88,88,-193.64432211467602,200,False
89,89,-192.18936132325553,200,False
90,90,-194.40266342719497,200,False
91,91,-103.99173305198843,200,False
92,92,-193.83647260631278,200,False
93,93,-4.838564847887028,200,False
94,94,-158.90024976274617,200,False
95,95,-194.53431496644953,200,False
96,96,-1.9449082101345994,200,False
97,97,16.39571647392586,200,False
98,98,-194.15510053349863,200,False
99,99,-20.12018443492707,200,False
100,100,-2.2758001534384675,200,False
101,101,-193.1190118091422,200,False
102,102,-156.0349111754931,200,False
103,103,-193.89529115205733,200,False
104,104,-166.08095326992043,200,False
105,105,-157.1650312876045,200,False
106,106,-152.34123778989215,200,False
107,107,-160.8668085407544,200,False
108,108,6.314278487843694,200,False
109,109,-193.67623379685028,200,False
110,110,41.74814328071079,200,False
111,111,30.82744865459972,200,False
112,112,-194.07853103832622,200,False
113,113,-188.37782502105256,200,False
114,114,-193.38289112974962,200,False
115,115,-166.13071958697674,200,False
116,116,-150.0617936866547,200,False
