,episode,reward,epochs,success
0,0,566.1628269747604,264,True
1,1,486.5750268969147,210,True
2,2,532.2665666696263,218,True
3,3,550.6811050290286,260,True
4,4,538.4203432855393,267,True
5,5,491.1766791522855,230,True
6,6,501.48771350491074,213,True
7,7,536.6255845218118,226,True
8,8,316.1499783055031,138,True
9,9,326.29280316541576,133,True
10,10,308.85324083326134,147,True
11,11,348.6201725802023,129,True
12,12,328.60579765077006,154,True
13,13,537.5500846176155,248,True
14,14,356.69798449803284,130,True
15,15,352.8381405526694,129,True
16,16,526.953872792695,263,True
17,17,513.3777660565878,213,True
18,18,479.8524937767126,206,True
19,19,337.1775840102089,130,True
20,20,334.1092363710243,138,True
21,21,356.5240771884498,127,True
22,22,556.1865837727157,257,True
23,23,342.9588306837434,128,True
24,24,533.3837138745434,218,True
25,25,524.6981746459077,261,True
26,26,526.3645698147819,226,True
27,27,531.3071895015685,228,True
28,28,319.95964527493214,133,True
29,29,307.0092951703173,141,True
30,30,529.0398713309985,217,True
31,31,500.15954434821685,242,True
32,32,311.6244163255801,138,True
33,33,366.9413438705734,126,True
34,34,330.6551184144606,132,True
35,35,325.2544352094343,138,True
36,36,542.160910016974,256,True
37,37,372.39598431825254,124,True
38,38,528.6435673079582,256,True
39,39,527.9573444310807,258,True
40,40,489.6381054773255,231,True
41,41,544.2770778062747,261,True
42,42,538.7408849484771,217,True
43,43,311.81246072628215,163,True
44,44,310.7989936807656,162,True
45,45,526.3170173360119,219,True
46,46,565.417288714164,287,True
47,47,514.1779693364167,251,True
48,48,498.9427120896794,212,True
49,49,487.4322267864625,211,True
50,50,321.79727995412713,171,True
51,51,516.237664308669,254,True
52,52,542.7763547452324,223,True
53,53,342.46453526404184,128,True
54,54,477.00103079075524,227,True
55,55,331.09289102016965,137,True
56,56,318.22604205723184,135,True
57,57,318.7879377800137,137,True
58,58,336.64089834969997,126,True
59,59,513.1245893444762,265,True
60,60,554.4937858350584,233,True
61,61,538.2932686884302,220,True
62,62,515.6893867130888,218,True
63,63,308.3414711053026,138,True
64,64,570.1338784047349,234,True
65,65,472.20883342144907,213,True
66,66,302.1467205956528,137,True
67,67,316.74819800782313,194,True
68,68,497.025277788192,218,True
69,69,521.4571798871724,251,True
70,70,344.1282450411415,129,True
71,71,327.72725990393945,134,True
72,72,500.27913064030474,212,True
73,73,504.7520471265269,209,True
74,74,542.6932022837755,258,True
75,75,498.10034506738083,246,True
76,76,578.1396011572093,233,True
77,77,534.8168378488944,251,True
78,78,323.4853985055991,134,True
79,79,485.83678684946847,209,True
80,80,325.07803329498466,132,True
81,81,341.5525889530498,132,True
82,82,345.6621466228896,125,True
83,83,343.8214942331934,130,True
84,84,609.38469452685,242,True
85,85,469.59676420666773,242,True
86,86,338.9439103954817,131,True
87,87,316.6232513403601,136,True
88,88,533.1692888614834,225,True
89,89,582.7898511892852,273,True
90,90,360.7234649523864,128,True
91,91,354.1853774653409,126,True
