,episode,reward,epochs,success
0,0,-729.7789381194558,200,False
1,1,-679.4120119366333,200,False
2,2,-131.92315799172562,200,False
3,3,-567.1774138207206,200,False
4,4,-795.3305446425893,200,False
5,5,-126.8071753153491,200,False
6,6,-545.4849662392398,200,False
7,7,-849.4968355986379,200,False
8,8,-728.3754724123855,200,False
9,9,-700.4439368236373,200,False
10,10,-312.8854634898011,200,False
11,11,-1151.2064732784697,200,False
12,12,-622.9909651359983,200,False
13,13,-227.65525291495862,200,False
14,14,-805.4476073402553,200,False
15,15,-626.75445658757,200,False
16,16,-488.23320812069835,200,False
17,17,-524.5740053089272,200,False
18,18,-790.5698234205189,200,False
19,19,-572.4364228970527,200,False
20,20,-910.4475685477306,200,False
21,21,559.6877671410581,200,True
22,22,-699.5415300218016,200,False
23,23,-435.1653345944165,200,False
24,24,-637.0943755135596,200,False
25,25,-1006.563829463466,200,False
26,26,-365.91980042754477,200,False
27,27,-1066.0934538703152,200,False
28,28,-504.13142217529565,200,False
29,29,-323.57464242976283,200,False
30,30,-606.4530104503809,200,False
31,31,-650.8919772011825,200,False
32,32,-1137.585976092657,200,False
33,33,-545.9377551499605,200,False
34,34,-1154.034211870471,200,False
35,35,-454.2870931441539,200,False
36,36,-747.5271041964988,200,False
37,37,-437.8926266011679,200,False
38,38,-375.2096230937517,200,False
39,39,-833.1613013192044,200,False
40,40,-43.44305183009276,200,False
41,41,-712.423848494577,200,False
42,42,-684.5463064082567,200,False
43,43,-863.8726253022465,200,False
44,44,-618.5345841386828,200,False
45,45,-399.88979793938086,200,False
46,46,-459.32365694229736,200,False
47,47,-593.6279654588292,200,False
48,48,-571.613776440463,200,False
49,49,-598.1062931852207,200,False
50,50,-170.81848386956918,200,False
51,51,-931.0618440589109,200,False
52,52,-1019.8978322002082,200,False
53,53,-813.7997672998342,200,False
54,54,-1063.8228253318453,200,False
55,55,-1124.3726929813868,200,False
56,56,-360.05014709290145,200,False
57,57,-621.613808219332,200,False
58,58,-639.4209836714416,200,False
59,59,-517.0710381636661,200,False
60,60,-648.5062838030663,200,False
61,61,-693.0658917632392,200,False
62,62,-694.5555324610941,200,False
63,63,-1150.6529466809118,200,False
64,64,-401.93975404183215,200,False
65,65,-90.55061764520275,200,False
66,66,-770.8035995488799,200,False
67,67,-887.1410194918865,200,False
68,68,-351.46526985668777,200,False
69,69,-718.3766557757212,200,False
70,70,-642.3647164131496,200,False
71,71,-1099.7804007429322,200,False
72,72,-498.6890095381662,200,False
73,73,-753.8756541048797,200,False
74,74,-611.9153459397262,200,False
75,75,-679.4616762190074,200,False
76,76,212.91165925511828,200,False
77,77,-737.2463904907264,200,False
78,78,-830.2825987079801,200,False
79,79,-602.5788142058096,200,False
80,80,-611.843308838792,200,False
81,81,-1033.5900958709726,200,False
82,82,-529.7151080415665,200,False
83,83,-748.8457912883251,200,False
84,84,-769.7791061488803,200,False
85,85,-834.0168556736252,200,False
86,86,-823.3051064389861,200,False
87,87,-186.6712203626936,200,False
88,88,-1028.8033021305066,200,False
89,89,-555.8305512513555,200,False
90,90,-940.6852519965335,200,False
91,91,-716.4142312374669,200,False
92,92,-393.32859948154953,200,False
93,93,-702.1044048083832,200,False
94,94,-325.32177105076164,200,False
95,95,-27.430713266833283,200,False
96,96,-1057.7619583815267,200,False
97,97,-239.03857229590074,200,False
98,98,-573.7554686302904,200,False
99,99,-644.1362049022166,200,False
100,100,-998.5260347392529,200,False
101,101,-847.9486408775664,200,False
102,102,-823.1004303356838,200,False
103,103,-1141.4163383162443,200,False
104,104,-546.2159998124516,200,False
105,105,-304.06560663160974,200,False
106,106,-885.1583417622348,200,False
107,107,-410.4747213351526,200,False
108,108,-592.5951339086913,200,False
109,109,-491.6904230492695,200,False
110,110,-456.1002599427767,200,False
111,111,-1027.2059780027253,200,False
112,112,-137.58028015527339,200,False
113,113,-435.07802894285294,200,False
114,114,-321.6262611580975,200,False
115,115,-496.82999473775226,200,False
116,116,-692.4235546591211,200,False
