,episode,reward,epochs,success
0,0,814.0,187,True
1,1,824.0,177,True
2,2,861.0,140,True
3,3,780.0,221,True
4,4,790.0,211,True
5,5,795.0,206,True
6,6,863.0,138,True
7,7,878.0,123,True
8,8,792.0,209,True
9,9,791.0,210,True
10,10,834.0,167,True
11,11,817.0,184,True
12,12,806.0,195,True
13,13,825.0,176,True
14,14,867.0,134,True
15,15,821.0,180,True
16,16,843.0,158,True
17,17,555.0,446,True
18,18,865.0,136,True
19,19,854.0,147,True
20,20,819.0,182,True
21,21,773.0,228,True
22,22,863.0,138,True
23,23,804.0,197,True
24,24,724.0,277,True
25,25,830.0,171,True
26,26,627.0,374,True
27,27,808.0,193,True
28,28,791.0,210,True
29,29,816.0,185,True
30,30,810.0,191,True
31,31,801.0,200,True
32,32,812.0,189,True
33,33,842.0,159,True
34,34,815.0,186,True
35,35,847.0,154,True
36,36,829.0,172,True
37,37,694.0,307,True
38,38,822.0,179,True
39,39,833.0,168,True
40,40,827.0,174,True
41,41,835.0,166,True
42,42,843.0,158,True
43,43,856.0,145,True
44,44,835.0,166,True
45,45,833.0,168,True
46,46,790.0,211,True
47,47,844.0,157,True
48,48,864.0,137,True
49,49,775.0,226,True
50,50,819.0,182,True
51,51,837.0,164,True
52,52,799.0,202,True
53,53,702.0,299,True
54,54,869.0,132,True
55,55,839.0,162,True
56,56,848.0,153,True
57,57,800.0,201,True
58,58,850.0,151,True
59,59,761.0,240,True
60,60,820.0,181,True
61,61,811.0,190,True
62,62,823.0,178,True
63,63,806.0,195,True
64,64,815.0,186,True
65,65,830.0,171,True
66,66,866.0,135,True
67,67,810.0,191,True
68,68,825.0,176,True
69,69,689.0,312,True
70,70,760.0,241,True
71,71,843.0,158,True
72,72,856.0,145,True
73,73,822.0,179,True
74,74,838.0,163,True
75,75,819.0,182,True
76,76,839.0,162,True
77,77,787.0,214,True
78,78,833.0,168,True
79,79,798.0,203,True
80,80,865.0,136,True
81,81,803.0,198,True
82,82,814.0,187,True
83,83,814.0,187,True
84,84,798.0,203,True
85,85,817.0,184,True
86,86,831.0,170,True
87,87,837.0,164,True
88,88,865.0,136,True
89,89,804.0,197,True
90,90,854.0,147,True
91,91,823.0,178,True
92,92,794.0,207,True
93,93,778.0,223,True
94,94,819.0,182,True
95,95,780.0,221,True
96,96,844.0,157,True
97,97,816.0,185,True
98,98,839.0,162,True
99,99,824.0,177,True
100,100,823.0,178,True
101,101,781.0,220,True
102,102,790.0,211,True
103,103,851.0,150,True
104,104,817.0,184,True
105,105,833.0,168,True
106,106,834.0,167,True
107,107,852.0,149,True
108,108,820.0,181,True
109,109,777.0,224,True
110,110,804.0,197,True
111,111,826.0,175,True
112,112,845.0,156,True
113,113,793.0,208,True
114,114,799.0,202,True
115,115,804.0,197,True
116,116,811.0,190,True
117,117,704.0,297,True
118,118,802.0,199,True
119,119,837.0,164,True
120,120,784.0,217,True
121,121,819.0,182,True
122,122,822.0,179,True
123,123,852.0,149,True
124,124,865.0,136,True
125,125,865.0,136,True
126,126,848.0,153,True
127,127,824.0,177,True
128,128,827.0,174,True
129,129,832.0,169,True
130,130,714.0,287,True
131,131,800.0,201,True
132,132,827.0,174,True
133,133,827.0,174,True
134,134,825.0,176,True
135,135,853.0,148,True
136,136,842.0,159,True
137,137,875.0,126,True
138,138,770.0,231,True
139,139,843.0,158,True
140,140,745.0,256,True
141,141,844.0,157,True
142,142,818.0,183,True
143,143,832.0,169,True
144,144,767.0,234,True
145,145,818.0,183,True
146,146,836.0,165,True
147,147,855.0,146,True
148,148,806.0,195,True
149,149,756.0,245,True
150,150,808.0,193,True
151,151,813.0,188,True
152,152,833.0,168,True
153,153,846.0,155,True
154,154,857.0,144,True
155,155,840.0,161,True
156,156,791.0,210,True
157,157,764.0,237,True
158,158,801.0,200,True
159,159,858.0,143,True
160,160,823.0,178,True
161,161,870.0,131,True
162,162,859.0,142,True
163,163,842.0,159,True
164,164,856.0,145,True
165,165,821.0,180,True
166,166,819.0,182,True
167,167,867.0,134,True
168,168,881.0,120,True
169,169,837.0,164,True
170,170,794.0,207,True
171,171,863.0,138,True
172,172,823.0,178,True
173,173,832.0,169,True
174,174,889.0,112,True
175,175,858.0,143,True
176,176,858.0,143,True
177,177,816.0,185,True
178,178,831.0,170,True
179,179,803.0,198,True
180,180,848.0,153,True
181,181,875.0,126,True
182,182,823.0,178,True
183,183,818.0,183,True
184,184,826.0,175,True
185,185,797.0,204,True
186,186,858.0,143,True
187,187,812.0,189,True
188,188,847.0,154,True
189,189,793.0,208,True
190,190,851.0,150,True
191,191,806.0,195,True
192,192,825.0,176,True
193,193,789.0,212,True
194,194,823.0,178,True
195,195,842.0,159,True
196,196,841.0,160,True
197,197,822.0,179,True
198,198,841.0,160,True
199,199,819.0,182,True
200,200,803.0,198,True
201,201,712.0,289,True
202,202,842.0,159,True
203,203,869.0,132,True
204,204,712.0,289,True
205,205,825.0,176,True
206,206,775.0,226,True
207,207,827.0,174,True
208,208,845.0,156,True
209,209,807.0,194,True
210,210,834.0,167,True
211,211,775.0,226,True
212,212,844.0,157,True
213,213,837.0,164,True
214,214,827.0,174,True
215,215,836.0,165,True
216,216,791.0,210,True
217,217,816.0,185,True
218,218,819.0,182,True
219,219,817.0,184,True
220,220,873.0,128,True
221,221,861.0,140,True
222,222,857.0,144,True
223,223,863.0,138,True
224,224,857.0,144,True
225,225,847.0,154,True
226,226,810.0,191,True
227,227,890.0,111,True
228,228,826.0,175,True
229,229,832.0,169,True
230,230,782.0,219,True
231,231,818.0,183,True
232,232,835.0,166,True
233,233,840.0,161,True
234,234,839.0,162,True
235,235,819.0,182,True
236,236,810.0,191,True
237,237,851.0,150,True
238,238,838.0,163,True
239,239,851.0,150,True
240,240,863.0,138,True
241,241,832.0,169,True
242,242,858.0,143,True
243,243,864.0,137,True
244,244,842.0,159,True
245,245,693.0,308,True
246,246,865.0,136,True
247,247,838.0,163,True
248,248,732.0,269,True
249,249,858.0,143,True
250,250,807.0,194,True
251,251,842.0,159,True
252,252,817.0,184,True
253,253,835.0,166,True
254,254,836.0,165,True
255,255,865.0,136,True
256,256,793.0,208,True
257,257,817.0,184,True
258,258,800.0,201,True
259,259,753.0,248,True
260,260,-500.0,500,False
261,261,830.0,171,True
262,262,636.0,365,True
263,263,834.0,167,True
264,264,793.0,208,True
265,265,844.0,157,True
266,266,854.0,147,True
267,267,841.0,160,True
268,268,842.0,159,True
269,269,834.0,167,True
270,270,811.0,190,True
271,271,799.0,202,True
272,272,822.0,179,True
273,273,828.0,173,True
274,274,805.0,196,True
275,275,819.0,182,True
276,276,825.0,176,True
277,277,832.0,169,True
278,278,796.0,205,True
279,279,817.0,184,True
