,episode,reward,epochs,success
0,0,9.0,9,False
1,1,9.0,9,False
2,2,9.0,9,False
3,3,10.0,10,False
4,4,10.0,10,False
5,5,10.0,10,False
6,6,9.0,9,False
7,7,9.0,9,False
8,8,9.0,9,False
9,9,9.0,9,False
10,10,8.0,8,False
11,11,8.0,8,False
12,12,9.0,9,False
13,13,9.0,9,False
14,14,9.0,9,False
15,15,9.0,9,False
16,16,11.0,11,False
17,17,9.0,9,False
18,18,8.0,8,False
19,19,8.0,8,False
20,20,8.0,8,False
21,21,11.0,11,False
22,22,9.0,9,False
23,23,9.0,9,False
24,24,8.0,8,False
25,25,8.0,8,False
26,26,9.0,9,False
27,27,9.0,9,False
28,28,9.0,9,False
29,29,9.0,9,False
30,30,10.0,10,False
31,31,9.0,9,False
32,32,8.0,8,False
33,33,9.0,9,False
34,34,9.0,9,False
35,35,9.0,9,False
36,36,9.0,9,False
37,37,10.0,10,False
38,38,8.0,8,False
39,39,9.0,9,False
40,40,11.0,11,False
41,41,9.0,9,False
42,42,9.0,9,False
43,43,9.0,9,False
44,44,9.0,9,False
45,45,10.0,10,False
46,46,9.0,9,False
47,47,8.0,8,False
48,48,9.0,9,False
49,49,8.0,8,False
50,50,8.0,8,False
51,51,9.0,9,False
52,52,8.0,8,False
53,53,11.0,11,False
54,54,8.0,8,False
55,55,10.0,10,False
56,56,8.0,8,False
57,57,9.0,9,False
58,58,10.0,10,False
59,59,9.0,9,False
60,60,10.0,10,False
61,61,9.0,9,False
62,62,8.0,8,False
63,63,8.0,8,False
64,64,8.0,8,False
65,65,9.0,9,False
66,66,9.0,9,False
67,67,9.0,9,False
68,68,9.0,9,False
69,69,9.0,9,False
70,70,8.0,8,False
71,71,15.0,15,False
72,72,8.0,8,False
73,73,8.0,8,False
74,74,8.0,8,False
75,75,8.0,8,False
76,76,8.0,8,False
77,77,9.0,9,False
78,78,9.0,9,False
79,79,9.0,9,False
80,80,9.0,9,False
81,81,9.0,9,False
82,82,9.0,9,False
83,83,9.0,9,False
84,84,8.0,8,False
85,85,8.0,8,False
86,86,9.0,9,False
87,87,9.0,9,False
88,88,10.0,10,False
89,89,8.0,8,False
90,90,10.0,10,False
91,91,9.0,9,False
92,92,9.0,9,False
93,93,10.0,10,False
94,94,9.0,9,False
95,95,11.0,11,False
96,96,9.0,9,False
97,97,8.0,8,False
98,98,10.0,10,False
99,99,10.0,10,False
100,100,9.0,9,False
101,101,10.0,10,False
