,episode,reward,epochs,success
0,0,-120.93470465596802,134,False
1,1,-98.9426918493636,250,False
2,2,138.8199449405579,941,False
3,3,-96.87825480437688,466,False
4,4,-132.1458655530048,243,False
5,5,-166.94781380274267,348,False
6,6,-143.38177854450953,146,False
7,7,-115.33176640302287,130,False
8,8,-111.28536864464793,306,False
9,9,-266.05492449289113,245,False
10,10,-88.14119419414257,348,False
11,11,-156.93340333150888,386,False
12,12,-98.6606715233905,173,False
13,13,-4.94946175764656,363,False
14,14,-45.88809312760425,236,False
15,15,-96.31189987454573,205,False
16,16,-127.82631804857779,120,False
17,17,-137.50374764154694,499,False
18,18,-207.53965672111946,802,False
19,19,-134.00211953813437,273,False
20,20,-45.134587098955905,70,False
21,21,-127.97363920817239,146,False
22,22,-150.11692316896054,315,False
23,23,-147.13746019292574,242,False
24,24,27.580325553125576,389,False
25,25,-141.9506408486157,153,False
26,26,-36.509379816890224,661,False
27,27,-89.79123809223191,58,False
28,28,-6.508127890692634,194,False
29,29,-89.98058746918869,188,False
30,30,235.07414016476952,429,True
31,31,-151.31720180600752,361,False
32,32,-112.89148324576854,256,False
33,33,-85.15495884762082,304,False
34,34,-135.40712139138742,164,False
35,35,-96.05470306545452,487,False
36,36,-159.67604830495742,147,False
37,37,-123.2076333528587,148,False
38,38,-123.74689326400303,171,False
39,39,-141.57861521123954,305,False
40,40,-152.96290442290348,139,False
41,41,-86.92664062006267,166,False
42,42,-105.43407176479579,172,False
43,43,-123.96042091674055,137,False
44,44,-85.03373585196259,313,False
45,45,-124.32125498749468,384,False
46,46,-51.11383863157728,172,False
47,47,-150.58214906312656,153,False
48,48,-49.57678873683456,164,False
49,49,-118.9007653160437,210,False
50,50,-133.64981423596635,152,False
51,51,26.134370971815983,356,False
52,52,-91.94551021307724,130,False
53,53,-110.90838074257894,150,False
54,54,-124.60629488625321,764,False
55,55,-124.07005111143032,147,False
56,56,-123.44986621216002,416,False
57,57,-132.71191589098697,354,False
58,58,-131.7681146641202,675,False
59,59,-33.03086307758599,336,False
60,60,-53.966378934930255,149,False
61,61,-154.4728124784397,521,False
62,62,-98.22877823984095,147,False
63,63,-108.76928905075631,58,False
64,64,-185.226920356522,752,False
65,65,-139.49483598173003,140,False
66,66,-132.41636944740225,131,False
67,67,-170.94346031321297,208,False
68,68,-143.92683706617504,212,False
69,69,-107.19605415637827,112,False
70,70,-86.93273377197153,104,False
71,71,-96.19799023343836,147,False
72,72,-104.53219987581042,127,False
73,73,-218.9464137507651,242,False
74,74,-280.8023990429863,238,False
75,75,-114.5053144010324,293,False
76,76,-141.95441624418916,178,False
77,77,-161.91103633784607,197,False
78,78,-159.93155485621978,250,False
79,79,-166.78912776079991,177,False
80,80,-59.53608710772305,266,False
81,81,-159.2879898940752,280,False
82,82,-130.7014911217495,319,False
83,83,-13.520537179038719,1000,False
84,84,-67.98970182856928,378,False
85,85,-128.89635619604803,117,False
86,86,-291.96958217137364,250,False
87,87,-105.1991628041337,56,False
88,88,-23.64663931764734,181,False
89,89,-209.61091419719756,621,False
90,90,-72.52216186649103,164,False
91,91,-57.87807237398168,199,False
