,episode,reward,epochs,success
0,0,-184.31333527978495,200,False
1,1,-181.40667007320772,200,False
2,2,-173.5321864938669,200,False
3,3,-182.38072011590702,200,False
4,4,-194.97031728698175,200,False
5,5,-193.22620154043761,200,False
6,6,-183.47650755795257,200,False
7,7,-193.23762015646935,200,False
8,8,-194.4574191745687,200,False
9,9,-194.97443628945348,200,False
10,10,-183.52336660557,200,False
11,11,-194.85374446521178,200,False
12,12,-176.19552244141232,200,False
13,13,-194.78486810585878,200,False
14,14,-194.9617357208581,200,False
15,15,-179.8659464890079,200,False
16,16,-180.4164810200291,200,False
17,17,-194.6493710277906,200,False
18,18,-190.71822223281742,200,False
19,19,-194.86833155929162,200,False
20,20,-173.25912103067367,200,False
21,21,-177.69623119343123,200,False
22,22,-194.8697168552144,200,False
23,23,-176.68421893217712,200,False
24,24,-194.6672204596439,200,False
25,25,-186.3808469580988,200,False
26,26,-175.6409170169718,200,False
27,27,-194.13302182542225,200,False
28,28,-184.63848243227403,200,False
29,29,-190.83350403327586,200,False
30,30,-183.8871469012247,200,False
31,31,-175.66896352545882,200,False
32,32,-173.15932959474907,200,False
33,33,-173.24869269690453,200,False
34,34,-194.94727731976127,200,False
35,35,-188.4156877803889,200,False
36,36,-193.24189883874112,200,False
37,37,-190.9978323304358,200,False
38,38,-194.9816658806526,200,False
39,39,-184.82198844271238,200,False
40,40,-180.00506261205408,200,False
41,41,-193.96690310996973,200,False
42,42,-193.10902649914397,200,False
43,43,-170.30781612400006,200,False
44,44,-194.0777622429792,200,False
45,45,-174.9988797872561,200,False
46,46,-188.82013215069833,200,False
47,47,-191.68270430836856,200,False
48,48,-180.67708978867358,200,False
49,49,-194.7511039883807,200,False
50,50,-194.14648736448612,200,False
51,51,-194.94040971321454,200,False
52,52,-175.24621164603786,200,False
53,53,-189.13356512496193,200,False
54,54,-170.83999745657934,200,False
55,55,-194.3457218631579,200,False
56,56,-194.9572425876994,200,False
57,57,-194.8623600083465,200,False
58,58,-194.09255512350683,200,False
59,59,-194.45764129166605,200,False
60,60,-175.17312133416,200,False
61,61,-187.89227972752087,200,False
62,62,-182.71657071090885,200,False
63,63,-174.99579805367205,200,False
64,64,-186.1762059777675,200,False
65,65,-185.91841655642156,200,False
66,66,-194.86966623758235,200,False
67,67,-193.82871304717924,200,False
68,68,-194.39655121886972,200,False
69,69,-194.70646744487112,200,False
70,70,-182.16449668616406,200,False
71,71,-184.61864595926727,200,False
72,72,-185.01667895050105,200,False
73,73,-194.96765149428938,200,False
74,74,-194.41489884742396,200,False
75,75,-174.257480388178,200,False
76,76,-194.25676990306843,200,False
77,77,-178.94395497484084,200,False
78,78,-193.2312322936582,200,False
79,79,-193.63254355021553,200,False
80,80,-190.86714272978043,200,False
81,81,-194.87009163269704,200,False
82,82,-181.49799386116712,200,False
83,83,-180.91635113109987,200,False
84,84,-175.23347056516627,200,False
85,85,-194.40660129911294,200,False
86,86,-171.9934106288747,200,False
87,87,-176.33162771023763,200,False
88,88,-183.98172027156812,200,False
89,89,-170.69621539139916,200,False
90,90,-177.28941142392375,200,False
91,91,-185.6987490467617,200,False
92,92,-194.97650338553285,200,False
93,93,-194.30947114201444,200,False
94,94,-177.65095348249815,200,False
95,95,-170.50338424093638,200,False
96,96,-194.9556637671094,200,False
97,97,-192.6894259931032,200,False
