,episode,reward,epochs,success
0,0,-499.0,499,False
1,1,-499.0,499,False
2,2,-499.0,499,False
3,3,-499.0,499,False
4,4,-499.0,499,False
5,5,-499.0,499,False
6,6,-499.0,499,False
7,7,-499.0,499,False
8,8,-499.0,499,False
9,9,-499.0,499,False
10,10,-499.0,499,False
11,11,-499.0,499,False
12,12,-499.0,499,False
13,13,-499.0,499,False
14,14,-499.0,499,False
15,15,-499.0,499,False
16,16,-499.0,499,False
17,17,-499.0,499,False
18,18,-499.0,499,False
19,19,-499.0,499,False
20,20,-499.0,499,False
21,21,-499.0,499,False
22,22,-499.0,499,False
23,23,-499.0,499,False
24,24,-499.0,499,False
25,25,-499.0,499,False
26,26,-499.0,499,False
27,27,-499.0,499,False
28,28,-499.0,499,False
29,29,-499.0,499,False
30,30,-499.0,499,False
31,31,-499.0,499,False
32,32,-499.0,499,False
33,33,-499.0,499,False
34,34,-499.0,499,False
35,35,-499.0,499,False
36,36,-499.0,499,False
37,37,-499.0,499,False
38,38,-499.0,499,False
39,39,-499.0,499,False
40,40,-499.0,499,False
41,41,-499.0,499,False
42,42,-499.0,499,False
43,43,-499.0,499,False
44,44,-499.0,499,False
45,45,-499.0,499,False
46,46,-499.0,499,False
47,47,-499.0,499,False
48,48,-499.0,499,False
49,49,-499.0,499,False
50,50,-499.0,499,False
51,51,-499.0,499,False
52,52,-499.0,499,False
53,53,-499.0,499,False
54,54,-499.0,499,False
55,55,-499.0,499,False
56,56,-499.0,499,False
57,57,-499.0,499,False
58,58,-499.0,499,False
59,59,-499.0,499,False
60,60,-499.0,499,False
61,61,-499.0,499,False
62,62,-499.0,499,False
63,63,-499.0,499,False
64,64,-499.0,499,False
65,65,-499.0,499,False
66,66,-499.0,499,False
67,67,-499.0,499,False
68,68,-499.0,499,False
69,69,-499.0,499,False
70,70,-499.0,499,False
71,71,-499.0,499,False
72,72,-499.0,499,False
73,73,-499.0,499,False
74,74,-499.0,499,False
75,75,-499.0,499,False
76,76,-499.0,499,False
77,77,-499.0,499,False
78,78,-499.0,499,False
79,79,-499.0,499,False
