,episode,reward,epochs,success
0,0,21.0,21,False
1,1,18.0,18,False
2,2,10.0,10,False
3,3,22.0,22,False
4,4,17.0,17,False
5,5,18.0,18,False
6,6,19.0,19,False
7,7,10.0,10,False
8,8,14.0,14,False
9,9,14.0,14,False
10,10,24.0,24,False
11,11,12.0,12,False
12,12,17.0,17,False
13,13,23.0,23,False
14,14,23.0,23,False
15,15,27.0,27,False
16,16,18.0,18,False
17,17,12.0,12,False
18,18,8.0,8,False
19,19,18.0,18,False
20,20,12.0,12,False
21,21,13.0,13,False
22,22,16.0,16,False
23,23,67.0,67,False
24,24,13.0,13,False
25,25,28.0,28,False
26,26,11.0,11,False
27,27,32.0,32,False
28,28,15.0,15,False
29,29,12.0,12,False
30,30,30.0,30,False
31,31,36.0,36,False
32,32,28.0,28,False
33,33,18.0,18,False
34,34,18.0,18,False
35,35,30.0,30,False
36,36,19.0,19,False
37,37,12.0,12,False
38,38,13.0,13,False
39,39,34.0,34,False
40,40,22.0,22,False
41,41,16.0,16,False
42,42,16.0,16,False
43,43,13.0,13,False
44,44,16.0,16,False
45,45,17.0,17,False
46,46,32.0,32,False
47,47,16.0,16,False
48,48,16.0,16,False
49,49,51.0,51,False
50,50,9.0,9,False
51,51,22.0,22,False
52,52,18.0,18,False
53,53,13.0,13,False
54,54,13.0,13,False
55,55,15.0,15,False
56,56,116.0,116,False
57,57,12.0,12,False
58,58,18.0,18,False
59,59,21.0,21,False
60,60,14.0,14,False
61,61,52.0,52,False
62,62,46.0,46,False
63,63,13.0,13,False
64,64,21.0,21,False
65,65,17.0,17,False
66,66,26.0,26,False
67,67,29.0,29,False
68,68,13.0,13,False
69,69,18.0,18,False
70,70,38.0,38,False
71,71,19.0,19,False
72,72,14.0,14,False
73,73,33.0,33,False
74,74,19.0,19,False
75,75,20.0,20,False
76,76,19.0,19,False
77,77,30.0,30,False
78,78,12.0,12,False
79,79,14.0,14,False
80,80,18.0,18,False
81,81,19.0,19,False
82,82,18.0,18,False
83,83,33.0,33,False
84,84,30.0,30,False
85,85,15.0,15,False
86,86,12.0,12,False
87,87,10.0,10,False
88,88,17.0,17,False
89,89,30.0,30,False
90,90,40.0,40,False
91,91,14.0,14,False
92,92,11.0,11,False
93,93,11.0,11,False
94,94,24.0,24,False
95,95,18.0,18,False
96,96,11.0,11,False
97,97,24.0,24,False
98,98,9.0,9,False
99,99,35.0,35,False
100,100,16.0,16,False
101,101,35.0,35,False
102,102,16.0,16,False
103,103,16.0,16,False
104,104,18.0,18,False
105,105,12.0,12,False
106,106,49.0,49,False
107,107,11.0,11,False
108,108,11.0,11,False
109,109,15.0,15,False
110,110,11.0,11,False
111,111,14.0,14,False
112,112,36.0,36,False
113,113,22.0,22,False
114,114,19.0,19,False
115,115,22.0,22,False
116,116,12.0,12,False
117,117,14.0,14,False
118,118,11.0,11,False
119,119,24.0,24,False
120,120,22.0,22,False
121,121,12.0,12,False
122,122,19.0,19,False
123,123,20.0,20,False
124,124,18.0,18,False
125,125,23.0,23,False
126,126,10.0,10,False
127,127,36.0,36,False
128,128,21.0,21,False
129,129,38.0,38,False
130,130,23.0,23,False
131,131,24.0,24,False
132,132,24.0,24,False
133,133,21.0,21,False
134,134,14.0,14,False
135,135,23.0,23,False
136,136,13.0,13,False
137,137,23.0,23,False
138,138,18.0,18,False
139,139,19.0,19,False
140,140,30.0,30,False
141,141,20.0,20,False
142,142,13.0,13,False
143,143,26.0,26,False
144,144,47.0,47,False
145,145,9.0,9,False
146,146,18.0,18,False
147,147,29.0,29,False
148,148,34.0,34,False
149,149,14.0,14,False
150,150,19.0,19,False
151,151,16.0,16,False
152,152,12.0,12,False
153,153,27.0,27,False
154,154,9.0,9,False
155,155,12.0,12,False
156,156,40.0,40,False
157,157,24.0,24,False
158,158,9.0,9,False
159,159,38.0,38,False
160,160,11.0,11,False
161,161,16.0,16,False
162,162,21.0,21,False
163,163,13.0,13,False
164,164,12.0,12,False
165,165,12.0,12,False
166,166,13.0,13,False
167,167,10.0,10,False
168,168,11.0,11,False
169,169,16.0,16,False
170,170,22.0,22,False
171,171,22.0,22,False
172,172,19.0,19,False
173,173,15.0,15,False
174,174,39.0,39,False
175,175,15.0,15,False
176,176,33.0,33,False
177,177,13.0,13,False
178,178,11.0,11,False
179,179,49.0,49,False
180,180,21.0,21,False
181,181,9.0,9,False
182,182,84.0,84,False
183,183,11.0,11,False
184,184,20.0,20,False
185,185,25.0,25,False
186,186,18.0,18,False
187,187,10.0,10,False
188,188,24.0,24,False
189,189,12.0,12,False
190,190,25.0,25,False
191,191,23.0,23,False
192,192,15.0,15,False
193,193,19.0,19,False
194,194,14.0,14,False
195,195,17.0,17,False
196,196,22.0,22,False
197,197,28.0,28,False
198,198,12.0,12,False
199,199,59.0,59,False
200,200,9.0,9,False
201,201,13.0,13,False
202,202,19.0,19,False
203,203,38.0,38,False
204,204,59.0,59,False
205,205,22.0,22,False
206,206,9.0,9,False
207,207,14.0,14,False
208,208,17.0,17,False
209,209,19.0,19,False
210,210,22.0,22,False
211,211,31.0,31,False
212,212,10.0,10,False
213,213,18.0,18,False
214,214,19.0,19,False
215,215,23.0,23,False
216,216,38.0,38,False
217,217,11.0,11,False
218,218,16.0,16,False
219,219,15.0,15,False
220,220,11.0,11,False
221,221,25.0,25,False
222,222,21.0,21,False
223,223,36.0,36,False
224,224,43.0,43,False
225,225,40.0,40,False
226,226,16.0,16,False
227,227,15.0,15,False
228,228,14.0,14,False
229,229,30.0,30,False
230,230,12.0,12,False
231,231,13.0,13,False
232,232,8.0,8,False
233,233,13.0,13,False
234,234,18.0,18,False
235,235,41.0,41,False
236,236,18.0,18,False
237,237,29.0,29,False
238,238,12.0,12,False
239,239,25.0,25,False
240,240,11.0,11,False
241,241,11.0,11,False
242,242,68.0,68,False
243,243,22.0,22,False
244,244,34.0,34,False
245,245,14.0,14,False
246,246,19.0,19,False
247,247,17.0,17,False
248,248,17.0,17,False
249,249,39.0,39,False
250,250,15.0,15,False
251,251,10.0,10,False
252,252,26.0,26,False
253,253,27.0,27,False
254,254,11.0,11,False
255,255,23.0,23,False
256,256,18.0,18,False
257,257,13.0,13,False
258,258,14.0,14,False
259,259,16.0,16,False
260,260,18.0,18,False
261,261,41.0,41,False
262,262,23.0,23,False
263,263,11.0,11,False
264,264,17.0,17,False
265,265,10.0,10,False
266,266,52.0,52,False
267,267,17.0,17,False
268,268,22.0,22,False
269,269,65.0,65,False
270,270,12.0,12,False
271,271,43.0,43,False
272,272,16.0,16,False
273,273,34.0,34,False
274,274,39.0,39,False
275,275,9.0,9,False
276,276,9.0,9,False
277,277,12.0,12,False
278,278,17.0,17,False
279,279,11.0,11,False
280,280,9.0,9,False
281,281,13.0,13,False
282,282,13.0,13,False
283,283,14.0,14,False
284,284,14.0,14,False
285,285,36.0,36,False
286,286,13.0,13,False
287,287,25.0,25,False
288,288,13.0,13,False
289,289,14.0,14,False
290,290,10.0,10,False
291,291,15.0,15,False
292,292,19.0,19,False
293,293,21.0,21,False
294,294,21.0,21,False
295,295,17.0,17,False
296,296,13.0,13,False
297,297,23.0,23,False
298,298,10.0,10,False
299,299,32.0,32,False
300,300,23.0,23,False
301,301,22.0,22,False
302,302,29.0,29,False
303,303,33.0,33,False
304,304,24.0,24,False
305,305,14.0,14,False
306,306,20.0,20,False
307,307,26.0,26,False
308,308,15.0,15,False
309,309,9.0,9,False
310,310,13.0,13,False
311,311,20.0,20,False
312,312,20.0,20,False
313,313,14.0,14,False
314,314,12.0,12,False
315,315,13.0,13,False
316,316,24.0,24,False
317,317,36.0,36,False
318,318,57.0,57,False
319,319,27.0,27,False
320,320,52.0,52,False
321,321,28.0,28,False
322,322,21.0,21,False
323,323,14.0,14,False
324,324,13.0,13,False
325,325,23.0,23,False
326,326,22.0,22,False
327,327,21.0,21,False
328,328,25.0,25,False
329,329,21.0,21,False
330,330,37.0,37,False
331,331,16.0,16,False
332,332,19.0,19,False
333,333,15.0,15,False
334,334,12.0,12,False
335,335,34.0,34,False
336,336,10.0,10,False
337,337,12.0,12,False
338,338,40.0,40,False
339,339,9.0,9,False
340,340,14.0,14,False
341,341,16.0,16,False
342,342,16.0,16,False
343,343,22.0,22,False
344,344,28.0,28,False
345,345,15.0,15,False
346,346,17.0,17,False
347,347,11.0,11,False
348,348,27.0,27,False
349,349,18.0,18,False
350,350,17.0,17,False
351,351,28.0,28,False
352,352,16.0,16,False
353,353,27.0,27,False
354,354,23.0,23,False
355,355,26.0,26,False
356,356,17.0,17,False
357,357,31.0,31,False
358,358,35.0,35,False
359,359,18.0,18,False
360,360,15.0,15,False
361,361,8.0,8,False
362,362,17.0,17,False
363,363,13.0,13,False
364,364,16.0,16,False
365,365,19.0,19,False
366,366,11.0,11,False
367,367,16.0,16,False
368,368,13.0,13,False
369,369,20.0,20,False
370,370,10.0,10,False
371,371,35.0,35,False
372,372,14.0,14,False
373,373,9.0,9,False
374,374,10.0,10,False
375,375,9.0,9,False
376,376,31.0,31,False
377,377,15.0,15,False
378,378,13.0,13,False
379,379,17.0,17,False
380,380,14.0,14,False
381,381,16.0,16,False
382,382,29.0,29,False
383,383,16.0,16,False
384,384,11.0,11,False
385,385,28.0,28,False
386,386,15.0,15,False
387,387,14.0,14,False
388,388,14.0,14,False
389,389,16.0,16,False
390,390,7.0,7,False
391,391,18.0,18,False
392,392,26.0,26,False
393,393,27.0,27,False
394,394,74.0,74,False
395,395,18.0,18,False
396,396,16.0,16,False
397,397,37.0,37,False
398,398,18.0,18,False
399,399,28.0,28,False
400,400,38.0,38,False
401,401,13.0,13,False
402,402,10.0,10,False
403,403,40.0,40,False
404,404,21.0,21,False
405,405,14.0,14,False
406,406,11.0,11,False
407,407,12.0,12,False
408,408,33.0,33,False
409,409,13.0,13,False
410,410,28.0,28,False
411,411,29.0,29,False
412,412,44.0,44,False
413,413,19.0,19,False
414,414,22.0,22,False
415,415,45.0,45,False
416,416,37.0,37,False
417,417,12.0,12,False
418,418,29.0,29,False
419,419,58.0,58,False
420,420,25.0,25,False
421,421,34.0,34,False
422,422,12.0,12,False
423,423,39.0,39,False
424,424,11.0,11,False
425,425,25.0,25,False
426,426,25.0,25,False
427,427,23.0,23,False
428,428,48.0,48,False
429,429,19.0,19,False
430,430,13.0,13,False
431,431,18.0,18,False
432,432,13.0,13,False
433,433,14.0,14,False
434,434,66.0,66,False
435,435,17.0,17,False
436,436,7.0,7,False
437,437,10.0,10,False
438,438,13.0,13,False
439,439,20.0,20,False
440,440,16.0,16,False
441,441,20.0,20,False
442,442,27.0,27,False
443,443,10.0,10,False
444,444,31.0,31,False
445,445,14.0,14,False
446,446,13.0,13,False
447,447,89.0,89,False
448,448,17.0,17,False
449,449,15.0,15,False
450,450,12.0,12,False
451,451,58.0,58,False
452,452,12.0,12,False
453,453,15.0,15,False
454,454,29.0,29,False
455,455,13.0,13,False
456,456,17.0,17,False
457,457,21.0,21,False
458,458,11.0,11,False
459,459,32.0,32,False
460,460,22.0,22,False
461,461,22.0,22,False
462,462,42.0,42,False
463,463,23.0,23,False
464,464,32.0,32,False
465,465,36.0,36,False
466,466,12.0,12,False
467,467,14.0,14,False
468,468,17.0,17,False
469,469,22.0,22,False
470,470,8.0,8,False
471,471,41.0,41,False
472,472,13.0,13,False
473,473,30.0,30,False
474,474,24.0,24,False
475,475,15.0,15,False
476,476,25.0,25,False
477,477,21.0,21,False
478,478,11.0,11,False
479,479,35.0,35,False
480,480,12.0,12,False
481,481,13.0,13,False
482,482,11.0,11,False
483,483,27.0,27,False
484,484,11.0,11,False
485,485,21.0,21,False
486,486,19.0,19,False
487,487,24.0,24,False
488,488,11.0,11,False
489,489,20.0,20,False
490,490,19.0,19,False
491,491,16.0,16,False
492,492,17.0,17,False
493,493,33.0,33,False
494,494,19.0,19,False
495,495,38.0,38,False
496,496,23.0,23,False
497,497,41.0,41,False
498,498,32.0,32,False
499,499,13.0,13,False
500,500,9.0,9,False
501,501,20.0,20,False
502,502,8.0,8,False
503,503,14.0,14,False
504,504,10.0,10,False
505,505,14.0,14,False
506,506,27.0,27,False
507,507,50.0,50,False
508,508,23.0,23,False
509,509,9.0,9,False
510,510,59.0,59,False
511,511,12.0,12,False
512,512,14.0,14,False
513,513,31.0,31,False
514,514,11.0,11,False
515,515,14.0,14,False
516,516,14.0,14,False
517,517,9.0,9,False
518,518,61.0,61,False
519,519,15.0,15,False
520,520,12.0,12,False
521,521,21.0,21,False
522,522,14.0,14,False
523,523,14.0,14,False
524,524,31.0,31,False
525,525,11.0,11,False
526,526,13.0,13,False
527,527,26.0,26,False
528,528,29.0,29,False
529,529,17.0,17,False
530,530,25.0,25,False
531,531,23.0,23,False
532,532,38.0,38,False
533,533,32.0,32,False
534,534,31.0,31,False
535,535,19.0,19,False
536,536,11.0,11,False
537,537,26.0,26,False
538,538,21.0,21,False
539,539,22.0,22,False
540,540,9.0,9,False
541,541,22.0,22,False
542,542,9.0,9,False
543,543,11.0,11,False
544,544,28.0,28,False
545,545,13.0,13,False
546,546,27.0,27,False
547,547,12.0,12,False
548,548,55.0,55,False
549,549,16.0,16,False
550,550,30.0,30,False
551,551,33.0,33,False
552,552,16.0,16,False
553,553,12.0,12,False
554,554,13.0,13,False
555,555,21.0,21,False
556,556,9.0,9,False
557,557,39.0,39,False
558,558,20.0,20,False
559,559,17.0,17,False
560,560,32.0,32,False
561,561,18.0,18,False
562,562,17.0,17,False
563,563,12.0,12,False
564,564,38.0,38,False
565,565,20.0,20,False
566,566,12.0,12,False
567,567,19.0,19,False
568,568,16.0,16,False
569,569,20.0,20,False
570,570,21.0,21,False
571,571,13.0,13,False
572,572,13.0,13,False
573,573,14.0,14,False
574,574,30.0,30,False
575,575,14.0,14,False
576,576,19.0,19,False
577,577,15.0,15,False
578,578,8.0,8,False
579,579,23.0,23,False
580,580,39.0,39,False
581,581,30.0,30,False
582,582,21.0,21,False
583,583,25.0,25,False
584,584,13.0,13,False
585,585,30.0,30,False
586,586,45.0,45,False
587,587,25.0,25,False
588,588,12.0,12,False
589,589,31.0,31,False
590,590,14.0,14,False
591,591,9.0,9,False
592,592,15.0,15,False
593,593,38.0,38,False
594,594,26.0,26,False
595,595,40.0,40,False
596,596,14.0,14,False
597,597,26.0,26,False
598,598,16.0,16,False
599,599,13.0,13,False
600,600,11.0,11,False
601,601,20.0,20,False
602,602,8.0,8,False
603,603,17.0,17,False
604,604,15.0,15,False
605,605,23.0,23,False
606,606,19.0,19,False
607,607,14.0,14,False
608,608,20.0,20,False
609,609,20.0,20,False
610,610,26.0,26,False
611,611,16.0,16,False
612,612,26.0,26,False
613,613,36.0,36,False
614,614,18.0,18,False
615,615,33.0,33,False
616,616,24.0,24,False
617,617,26.0,26,False
618,618,11.0,11,False
619,619,18.0,18,False
620,620,12.0,12,False
621,621,16.0,16,False
622,622,25.0,25,False
623,623,53.0,53,False
624,624,13.0,13,False
625,625,21.0,21,False
626,626,11.0,11,False
627,627,34.0,34,False
628,628,10.0,10,False
629,629,23.0,23,False
630,630,19.0,19,False
631,631,18.0,18,False
632,632,47.0,47,False
633,633,15.0,15,False
634,634,21.0,21,False
635,635,15.0,15,False
636,636,26.0,26,False
637,637,27.0,27,False
638,638,17.0,17,False
639,639,17.0,17,False
640,640,15.0,15,False
641,641,41.0,41,False
642,642,32.0,32,False
643,643,21.0,21,False
644,644,18.0,18,False
645,645,35.0,35,False
646,646,29.0,29,False
647,647,12.0,12,False
648,648,23.0,23,False
649,649,10.0,10,False
650,650,41.0,41,False
651,651,39.0,39,False
652,652,17.0,17,False
653,653,11.0,11,False
654,654,13.0,13,False
655,655,18.0,18,False
656,656,19.0,19,False
657,657,27.0,27,False
658,658,24.0,24,False
659,659,32.0,32,False
660,660,36.0,36,False
661,661,22.0,22,False
662,662,14.0,14,False
663,663,34.0,34,False
664,664,10.0,10,False
665,665,27.0,27,False
666,666,17.0,17,False
667,667,42.0,42,False
668,668,31.0,31,False
669,669,16.0,16,False
670,670,23.0,23,False
671,671,15.0,15,False
672,672,14.0,14,False
673,673,58.0,58,False
674,674,22.0,22,False
675,675,40.0,40,False
676,676,18.0,18,False
677,677,18.0,18,False
678,678,17.0,17,False
679,679,12.0,12,False
680,680,17.0,17,False
681,681,32.0,32,False
682,682,10.0,10,False
683,683,20.0,20,False
684,684,14.0,14,False
685,685,16.0,16,False
686,686,30.0,30,False
687,687,20.0,20,False
688,688,8.0,8,False
689,689,11.0,11,False
690,690,12.0,12,False
691,691,39.0,39,False
692,692,14.0,14,False
693,693,16.0,16,False
694,694,12.0,12,False
695,695,20.0,20,False
696,696,80.0,80,False
697,697,16.0,16,False
698,698,17.0,17,False
699,699,13.0,13,False
700,700,10.0,10,False
701,701,11.0,11,False
702,702,14.0,14,False
703,703,29.0,29,False
704,704,15.0,15,False
705,705,49.0,49,False
706,706,32.0,32,False
707,707,26.0,26,False
708,708,12.0,12,False
709,709,20.0,20,False
710,710,22.0,22,False
711,711,12.0,12,False
712,712,59.0,59,False
713,713,12.0,12,False
714,714,11.0,11,False
715,715,63.0,63,False
716,716,28.0,28,False
717,717,24.0,24,False
718,718,36.0,36,False
719,719,16.0,16,False
720,720,34.0,34,False
721,721,15.0,15,False
722,722,12.0,12,False
723,723,36.0,36,False
724,724,44.0,44,False
725,725,10.0,10,False
726,726,16.0,16,False
727,727,9.0,9,False
728,728,13.0,13,False
729,729,9.0,9,False
730,730,16.0,16,False
731,731,35.0,35,False
732,732,19.0,19,False
733,733,65.0,65,False
734,734,20.0,20,False
735,735,15.0,15,False
736,736,21.0,21,False
737,737,23.0,23,False
738,738,40.0,40,False
739,739,16.0,16,False
740,740,18.0,18,False
741,741,16.0,16,False
742,742,36.0,36,False
743,743,11.0,11,False
744,744,31.0,31,False
745,745,9.0,9,False
