,episode,reward,epochs,success
0,0,28.00974111720366,105,False
1,1,-165.10691318765686,125,False
2,2,-209.87150755817638,125,False
3,3,-79.02753972730041,67,False
4,4,1.315116838440904,116,False
5,5,23.68401347647685,88,False
6,6,-183.33669768211462,123,False
7,7,-148.2031802770165,143,False
8,8,-172.63335434455192,104,False
9,9,40.304188985806285,78,False
10,10,-126.41306999181579,83,False
11,11,-98.72113672776258,72,False
12,12,-30.621979830825985,72,False
13,13,78.66802063770169,103,False
14,14,-161.74786021988834,104,False
15,15,-36.830804353386064,90,False
16,16,-83.57104863153326,119,False
17,17,-72.09630667596502,75,False
18,18,-1.650601410349502,99,False
19,19,-58.96696477068451,107,False
20,20,-83.68782701531653,87,False
21,21,-184.71404303778328,93,False
22,22,50.98255979933579,125,False
23,23,-204.9101290078866,127,False
24,24,-61.52873955561209,68,False
25,25,-122.24692503965639,72,False
26,26,-80.3706741247344,86,False
27,27,2.3812462876139557,86,False
28,28,-5.250650687127367,61,False
29,29,-140.31156387539406,97,False
30,30,-218.27015922691362,78,False
31,31,-110.67809463374546,96,False
32,32,20.281799214575486,58,False
33,33,138.89307259710876,78,False
34,34,-70.15290415013423,103,False
35,35,-178.5525238521527,134,False
36,36,-169.26457565915717,90,False
37,37,-48.10557303595312,80,False
38,38,-43.320094564926194,109,False
39,39,-119.2181900564275,109,False
40,40,54.332893627351844,127,False
41,41,-51.79062960686127,99,False
42,42,-0.06060439431950826,87,False
43,43,-118.9518638623297,115,False
44,44,11.723845287207052,77,False
45,45,-131.81830471156724,81,False
46,46,-82.11031694067393,71,False
47,47,-118.758040998754,75,False
48,48,-32.98397601198775,84,False
49,49,7.934202551047926,61,False
50,50,144.03109570845766,85,False
51,51,140.6611920560699,84,False
52,52,-3.894552860877467,83,False
53,53,56.51558424339198,72,False
54,54,-289.17384378502874,94,False
55,55,-330.2948243827864,86,False
56,56,9.037541519369922,87,False
57,57,-97.24595163717966,95,False
58,58,-40.267368324754536,105,False
59,59,-22.594897477950546,72,False
60,60,-2.361116614785036,92,False
61,61,53.78219797788394,124,False
62,62,-39.46008387532687,65,False
63,63,-299.66300401004617,94,False
64,64,-83.61486262579253,122,False
65,65,-360.2316950370693,112,False
66,66,-17.12001346022337,84,False
67,67,-61.080519724087225,69,False
68,68,-294.07309677407846,93,False
69,69,-67.15837825759431,76,False
70,70,6.132932400342474,64,False
71,71,48.36227917909936,112,False
72,72,-109.92380760771125,86,False
73,73,-200.40092039198942,99,False
74,74,92.19078415664232,139,False
75,75,-303.7103284338501,105,False
76,76,51.95416082424596,93,False
77,77,-36.97967700683268,102,False
78,78,-259.3435692629819,90,False
79,79,-274.2840372552221,79,False
80,80,-85.18795475372826,105,False
81,81,-79.88931119840105,76,False
82,82,-65.4451307015334,89,False
83,83,3.833871132209584,63,False
84,84,-6.29497786570875,77,False
85,85,-319.2766540784348,91,False
86,86,-49.615311855859325,117,False
87,87,-113.95282577848984,127,False
88,88,-260.7891308143634,95,False
89,89,-93.03424731390176,78,False
90,90,-274.73760952526175,95,False
91,91,-197.77521163476504,88,False
92,92,21.429734388667956,63,False
93,93,-24.79854838809703,77,False
94,94,-376.43603613485095,101,False
95,95,-38.748250726998165,89,False
96,96,3.2966068020495856,91,False
97,97,-123.45530340457034,116,False
98,98,-84.75915391443189,110,False
99,99,-39.18495408394281,108,False
100,100,-79.46498225711926,111,False
101,101,68.72187424781498,67,False
102,102,-149.29276877277684,86,False
103,103,-162.34119494603019,80,False
104,104,-270.349436880701,118,False
105,105,20.198937053759728,74,False
106,106,-81.63020037056452,88,False
107,107,-182.45748901045548,88,False
108,108,41.4851008127417,74,False
109,109,-312.8667294675537,108,False
110,110,-110.19192983749063,83,False
111,111,-124.2497446188694,106,False
112,112,-17.05391399372914,76,False
113,113,-91.74759662692767,136,False
114,114,100.96274985996925,92,False
115,115,-25.149979975137,73,False
116,116,-5.184200087383431,75,False
117,117,-15.6665902839374,79,False
118,118,106.67790440386408,86,False
119,119,-102.1780714042138,76,False
120,120,-8.665730944565945,103,False
121,121,13.502518610076764,74,False
122,122,18.86519159185128,60,False
123,123,-201.88375253453356,115,False
124,124,-0.414429612210268,94,False
125,125,-130.34625169167785,70,False
126,126,-10.241157763738904,134,False
127,127,2.503855520841615,95,False
128,128,-48.242398638573405,79,False
129,129,-42.900970142934014,60,False
130,130,-25.807276317037548,68,False
131,131,-26.334291663864978,102,False
132,132,-263.3402772855861,83,False
133,133,-159.38716631441724,111,False
134,134,-190.13558178799425,148,False
135,135,-199.175743338323,93,False
136,136,-227.74667638428406,124,False
137,137,-288.5354439325616,111,False
138,138,-64.96133267491442,108,False
139,139,-242.2455607707353,108,False
140,140,-244.9607627399615,117,False
141,141,-11.977021696695983,124,False
142,142,-138.14594865733355,104,False
143,143,-15.72487222416293,68,False
144,144,-2.1001869342907735,58,False
145,145,-14.508337018895332,76,False
146,146,-59.065440403471456,67,False
147,147,137.7701443011846,99,False
148,148,-68.89763741123345,108,False
149,149,-254.37146728637578,102,False
150,150,-40.11532062341116,79,False
151,151,28.73585161277269,64,False
152,152,7.629446236677715,90,False
153,153,-63.17023405519477,81,False
154,154,2.516460674032386,92,False
155,155,-108.77453913743453,85,False
156,156,-121.7049262123792,75,False
157,157,30.074356569385948,102,False
158,158,25.64483831725905,80,False
159,159,-47.75429952889927,101,False
160,160,-193.74189126127033,103,False
161,161,-445.83961151517894,112,False
162,162,-145.37118722642217,144,False
163,163,-38.54255753216087,113,False
164,164,-52.349494216411486,93,False
165,165,-35.920223455051044,84,False
166,166,-37.88691064055756,126,False
167,167,-128.14050448571092,91,False
168,168,-117.10341345407656,108,False
169,169,-301.5571271992235,110,False
170,170,-26.94268947835096,88,False
171,171,-68.78719976066391,110,False
172,172,20.216556464887617,68,False
173,173,-83.2445189946286,77,False
174,174,6.165511206717178,71,False
175,175,-11.87463937204779,80,False
176,176,-44.88763322007081,75,False
177,177,-274.54896262831994,82,False
178,178,-14.742804353002686,111,False
179,179,-3.1188376480658206,65,False
180,180,-80.88299670186264,113,False
181,181,52.04440426013511,85,False
182,182,-10.983178241234917,130,False
183,183,-43.21155476950719,91,False
184,184,-174.47494017739587,75,False
185,185,-266.30105378653184,90,False
186,186,2.848981135306895,110,False
187,187,-18.050448312514856,76,False
188,188,-96.85459565736632,142,False
189,189,-31.52424115776323,116,False
190,190,-253.32311388133843,94,False
191,191,-24.17450401127281,81,False
192,192,-77.46901552809858,104,False
193,193,84.49068005727284,129,False
194,194,4.70476606799968,76,False
195,195,-86.4732860272693,109,False
196,196,37.327686386942055,109,False
197,197,21.862231298775132,65,False
198,198,26.784994575026197,67,False
199,199,-47.86907571689764,73,False
200,200,-218.26111738432516,93,False
201,201,129.70053228637542,87,False
202,202,-65.87130930778773,70,False
203,203,-43.18261745038222,86,False
204,204,-304.8310156329983,99,False
205,205,-101.4690690607668,118,False
206,206,-280.65923699312134,109,False
207,207,-52.401213991751796,60,False
208,208,-100.40880543905648,102,False
209,209,-2.9037454331312125,149,False
210,210,-19.35936329539028,126,False
211,211,45.85809435395623,87,False
212,212,-3.2352225529654604,95,False
213,213,-16.972317931481513,72,False
214,214,-168.23282494868346,78,False
215,215,-10.363008928879935,85,False
216,216,62.71791314335759,66,False
217,217,-26.988425735391047,72,False
218,218,-45.532371970543494,121,False
219,219,5.750664125970044,74,False
220,220,20.427035929743123,82,False
221,221,-389.74709617081436,107,False
222,222,-95.77237806616859,115,False
223,223,0.66726142734385,74,False
224,224,-196.52207910038328,134,False
225,225,-2.6307483768975164,62,False
226,226,3.8425245851527228,109,False
227,227,-7.144600955375651,76,False
228,228,-174.14720156508267,102,False
229,229,-94.84982447900306,73,False
230,230,-34.12501602202707,68,False
231,231,-181.33650337803374,85,False
232,232,34.3474577577591,63,False
233,233,-216.16414024502734,106,False
234,234,-88.54293447086746,114,False
235,235,-202.76173350937796,89,False
236,236,48.65527576446138,66,False
237,237,-9.446758661170248,104,False
238,238,19.049049883868683,76,False
239,239,-33.296758443255925,70,False
240,240,-236.03808725933115,126,False
241,241,-238.99599160673682,102,False
242,242,2.2706819188678367,56,False
243,243,-140.03917275143718,115,False
244,244,87.37755067217803,102,False
245,245,-271.5664062823683,70,False
246,246,-176.26685322859743,110,False
247,247,-68.5018801697952,64,False
248,248,19.918165736793515,62,False
249,249,-103.2436850056197,82,False
250,250,-53.93082575618289,108,False
251,251,-65.39672791461155,113,False
252,252,-184.2626346549585,98,False
253,253,-83.33779478250672,124,False
254,254,-216.01295181383958,105,False
255,255,-157.47764078012662,73,False
256,256,3.3173715038717644,72,False
257,257,-171.56058824154832,88,False
258,258,-88.4642930258805,111,False
259,259,-20.715837536642987,82,False
260,260,40.46488867429228,64,False
261,261,-28.594573754596592,107,False
262,262,-62.23231570510913,76,False
263,263,-156.6345170117495,105,False
264,264,3.9849677157482573,59,False
265,265,57.12711851435708,83,False
266,266,12.445213829911024,81,False
267,267,-49.69344617518682,80,False
268,268,-292.22893006749075,94,False
269,269,-119.37774119152672,108,False
270,270,-100.79287554171722,93,False
271,271,-135.05420946229592,67,False
272,272,-479.49678766655586,123,False
273,273,-132.8967614713899,123,False
274,274,-204.75661257522395,114,False
275,275,-183.11215615112027,118,False
