,episode,reward,epochs,success
0,0,-867.0233957835555,199,False
1,1,-894.5270561654161,199,False
2,2,-1103.3544089645218,199,False
3,3,-889.1766587471242,199,False
4,4,-883.9297398686482,199,False
5,5,-979.6192237157356,199,False
6,6,-1388.1208635052546,199,False
7,7,-1067.7006684333771,199,False
8,8,-878.1518954733953,199,False
9,9,-1177.647699546909,199,False
10,10,-1119.6721298267853,199,False
11,11,-1301.2968056268453,199,False
12,12,-935.3851050162015,199,False
13,13,-966.0984056095941,199,False
14,14,-1213.2817934297357,199,False
15,15,-890.2746183221457,199,False
16,16,-1179.2154454893764,199,False
17,17,-1593.9711781276765,199,False
18,18,-1307.1160812238215,199,False
19,19,-1453.379098266109,199,False
20,20,-1153.8805494184503,199,False
21,21,-1581.4310685219177,199,False
22,22,-1084.9930952381085,199,False
23,23,-1534.4600046865903,199,False
24,24,-699.2550555419494,199,False
25,25,-1564.8490542134502,199,False
26,26,-1062.2152074207568,199,False
27,27,-1240.364658606943,199,False
28,28,-1081.8645720409277,199,False
29,29,-887.5067552937489,199,False
30,30,-1727.482066653484,199,False
31,31,-1260.2872549066144,199,False
32,32,-1558.7063716681398,199,False
33,33,-1074.095247658021,199,False
34,34,-1003.1195681129732,199,False
35,35,-818.0592035118835,199,False
36,36,-1453.5667001888262,199,False
37,37,-893.389540128505,199,False
38,38,-1184.5693395284163,199,False
39,39,-1331.2204017755244,199,False
40,40,-1021.613023206823,199,False
41,41,-1533.9645763493772,199,False
42,42,-966.7752132000164,199,False
43,43,-1717.6695158719247,199,False
44,44,-1731.2580093230267,199,False
45,45,-872.405435855521,199,False
46,46,-1602.8066446162677,199,False
47,47,-934.4066614129418,199,False
48,48,-861.6677570631468,199,False
49,49,-1480.7482323436602,199,False
50,50,-1683.4865148603972,199,False
51,51,-969.2109186420478,199,False
52,52,-954.4798029061818,199,False
53,53,-1166.2507598155482,199,False
54,54,-1557.875286538144,199,False
55,55,-1534.863403016896,199,False
56,56,-1070.0704986764413,199,False
57,57,-1176.6113477762851,199,False
58,58,-1298.1681496659648,199,False
59,59,-772.3225731107113,199,False
60,60,-1493.1370567211568,199,False
61,61,-1602.3285871913656,199,False
62,62,-911.325946659185,199,False
63,63,-1081.8517248606233,199,False
64,64,-1255.7744943259477,199,False
65,65,-1516.2605764020557,199,False
66,66,-1196.1847276212643,199,False
67,67,-1214.1226654960058,199,False
68,68,-621.1605593025806,199,False
69,69,-885.2461503323225,199,False
70,70,-1526.2604201637887,199,False
71,71,-1448.1474988317098,199,False
72,72,-773.9911537980286,199,False
73,73,-629.2448757218201,199,False
74,74,-968.8863588539225,199,False
75,75,-1371.5451887337529,199,False
76,76,-1066.4473450748576,199,False
77,77,-961.233483942768,199,False
78,78,-855.077646584468,199,False
79,79,-1413.2896687548546,199,False
80,80,-911.3968404838556,199,False
81,81,-971.3231587948404,199,False
82,82,-873.0352707515783,199,False
83,83,-919.6534718914905,199,False
84,84,-967.2073057295402,199,False
85,85,-867.1314695998386,199,False
86,86,-1620.131839585769,199,False
87,87,-1531.4765411992564,199,False
88,88,-858.4919994425977,199,False
89,89,-1213.4745512665186,199,False
90,90,-1278.872898896426,199,False
91,91,-1618.3301579445676,199,False
92,92,-1066.0486760612323,199,False
93,93,-1589.6203257486982,199,False
94,94,-900.4330108662283,199,False
95,95,-1570.5553615747701,199,False
96,96,-1483.03994018301,199,False
97,97,-1386.3466964390466,199,False
98,98,-875.5571015505834,199,False
99,99,-976.4288425739206,199,False
100,100,-1017.9432764999138,199,False
101,101,-1474.6858774313978,199,False
102,102,-1135.7588391052698,199,False
103,103,-816.9255790403545,199,False
104,104,-1742.64574246931,199,False
105,105,-869.1888581923347,199,False
106,106,-1393.2786608251495,199,False
107,107,-894.2754493591824,199,False
108,108,-864.2934213365305,199,False
109,109,-1170.1084372345285,199,False
110,110,-1553.5847328816405,199,False
111,111,-1544.1363299776863,199,False
112,112,-1122.3371742498782,199,False
113,113,-1680.6919808474936,199,False
