,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,87.2895266424166,200,0.9,4,0.0,False
1,2,91.82293794001453,200,0.81,4,0.0,False
2,3,-108.25935654102068,200,0.7290000000000001,4,0.0,False
3,4,169.13821353227831,200,0.6561000000000001,4,0.0,False
4,5,199.63815992232412,200,0.5904900000000002,4,0.0,False
5,6,48.22163692006143,200,0.5314410000000002,4,0.0,False
6,7,12.384237608057447,200,0.47829690000000014,4,0.0,False
7,8,-40.38477277717902,200,0.43046721000000016,4,0.0,False
8,9,178.46800639817957,200,0.38742048900000015,4,0.0,False
9,10,-65.08142034868456,200,0.34867844010000015,4,0.0,False
10,11,1279.9064083741978,153,0.31381059609000017,4,0.091,True
11,12,1125.0067961841487,180,0.28242953648100017,4,0.167,True
12,13,68.60262255941052,200,0.25418658283290013,4,0.154,False
13,14,61.32918648290797,200,0.22876792454961012,4,0.143,False
14,15,1246.1206499519758,167,0.2058911320946491,4,0.2,True
15,16,1099.36656550318,89,0.1853020188851842,4,0.25,True
16,17,1078.2327723394264,99,0.16677181699666577,4,0.294,True
17,18,1079.1632823852997,99,0.1500946352969992,4,0.333,True
18,19,218.4632735894411,200,0.13508517176729928,4,0.316,False
19,20,1276.2760165298823,161,0.12157665459056936,4,0.35,True
20,21,1245.7416052592453,146,0.10941898913151243,4,0.381,True
21,22,1232.1362348437542,153,0.0984770902183612,4,0.409,True
22,23,1100.367412428488,89,0.08862938119652508,4,0.435,True
23,24,199.59527189130313,200,0.07976644307687257,4,0.417,False
24,25,1237.137810599641,153,0.07178979876918531,4,0.44,True
25,26,1077.6443382888392,99,0.06461081889226679,4,0.462,True
26,27,1274.21121527988,160,0.05814973700304011,4,0.481,True
27,28,1230.2717604223362,143,0.0523347633027361,4,0.5,True
28,29,1066.1860063793429,107,0.04710128697246249,4,0.517,True
29,30,1230.583006328423,153,0.042391158275216244,4,0.533,True
30,31,1067.5180402689148,106,0.03815204244769462,4,0.548,True
