,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,436.299404244765,217,0.9,4,0.0,False
1,2,403.123930333089,214,0.81,4,0.0,False
2,3,332.065732189885,229,0.7290000000000001,4,0.0,False
3,4,233.55399499793987,222,0.6561000000000001,4,0.0,False
4,5,439.37330094259244,210,0.5904900000000002,4,0.0,False
5,6,253.1143634019985,224,0.5314410000000002,4,0.0,False
6,7,276.3394072172582,201,0.47829690000000014,4,0.0,False
7,8,200.85413177352,216,0.43046721000000016,4,0.0,False
8,9,287.0478078240645,79,0.38742048900000015,4,0.111,True
9,10,336.99139640675867,76,0.34867844010000015,4,0.2,True
10,11,273.2629667884438,217,0.31381059609000017,4,0.182,False
11,12,276.810044309334,201,0.28242953648100017,4,0.167,False
12,13,253.69995786119233,226,0.25418658283290013,4,0.154,False
13,14,457.47906624970204,181,0.22876792454961012,4,0.214,True
14,15,503.6505227388233,232,0.2058911320946491,4,0.2,False
15,16,257.26413372054793,226,0.1853020188851842,4,0.188,False
16,17,281.9332535456982,81,0.16677181699666577,4,0.235,True
17,18,334.93693539695823,81,0.1500946352969992,4,0.278,True
18,19,365.03477235781054,249,0.13508517176729928,4,0.263,False
19,20,364.51008463734786,249,0.12157665459056936,4,0.25,False
20,21,162.35495488902075,211,0.10941898913151243,4,0.238,False
21,22,288.8057701304786,235,0.0984770902183612,4,0.227,False
22,23,143.72692151259676,212,0.08862938119652508,4,0.217,False
23,24,160.30559733510586,211,0.07976644307687257,4,0.208,False
24,25,159.0080735029244,211,0.07178979876918531,4,0.2,False
25,26,242.56445914013295,222,0.06461081889226679,4,0.192,False
26,27,240.3189946349563,222,0.05814973700304011,4,0.185,False
27,28,319.8773358732053,241,0.0523347633027361,4,0.179,False
28,29,271.58539641851075,228,0.04710128697246249,4,0.172,False
29,30,274.8270956991355,228,0.042391158275216244,4,0.167,False
30,31,232.7045343959324,220,0.03815204244769462,4,0.161,False
31,32,166.17892589342648,212,0.03433683820292516,4,0.156,False
32,33,195.26329843685366,215,0.030903154382632643,4,0.152,False
33,34,289.8277869868793,208,0.02781283894436938,4,0.147,False
34,35,196.70207689452204,215,0.025031555049932444,4,0.143,False
35,36,339.3189035282879,248,0.0225283995449392,4,0.139,False
