,success,times,rewards,steps
0,1,0.04951643943786621,9.0,9
1,1,0.07751750946044922,9.0,9
2,1,0.10352134704589844,9.0,9
3,1,0.1465315818786621,15.0,15
4,1,0.17204546928405762,10.0,10
5,1,0.20404291152954102,9.0,9
6,1,0.23154163360595703,9.0,9
7,1,0.25952887535095215,10.0,10
8,1,0.2840428352355957,9.0,9
9,1,0.30404090881347656,9.0,9
10,1,0.32956409454345703,12.0,12
11,1,0.3515608310699463,9.0,9
12,1,0.3698306083679199,9.0,9
13,1,0.3898305892944336,10.0,10
14,1,0.4098343849182129,10.0,10
15,1,0.42983531951904297,10.0,10
16,1,0.4488339424133301,9.0,9
17,1,0.4718334674835205,12.0,12
18,1,0.4888315200805664,9.0,9
19,1,0.5103435516357422,9.0,9
20,1,0.5313432216644287,8.0,8
21,1,0.5668551921844482,15.0,15
22,1,0.5888514518737793,9.0,9
23,1,0.6078531742095947,9.0,9
24,1,0.6328561305999756,10.0,10
25,1,0.6578562259674072,10.0,10
26,1,0.6928679943084717,11.0,11
27,1,0.7188699245452881,10.0,10
28,1,0.7413778305053711,9.0,9
29,1,0.7713837623596191,13.0,13
30,1,0.7983815670013428,10.0,10
31,1,0.8283932209014893,10.0,10
32,1,0.8518655300140381,10.0,10
33,1,0.8807845115661621,12.0,12
34,1,0.8998003005981445,8.0,8
35,1,0.9247994422912598,10.0,10
36,1,0.942781925201416,8.0,8
37,1,0.9667737483978271,10.0,10
38,1,0.9977800846099854,11.0,11
39,1,1.0247793197631836,10.0,10
40,1,1.0527653694152832,10.0,10
41,1,1.0817780494689941,12.0,12
42,1,1.1057775020599365,10.0,10
43,1,1.128798246383667,9.0,9
44,1,1.1648011207580566,10.0,10
45,1,1.1928343772888184,12.0,12
46,1,1.218834638595581,10.0,10
47,1,1.239405632019043,9.0,9
48,1,1.2644069194793701,10.0,10
49,1,1.2859647274017334,9.0,9
50,1,1.3109493255615234,11.0,11
51,1,1.3352992534637451,9.0,9
52,1,1.3582994937896729,9.0,9
53,1,1.3798189163208008,10.0,10
54,1,1.4058270454406738,11.0,11
55,1,1.4333412647247314,11.0,11
56,1,1.458341121673584,10.0,10
57,1,1.4818639755249023,10.0,10
58,1,1.5068652629852295,10.0,10
59,1,1.5312347412109375,9.0,9
60,1,1.5572330951690674,9.0,9
61,1,1.5842323303222656,11.0,11
62,1,1.605205774307251,9.0,9
63,1,1.6311933994293213,11.0,11
64,1,1.655189037322998,9.0,9
65,1,1.677201271057129,8.0,8
66,1,1.7022125720977783,10.0,10
67,1,1.7299070358276367,11.0,11
68,1,1.7599327564239502,11.0,11
69,1,1.7869603633880615,10.0,10
70,1,1.8134956359863281,10.0,10
71,1,1.840468168258667,12.0,12
72,1,1.8664238452911377,10.0,10
73,1,1.8992140293121338,11.0,11
74,1,1.9239554405212402,10.0,10
75,1,1.9500384330749512,10.0,10
76,1,1.9730510711669922,11.0,11
77,1,1.9990663528442383,10.0,10
78,1,2.0230629444122314,9.0,9
79,1,2.0470683574676514,9.0,9
80,1,2.0780677795410156,11.0,11
81,1,2.1015756130218506,10.0,10
82,1,2.121575355529785,8.0,8
83,1,2.1475815773010254,9.0,9
84,1,2.172581434249878,10.0,10
85,1,2.1945877075195312,8.0,8
86,1,2.2155613899230957,9.0,9
87,1,2.2395834922790527,10.0,10
88,1,2.2595949172973633,8.0,8
89,1,2.2816038131713867,9.0,9
90,1,2.3046205043792725,9.0,9
91,1,2.329636812210083,9.0,9
92,1,2.358635187149048,11.0,11
93,1,2.381157636642456,9.0,9
94,1,2.4061214923858643,10.0,10
95,1,2.435275077819824,11.0,11
96,1,2.462256908416748,11.0,11
97,1,2.484671115875244,9.0,9
98,1,2.505640745162964,9.0,9
99,1,2.5301754474639893,10.0,10
