,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,-621.8245280115559,73,0.999,256,0.0,False
1,2,-358.6039024394975,54,0.998001,256,0.0,False
2,3,-107.50699977118177,90,0.997002999,256,0.0,False
3,4,-507.9646851141016,95,0.996005996001,256,0.0,False
4,5,-140.93233036268194,56,0.995009990004999,256,0.0,False
5,6,-373.83982094317207,79,0.994014980014994,256,0.0,False
6,7,-618.1399623186246,73,0.993020965034979,256,0.0,False
7,8,-370.32849589315344,86,0.9920279440699441,256,0.0,False
8,9,-554.4949268681632,71,0.9910359161258742,256,0.0,False
9,10,-640.5507214360017,86,0.9900448802097482,256,0.0,False
10,11,-375.5504375027781,50,0.9890548353295385,256,0.0,False
11,12,-117.70921042942494,86,0.988065780494209,256,0.0,False
12,13,-402.3300076414273,124,0.9870777147137147,256,0.0,False
13,14,-474.04764861523097,96,0.986090636999001,256,0.0,False
14,15,-535.5673340577991,108,0.9851045463620021,256,0.0,False
15,16,-764.5535825167746,108,0.98411944181564,256,0.0,False
16,17,-377.19334485510876,53,0.9831353223738244,256,0.0,False
17,18,-521.105679842671,74,0.9821521870514506,256,0.0,False
18,19,-201.15247424891066,77,0.9811700348643991,256,0.0,False
19,20,-408.123807552465,49,0.9801888648295347,256,0.0,False
20,21,-598.5104890027494,61,0.9792086759647052,256,0.0,False
21,22,-1049.2143939678656,105,0.9782294672887405,256,0.0,False
22,23,-910.0914057442081,158,0.9772512378214517,256,0.0,False
23,24,-553.3675938339729,77,0.9762739865836303,256,0.0,False
24,25,-141.63200750533068,62,0.9752977125970467,256,0.0,False
25,26,-132.20700331619298,75,0.9743224148844496,256,0.0,False
26,27,-464.18099608073373,56,0.9733480924695651,256,0.0,False
27,28,-874.3831061193068,139,0.9723747443770956,256,0.0,False
28,29,-494.2159571878765,92,0.9714023696327185,256,0.0,False
29,30,-696.8001844290582,71,0.9704309672630859,256,0.0,False
30,31,-452.70032591244996,277,0.9694605362958227,256,0.0,False
31,32,-144.7700332669317,63,0.9684910757595269,256,0.0,False
32,33,-162.83487442424519,69,0.9675225846837673,256,0.0,False
33,34,-517.6810388975531,89,0.9665550620990835,256,0.0,False
34,35,-187.31703218894086,99,0.9655885070369844,256,0.0,False
35,36,-510.21987142822013,55,0.9646229185299474,256,0.0,False
36,37,-119.47756335708783,99,0.9636582956114175,256,0.0,False
37,38,-142.51263687443242,66,0.9626946373158061,256,0.0,False
38,39,-134.54020989158778,64,0.9617319426784903,256,0.0,False
39,40,-568.4105234223501,61,0.9607702107358118,256,0.0,False
40,41,-123.78562653606491,76,0.959809440525076,256,0.0,False
41,42,-126.07934816732526,82,0.9588496310845509,256,0.0,False
42,43,-349.5019084259514,121,0.9578907814534664,256,0.0,False
43,44,-452.0668705303465,57,0.9569328906720129,256,0.0,False
44,45,-141.99371449347598,51,0.9559759577813409,256,0.0,False
45,46,-487.10545126433743,104,0.9550199818235596,256,0.0,False
46,47,-603.2937944361299,74,0.9540649618417361,256,0.0,False
47,48,-577.956978572242,78,0.9531108968798944,256,0.0,False
48,49,-347.77744349775,82,0.9521577859830145,256,0.0,False
49,50,-180.36910844553836,66,0.9512056281970315,256,0.0,False
50,51,-138.5193295022545,63,0.9502544225688344,256,0.0,False
51,52,-728.9148114072759,98,0.9493041681462656,256,0.0,False
52,53,-399.2138001899193,77,0.9483548639781193,256,0.0,False
53,54,-116.82359984639027,83,0.9474065091141411,256,0.0,False
