,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,-1096.2639232713573,200,0.999,8,0.0,False
1,2,-1083.7966985691094,200,0.998001,8,0.0,False
2,3,-1545.154006700706,200,0.997002999,8,0.0,False
3,4,-1275.239935326332,200,0.996005996001,8,0.0,False
4,5,-1352.6738071491798,200,0.995009990004999,8,0.0,False
5,6,-978.3711249355782,200,0.994014980014994,8,0.0,False
6,7,-1590.8971554328775,200,0.993020965034979,8,0.0,False
7,8,-1283.0523055015185,200,0.9920279440699441,8,0.0,False
8,9,-1075.8374727103353,200,0.9910359161258742,8,0.0,False
9,10,-1620.9518298156133,200,0.9900448802097482,8,0.0,False
10,11,-1400.5421903826575,200,0.9890548353295385,8,0.0,False
11,12,-1464.170644444095,200,0.988065780494209,8,0.0,False
12,13,-1148.1251302722894,200,0.9870777147137147,8,0.0,False
13,14,-992.3275515397445,200,0.986090636999001,8,0.0,False
14,15,-1196.1813747317105,200,0.9851045463620021,8,0.0,False
15,16,-920.5334539912601,200,0.98411944181564,8,0.0,False
16,17,-913.104664653048,200,0.9831353223738244,8,0.0,False
17,18,-1083.5444642302773,200,0.9821521870514506,8,0.0,False
18,19,-1359.2886247600645,200,0.9811700348643991,8,0.0,False
19,20,-1301.1831562270638,200,0.9801888648295347,8,0.0,False
20,21,-1148.7852835836325,200,0.9792086759647052,8,0.0,False
21,22,-1405.3390734222994,200,0.9782294672887405,8,0.0,False
22,23,-1092.323272103921,200,0.9772512378214517,8,0.0,False
23,24,-1384.8755347325277,200,0.9762739865836303,8,0.0,False
24,25,-917.2151416522502,200,0.9752977125970467,8,0.0,False
25,26,-1135.8186876709105,200,0.9743224148844496,8,0.0,False
26,27,-1223.3797514827,200,0.9733480924695651,8,0.0,False
27,28,-986.1155115370736,200,0.9723747443770956,8,0.0,False
28,29,-1496.9128819183786,200,0.9714023696327185,8,0.0,False
29,30,-1214.7852738385532,200,0.9704309672630859,8,0.0,False
30,31,-1443.2599528357416,200,0.9694605362958227,8,0.0,False
31,32,-1047.490947351073,200,0.9684910757595269,8,0.0,False
32,33,-1141.4096264119366,200,0.9675225846837673,8,0.0,False
33,34,-1123.9907618489653,200,0.9665550620990835,8,0.0,False
34,35,-1562.542417377671,200,0.9655885070369844,8,0.0,False
35,36,-1110.5475869837942,200,0.9646229185299474,8,0.0,False
36,37,-1406.5196286719688,200,0.9636582956114175,8,0.0,False
37,38,-762.8331144018076,200,0.9626946373158061,8,0.0,False
38,39,-1342.4055891339308,200,0.9617319426784903,8,0.0,False
39,40,-790.0587328721682,200,0.9607702107358118,8,0.0,False
40,41,-1054.0780970378214,200,0.959809440525076,8,0.0,False
41,42,-1188.5657324220256,200,0.9588496310845509,8,0.0,False
42,43,-1074.5996138083372,200,0.9578907814534664,8,0.0,False
43,44,-1406.588612857022,200,0.9569328906720129,8,0.0,False
