,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,314.89412004637995,236,0.9,4,0.0,False
1,2,340.216467965132,214,0.81,4,0.0,False
2,3,696.4401446022757,192,0.7290000000000001,4,0.333,True
3,4,376.66999197640695,105,0.6561000000000001,4,0.5,True
4,5,509.2070794495986,138,0.5904900000000002,4,0.6,True
5,6,290.0189437533728,78,0.5314410000000002,4,0.667,True
6,7,381.88561053380823,208,0.47829690000000014,4,0.571,False
7,8,522.4432147481245,207,0.43046721000000016,4,0.5,False
8,9,319.3118587411474,83,0.38742048900000015,4,0.556,True
9,10,384.21884601898483,221,0.34867844010000015,4,0.5,False
10,11,318.0063642654335,81,0.31381059609000017,4,0.545,True
11,12,271.1611101299873,79,0.28242953648100017,4,0.583,True
12,13,283.73331508859985,78,0.25418658283290013,4,0.615,True
13,14,391.0277645667084,105,0.22876792454961012,4,0.643,True
14,15,374.0059090320718,165,0.2058911320946491,4,0.667,True
15,16,336.59701562253764,75,0.1853020188851842,4,0.688,True
16,17,319.8569656104489,82,0.16677181699666577,4,0.706,True
17,18,429.2053802739422,108,0.1500946352969992,4,0.722,True
18,19,283.409015646018,78,0.13508517176729928,4,0.737,True
19,20,274.40944706699804,78,0.12157665459056936,4,0.75,True
20,21,330.5954714473511,163,0.10941898913151243,4,0.762,True
21,22,427.56540340606597,219,0.0984770902183612,4,0.727,False
22,23,297.71045562499205,79,0.08862938119652508,4,0.739,True
23,24,308.1224375246092,80,0.07976644307687257,4,0.75,True
24,25,258.5658589463215,79,0.07178979876918531,4,0.76,True
25,26,285.5724345144582,78,0.06461081889226679,4,0.769,True
26,27,308.1182899697451,80,0.05814973700304011,4,0.778,True
27,28,316.6788239823421,81,0.0523347633027361,4,0.786,True
28,29,315.36329864230936,81,0.04710128697246249,4,0.793,True
29,30,314.95613124917725,81,0.042391158275216244,4,0.8,True
30,31,276.02715339830604,78,0.03815204244769462,4,0.806,True
31,32,336.0001850408503,76,0.03433683820292516,4,0.812,True
32,33,284.4105681296874,79,0.030903154382632643,4,0.818,True
33,34,335.7788436745294,77,0.02781283894436938,4,0.824,True
34,35,261.1406637815409,78,0.025031555049932444,4,0.829,True
35,36,334.6050862344914,81,0.0225283995449392,4,0.833,True
36,37,268.7778979730588,79,0.020275559590445278,4,0.838,True
37,38,305.2814086813596,80,0.01824800363140075,4,0.842,True
38,39,262.0470660325256,78,0.016423203268260675,4,0.846,True
39,40,272.1592814775882,79,0.014780882941434608,4,0.85,True
40,41,335.02061143098405,80,0.013302794647291147,4,0.854,True
41,42,261.9860472326283,78,0.011972515182562033,4,0.857,True
42,43,334.4989683696069,83,0.01077526366430583,4,0.86,True
43,44,284.0534577249578,79,0.009697737297875247,4,0.864,True
44,45,315.25763304145073,81,0.009697737297875247,4,0.867,True
45,46,286.9916032833745,78,0.009697737297875247,4,0.87,True
46,47,336.13555733365945,77,0.009697737297875247,4,0.872,True
47,48,321.27124757920393,82,0.009697737297875247,4,0.875,True
48,49,328.6994234835962,84,0.009697737297875247,4,0.878,True
49,50,270.5767871791496,78,0.009697737297875247,4,0.88,True
50,51,335.8730693279766,77,0.009697737297875247,4,0.882,True
51,52,269.344999684242,78,0.009697737297875247,4,0.885,True
52,53,286.4179881374817,79,0.009697737297875247,4,0.887,True
53,54,262.31663353370965,79,0.009697737297875247,4,0.889,True
54,55,263.45574389428947,78,0.009697737297875247,4,0.891,True
55,56,264.9036315969598,78,0.009697737297875247,4,0.893,True
56,57,262.79263461705995,78,0.009697737297875247,4,0.895,True
57,58,316.57521432554347,81,0.009697737297875247,4,0.897,True
58,59,283.16345536527217,78,0.009697737297875247,4,0.898,True
59,60,325.94004001426515,83,0.009697737297875247,4,0.9,True
60,61,321.5971129301004,82,0.009697737297875247,4,0.902,True
61,62,268.75946164815974,79,0.009697737297875247,4,0.903,True
62,63,336.9654225652107,76,0.009697737297875247,4,0.905,True
63,64,285.03689222356763,78,0.009697737297875247,4,0.906,True
64,65,288.3351667676353,78,0.009697737297875247,4,0.908,True
65,66,277.41390854730264,78,0.009697737297875247,4,0.909,True
66,67,305.645976317639,80,0.009697737297875247,4,0.91,True
67,68,320.7382882998325,82,0.009697737297875247,4,0.912,True
68,69,300.0341218952322,79,0.009697737297875247,4,0.913,True
69,70,336.4722047933378,76,0.009697737297875247,4,0.914,True
70,71,280.3817845416662,78,0.009697737297875247,4,0.915,True
71,72,442.31790594937047,110,0.009697737297875247,4,0.917,True
72,73,284.4651781711669,79,0.009697737297875247,4,0.918,True
73,74,300.67868034654526,79,0.009697737297875247,4,0.919,True
74,75,334.58270895117903,81,0.009697737297875247,4,0.92,True
75,76,278.51118629273253,78,0.009697737297875247,4,0.921,True
76,77,272.9691265337984,79,0.009697737297875247,4,0.922,True
77,78,296.5278756773565,79,0.009697737297875247,4,0.923,True
78,79,270.91282227317566,79,0.009697737297875247,4,0.924,True
79,80,314.5706577290315,81,0.009697737297875247,4,0.925,True
80,81,304.24948786948516,80,0.009697737297875247,4,0.926,True
81,82,329.0308847279987,83,0.009697737297875247,4,0.927,True
82,83,261.464013618906,79,0.009697737297875247,4,0.928,True
83,84,321.8546288432088,82,0.009697737297875247,4,0.929,True
84,85,261.3325447220355,79,0.009697737297875247,4,0.929,True
85,86,288.00539773742196,78,0.009697737297875247,4,0.93,True
86,87,339.3737491245033,86,0.009697737297875247,4,0.931,True
87,88,270.29147532572966,79,0.009697737297875247,4,0.932,True
88,89,290.83845525906065,78,0.009697737297875247,4,0.933,True
89,90,279.53325730136123,78,0.009697737297875247,4,0.933,True
90,91,332.58266269866147,84,0.009697737297875247,4,0.934,True
91,92,328.40531584357376,83,0.009697737297875247,4,0.935,True
92,93,269.3773086231609,79,0.009697737297875247,4,0.935,True
93,94,285.88605949023037,79,0.009697737297875247,4,0.936,True
94,95,258.4717615738278,79,0.009697737297875247,4,0.937,True
95,96,267.60442516569543,79,0.009697737297875247,4,0.938,True
96,97,259.1222931192256,79,0.009697737297875247,4,0.938,True
97,98,314.13771041499274,81,0.009697737297875247,4,0.939,True
98,99,308.1628216359531,80,0.009697737297875247,4,0.939,True
99,100,271.3762361302971,78,0.009697737297875247,4,0.94,True
100,101,334.40905223200105,82,0.009697737297875247,4,0.941,True
101,102,300.88987521282394,79,0.009697737297875247,4,0.941,True
102,103,334.9297233582475,80,0.009697737297875247,4,0.942,True
103,104,271.01626059242983,78,0.009697737297875247,4,0.942,True
104,105,273.58376639108167,78,0.009697737297875247,4,0.943,True
105,106,318.045339183131,81,0.009697737297875247,4,0.943,True
106,107,288.6026522706262,78,0.009697737297875247,4,0.944,True
107,108,259.2092184256646,78,0.009697737297875247,4,0.944,True
108,109,321.23710881227163,82,0.009697737297875247,4,0.945,True
109,110,307.63761838187924,80,0.009697737297875247,4,0.945,True
110,111,285.7529507813043,78,0.009697737297875247,4,0.946,True
111,112,328.2947102152859,83,0.009697737297875247,4,0.946,True
112,113,307.154882569459,80,0.009697737297875247,4,0.947,True
113,114,336.271212436352,76,0.009697737297875247,4,0.947,True
114,115,336.35842504454786,76,0.009697737297875247,4,0.948,True
115,116,307.33083221402194,80,0.009697737297875247,4,0.948,True
116,117,296.04068071036596,79,0.009697737297875247,4,0.949,True
117,118,305.8775599509245,80,0.009697737297875247,4,0.949,True
118,119,281.07064545124297,78,0.009697737297875247,4,0.95,True
119,120,276.0482324848882,78,0.009697737297875247,4,0.95,True
120,121,339.08781282182326,86,0.009697737297875247,4,0.95,True
121,122,301.7987404307583,79,0.009697737297875247,4,0.951,True
122,123,336.1356387381443,76,0.009697737297875247,4,0.951,True
123,124,315.7830743561266,81,0.009697737297875247,4,0.952,True
124,125,290.8830057889164,78,0.009697737297875247,4,0.952,True
125,126,316.17140817744655,81,0.009697737297875247,4,0.952,True
126,127,276.6858594355173,78,0.009697737297875247,4,0.953,True
127,128,320.2995858412003,82,0.009697737297875247,4,0.953,True
128,129,290.68954408953425,78,0.009697737297875247,4,0.953,True
129,130,332.5667776199058,84,0.009697737297875247,4,0.954,True
130,131,288.28211737649974,78,0.009697737297875247,4,0.954,True
131,132,266.1860951793161,78,0.009697737297875247,4,0.955,True
132,133,300.67190203387287,79,0.009697737297875247,4,0.955,True
133,134,267.9778073817666,79,0.009697737297875247,4,0.955,True
134,135,320.64639044496,82,0.009697737297875247,4,0.956,True
135,136,335.32452233647933,80,0.009697737297875247,4,0.956,True
136,137,301.4723472426063,79,0.009697737297875247,4,0.956,True
137,138,287.4349886985961,79,0.009697737297875247,4,0.957,True
138,139,266.2666844293627,78,0.009697737297875247,4,0.957,True
139,140,287.823049797723,78,0.009697737297875247,4,0.957,True
140,141,291.1705022046109,78,0.009697737297875247,4,0.957,True
141,142,297.961310751061,79,0.009697737297875247,4,0.958,True
142,143,288.42812259476625,78,0.009697737297875247,4,0.958,True
143,144,274.80400061262765,78,0.009697737297875247,4,0.958,True
144,145,300.49808942691885,79,0.009697737297875247,4,0.959,True
145,146,275.1337581759318,78,0.009697737297875247,4,0.959,True
146,147,335.3612034841441,79,0.009697737297875247,4,0.959,True
147,148,336.0690617331304,78,0.009697737297875247,4,0.959,True
148,149,314.53916713709475,81,0.009697737297875247,4,0.96,True
149,150,275.15236279955127,78,0.009697737297875247,4,0.96,True
150,151,316.2519709387328,81,0.009697737297875247,4,0.96,True
151,152,334.37205675607555,84,0.009697737297875247,4,0.961,True
152,153,290.8002954283321,78,0.009697737297875247,4,0.961,True
153,154,283.9457399027829,79,0.009697737297875247,4,0.961,True
154,155,335.48549081003296,79,0.009697737297875247,4,0.961,True
155,156,273.1274160448694,78,0.009697737297875247,4,0.962,True
156,157,325.5450095325243,83,0.009697737297875247,4,0.962,True
157,158,283.0809538406785,78,0.009697737297875247,4,0.962,True
158,159,287.14449540216003,78,0.009697737297875247,4,0.962,True
159,160,336.10750467405893,85,0.009697737297875247,4,0.963,True
160,161,285.72125715415456,79,0.009697737297875247,4,0.963,True
161,162,280.85986228774993,78,0.009697737297875247,4,0.963,True
162,163,307.4859982954804,80,0.009697737297875247,4,0.963,True
163,164,305.4093837448745,80,0.009697737297875247,4,0.963,True
164,165,300.94546811867036,79,0.009697737297875247,4,0.964,True
165,166,308.8435501138446,80,0.009697737297875247,4,0.964,True
166,167,325.7538134099916,83,0.009697737297875247,4,0.964,True
167,168,262.382410821144,78,0.009697737297875247,4,0.964,True
168,169,279.1240470303338,78,0.009697737297875247,4,0.964,True
169,170,285.01374698621214,78,0.009697737297875247,4,0.965,True
170,171,307.91613653581584,80,0.009697737297875247,4,0.965,True
171,172,273.12237671080504,78,0.009697737297875247,4,0.965,True
172,173,284.80961835971095,78,0.009697737297875247,4,0.965,True
173,174,282.24906143145483,78,0.009697737297875247,4,0.966,True
174,175,269.22781311527353,78,0.009697737297875247,4,0.966,True
175,176,317.04938724052624,81,0.009697737297875247,4,0.966,True
176,177,264.37101064379675,78,0.009697737297875247,4,0.966,True
177,178,289.2155772098223,78,0.009697737297875247,4,0.966,True
178,179,335.89724932583056,77,0.009697737297875247,4,0.966,True
179,180,308.61591379088344,80,0.009697737297875247,4,0.967,True
180,181,272.7995373961399,79,0.009697737297875247,4,0.967,True
181,182,268.7164944194315,79,0.009697737297875247,4,0.967,True
182,183,315.99934442257506,81,0.009697737297875247,4,0.967,True
183,184,335.0408939369955,80,0.009697737297875247,4,0.967,True
184,185,307.2770992310252,80,0.009697737297875247,4,0.968,True
185,186,269.85295802784964,79,0.009697737297875247,4,0.968,True
186,187,283.36358398459845,78,0.009697737297875247,4,0.968,True
187,188,265.0177205015526,78,0.009697737297875247,4,0.968,True
188,189,296.5002852315316,79,0.009697737297875247,4,0.968,True
189,190,294.60175074907016,79,0.009697737297875247,4,0.968,True
190,191,306.89411329384893,80,0.009697737297875247,4,0.969,True
191,192,278.39367768988006,78,0.009697737297875247,4,0.969,True
192,193,289.45004884094226,78,0.009697737297875247,4,0.969,True
193,194,321.8097943720175,82,0.009697737297875247,4,0.969,True
194,195,260.5772877284558,79,0.009697737297875247,4,0.969,True
195,196,315.8935243647778,81,0.009697737297875247,4,0.969,True
196,197,334.59340528408075,81,0.009697737297875247,4,0.97,True
197,198,307.75282890189555,80,0.009697737297875247,4,0.97,True
198,199,261.9157402479206,78,0.009697737297875247,4,0.97,True
199,200,319.99677823354136,82,0.009697737297875247,4,0.97,True
200,201,328.77447974922836,84,0.009697737297875247,4,0.97,True
201,202,336.0432326794603,76,0.009697737297875247,4,0.97,True
202,203,301.9849947622511,79,0.009697737297875247,4,0.97,True
203,204,288.4449713959358,78,0.009697737297875247,4,0.971,True
204,205,334.73045530794195,82,0.009697737297875247,4,0.971,True
205,206,305.95285894104745,80,0.009697737297875247,4,0.971,True
206,207,307.1383554914901,80,0.009697737297875247,4,0.971,True
207,208,289.656999393762,78,0.009697737297875247,4,0.971,True
208,209,284.87438995632107,79,0.009697737297875247,4,0.971,True
209,210,278.08678985543077,78,0.009697737297875247,4,0.971,True
210,211,321.41862470547204,82,0.009697737297875247,4,0.972,True
211,212,278.6986246800981,78,0.009697737297875247,4,0.972,True
212,213,320.6673830989865,82,0.009697737297875247,4,0.972,True
213,214,314.3763961137796,81,0.009697737297875247,4,0.972,True
214,215,321.28614399356303,82,0.009697737297875247,4,0.972,True
215,216,321.71339217987844,82,0.009697737297875247,4,0.972,True
216,217,301.8334533798857,79,0.009697737297875247,4,0.972,True
217,218,300.44206643630747,79,0.009697737297875247,4,0.972,True
218,219,320.2537649306003,82,0.009697737297875247,4,0.973,True
219,220,281.73264406154624,78,0.009697737297875247,4,0.973,True
220,221,315.14141808785496,81,0.009697737297875247,4,0.973,True
221,222,336.2317867741921,77,0.009697737297875247,4,0.973,True
222,223,296.2874151793308,79,0.009697737297875247,4,0.973,True
223,224,315.08338877230415,81,0.009697737297875247,4,0.973,True
224,225,273.9558809561887,78,0.009697737297875247,4,0.973,True
225,226,291.3566301931015,78,0.009697737297875247,4,0.973,True
226,227,301.98746085931776,79,0.009697737297875247,4,0.974,True
227,228,293.0802294266592,79,0.009697737297875247,4,0.974,True
228,229,282.32893680032896,78,0.009697737297875247,4,0.974,True
229,230,317.6482602391974,81,0.009697737297875247,4,0.974,True
230,231,298.9051498645218,79,0.009697737297875247,4,0.974,True
