,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,-191.13508452428948,200,0.999,8,1.0,True
1,2,-1091.041958586586,200,0.998001,8,0.5,False
2,3,-906.7934259203826,200,0.997002999,8,0.333,False
3,4,-1594.4552919831433,200,0.996005996001,8,0.25,False
4,5,-1374.1855674517385,200,0.995009990004999,8,0.2,False
5,6,-1119.96294511714,200,0.994014980014994,8,0.167,False
6,7,-873.7251661377578,200,0.993020965034979,8,0.143,False
7,8,-1528.0747033478774,200,0.9920279440699441,8,0.125,False
8,9,-1417.906536162613,200,0.9910359161258742,8,0.111,False
9,10,-1299.6005367348516,200,0.9900448802097482,8,0.1,False
10,11,-640.6592637855379,200,0.9890548353295385,8,0.091,False
11,12,-1153.6953718491895,200,0.988065780494209,8,0.083,False
12,13,-1493.839425827578,200,0.9870777147137147,8,0.077,False
13,14,-1119.7694180582225,200,0.986090636999001,8,0.071,False
14,15,-990.0368331803467,200,0.9851045463620021,8,0.067,False
15,16,-1573.0220807218845,200,0.98411944181564,8,0.062,False
16,17,-1240.3823418658249,200,0.9831353223738244,8,0.059,False
17,18,-1094.9837092495688,200,0.9821521870514506,8,0.056,False
18,19,-1561.0631501383984,200,0.9811700348643991,8,0.053,False
19,20,-1331.7535098101876,200,0.9801888648295347,8,0.05,False
20,21,-1149.6130233522767,200,0.9792086759647052,8,0.048,False
21,22,-1139.5136602913408,200,0.9782294672887405,8,0.045,False
22,23,-1081.9857865251042,200,0.9772512378214517,8,0.043,False
23,24,-1367.6991104127255,200,0.9762739865836303,8,0.042,False
24,25,-1314.657245326621,200,0.9752977125970467,8,0.04,False
25,26,-1194.8107177020136,200,0.9743224148844496,8,0.038,False
26,27,-1020.7054096781246,200,0.9733480924695651,8,0.037,False
27,28,-1380.1843601015532,200,0.9723747443770956,8,0.036,False
28,29,-1103.5809084128684,200,0.9714023696327185,8,0.034,False
29,30,-920.993543185737,200,0.9704309672630859,8,0.033,False
30,31,-1258.3341168410159,200,0.9694605362958227,8,0.032,False
31,32,-1388.2668683615586,200,0.9684910757595269,8,0.031,False
32,33,-1293.271107482271,200,0.9675225846837673,8,0.03,False
33,34,-1086.8473640096524,200,0.9665550620990835,8,0.029,False
34,35,-1153.1265647760529,200,0.9655885070369844,8,0.029,False
35,36,-1165.0704992576063,200,0.9646229185299474,8,0.028,False
36,37,-1195.2257238087616,200,0.9636582956114175,8,0.027,False
37,38,-854.5408241389661,200,0.9626946373158061,8,0.026,False
38,39,-1010.7162131490562,200,0.9617319426784903,8,0.026,False
39,40,-1382.343165665715,200,0.9607702107358118,8,0.025,False
40,41,-1096.6926632674154,200,0.959809440525076,8,0.024,False
41,42,-1456.3936660636093,200,0.9588496310845509,8,0.024,False
42,43,-1466.0972160882584,200,0.9578907814534664,8,0.023,False
43,44,-1432.0779292605807,200,0.9569328906720129,8,0.023,False
44,45,-1012.7499905083088,200,0.9559759577813409,8,0.022,False
45,46,-1282.976109056118,200,0.9550199818235596,8,0.022,False
46,47,-1115.7497763641802,200,0.9540649618417361,8,0.021,False
47,48,-1258.0229959797753,200,0.9531108968798944,8,0.021,False
48,49,-1567.3458821736583,200,0.9521577859830145,8,0.02,False
49,50,-1220.6273327791157,200,0.9512056281970315,8,0.02,False
50,51,-1306.2766231838918,200,0.9502544225688344,8,0.02,False
51,52,-1086.5461590548189,200,0.9493041681462656,8,0.019,False
52,53,-1325.4943636513663,200,0.9483548639781193,8,0.019,False
53,54,-1633.0127058824771,200,0.9474065091141411,8,0.019,False
54,55,-1247.3454819422286,200,0.946459102605027,8,0.018,False
55,56,-1230.5078455623232,200,0.9455126435024219,8,0.018,False
56,57,-1202.6395467923821,200,0.9445671308589195,8,0.018,False
57,58,-1015.7036368982622,200,0.9436225637280606,8,0.017,False
58,59,-1127.724420908885,200,0.9426789411643326,8,0.017,False
59,60,-1619.0610932109907,200,0.9417362622231683,8,0.017,False
60,61,-1033.5442294302597,200,0.9407945259609451,8,0.016,False
61,62,-1159.5384300199312,200,0.9398537314349842,8,0.016,False
62,63,-1156.9710574971195,200,0.9389138777035492,8,0.016,False
63,64,-1084.5009734985554,200,0.9379749638258457,8,0.016,False
64,65,-1406.7688018666952,200,0.9370369888620198,8,0.015,False
65,66,-1184.6658318946727,200,0.9360999518731578,8,0.015,False
66,67,-1027.8098640406818,200,0.9351638519212846,8,0.015,False
67,68,-1659.8300867037926,200,0.9342286880693633,8,0.015,False
68,69,-1364.7410168594677,200,0.933294459381294,8,0.014,False
69,70,-1340.8814753759384,200,0.9323611649219127,8,0.014,False
70,71,-1109.9599757167143,200,0.9314288037569908,8,0.014,False
71,72,-1347.7227800763317,200,0.9304973749532338,8,0.014,False
72,73,-1220.2840105894884,200,0.9295668775782806,8,0.014,False
73,74,-1039.2047393570003,200,0.9286373107007023,8,0.014,False
74,75,-1058.3337298064532,200,0.9277086733900016,8,0.013,False
75,76,-1356.831392273826,200,0.9267809647166116,8,0.026,True
76,77,-1194.1837619521998,200,0.925854183751895,8,0.026,False
77,78,-1065.8360733958104,200,0.9249283295681431,8,0.026,False
78,79,-1254.8947109308,200,0.9240034012385749,8,0.025,False
79,80,-1223.4387472213439,200,0.9230793978373364,8,0.025,False
80,81,-1043.4505857942754,200,0.9221563184394991,8,0.025,False
81,82,-1241.7941653553485,200,0.9212341621210596,8,0.024,False
82,83,-1062.9050616931986,200,0.9203129279589385,8,0.024,False
83,84,-1310.1925561080188,200,0.9193926150309796,8,0.024,False
84,85,-1657.4734090388176,200,0.9184732224159486,8,0.024,False
85,86,-1359.8629300556372,200,0.9175547491935327,8,0.023,False
86,87,-1238.8746223411565,200,0.9166371944443392,8,0.023,False
87,88,-1166.680137208631,200,0.9157205572498949,8,0.023,False
88,89,-1185.948686172991,200,0.914804836692645,8,0.022,False
89,90,-1266.7120196598273,200,0.9138900318559524,8,0.022,False
90,91,-1409.4741277271942,200,0.9129761418240965,8,0.022,False
91,92,-1365.927744960234,200,0.9120631656822724,8,0.022,False
92,93,-963.5716258596188,200,0.9111511025165902,8,0.022,False
93,94,-1580.0394363484604,200,0.9102399514140735,8,0.021,False
94,95,-1202.8835324612257,200,0.9093297114626595,8,0.021,False
95,96,-1013.5460661935767,200,0.9084203817511969,8,0.021,False
96,97,-1056.4999578301624,200,0.9075119613694457,8,0.021,False
97,98,-1652.757163921376,200,0.9066044494080763,8,0.02,False
98,99,-1139.1452824178832,200,0.9056978449586682,8,0.02,False
99,100,-883.5102801343988,200,0.9047921471137096,8,0.02,False
100,101,-1046.568378210068,200,0.9038873549665959,8,0.02,False
101,102,-1465.5055365119892,200,0.9029834676116293,8,0.02,False
102,103,-1181.4277733921845,200,0.9020804841440176,8,0.019,False
103,104,-1225.2351071834787,200,0.9011784036598737,8,0.019,False
104,105,-1296.9725200858836,200,0.9002772252562138,8,0.019,False
105,106,-1402.7707708662185,200,0.8993769480309576,8,0.019,False
106,107,-1249.0700149184395,200,0.8984775710829266,8,0.019,False
107,108,-1299.4386968240733,200,0.8975790935118436,8,0.019,False
108,109,-1047.373793508931,200,0.8966815144183318,8,0.018,False
109,110,-1207.5909143136487,200,0.8957848329039134,8,0.018,False
110,111,-1131.3671227520972,200,0.8948890480710096,8,0.018,False
111,112,-1507.5513151048744,200,0.8939941590229386,8,0.018,False
112,113,-1052.5346636042254,200,0.8931001648639156,8,0.018,False
113,114,-1077.3838904277216,200,0.8922070646990518,8,0.018,False
114,115,-1089.079628635533,200,0.8913148576343527,8,0.017,False
115,116,-1196.1271323124363,200,0.8904235427767183,8,0.017,False
116,117,-1320.360767088476,200,0.8895331192339416,8,0.017,False
117,118,-1224.4033395119204,200,0.8886435861147077,8,0.017,False
118,119,-1352.3540410753076,200,0.887754942528593,8,0.017,False
119,120,-1059.1550239188784,200,0.8868671875860644,8,0.017,False
120,121,-1158.0691906169807,200,0.8859803203984784,8,0.017,False
121,122,-1164.0009476921045,200,0.88509434007808,8,0.016,False
