,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,207.10919999902848,210,0.9,4,0.0,False
1,2,299.93398592574033,89,0.81,4,0.5,True
2,3,650.7718780168019,206,0.7290000000000001,4,0.667,True
3,4,271.2984953006223,231,0.6561000000000001,4,0.5,False
4,5,450.0924884596921,215,0.5904900000000002,4,0.6,True
5,6,513.4481427705532,170,0.5314410000000002,4,0.667,True
6,7,478.70653881803145,201,0.47829690000000014,4,0.571,False
7,8,440.78241261951234,217,0.43046721000000016,4,0.5,False
8,9,616.5221701308461,216,0.38742048900000015,4,0.556,True
9,10,518.8664068245505,223,0.34867844010000015,4,0.5,False
10,11,559.0147354686985,176,0.31381059609000017,4,0.545,True
11,12,420.96723025276196,202,0.28242953648100017,4,0.5,False
12,13,508.7551345798122,204,0.25418658283290013,4,0.462,False
13,14,461.0617780193297,168,0.22876792454961012,4,0.5,True
14,15,528.5180176905394,172,0.2058911320946491,4,0.533,True
15,16,303.93836338622737,96,0.1853020188851842,4,0.562,True
16,17,494.1454247169531,162,0.16677181699666577,4,0.588,True
17,18,462.90738796818425,168,0.1500946352969992,4,0.611,True
18,19,465.12296585204,168,0.13508517176729928,4,0.632,True
19,20,474.6011329330785,207,0.12157665459056936,4,0.6,False
20,21,455.42055992717974,167,0.10941898913151243,4,0.619,True
21,22,445.07613403161497,223,0.0984770902183612,4,0.591,False
22,23,513.4849993877215,171,0.08862938119652508,4,0.609,True
23,24,519.4845097543217,175,0.07976644307687257,4,0.625,True
24,25,553.2194176176237,175,0.07178979876918531,4,0.64,True
25,26,483.54731112205207,169,0.06461081889226679,4,0.654,True
26,27,541.8092489428274,174,0.05814973700304011,4,0.667,True
27,28,490.3393237378241,169,0.0523347633027361,4,0.679,True
28,29,538.2183764999241,173,0.04710128697246249,4,0.69,True
29,30,463.88713170235644,168,0.042391158275216244,4,0.7,True
30,31,554.3818631753144,175,0.03815204244769462,4,0.71,True
31,32,450.0902870797943,167,0.03433683820292516,4,0.719,True
32,33,537.7410270291366,173,0.030903154382632643,4,0.727,True
33,34,479.4209056651338,169,0.02781283894436938,4,0.735,True
34,35,473.5236936411095,168,0.025031555049932444,4,0.743,True
35,36,459.91800213539904,203,0.0225283995449392,4,0.722,False
36,37,514.2654640645123,171,0.020275559590445278,4,0.73,True
37,38,511.6811085799345,171,0.01824800363140075,4,0.737,True
38,39,559.4083131644372,176,0.016423203268260675,4,0.744,True
39,40,471.43407380710084,169,0.014780882941434608,4,0.75,True
40,41,489.42363560414196,169,0.013302794647291147,4,0.756,True
41,42,451.36043801030416,168,0.011972515182562033,4,0.762,True
42,43,452.3707856340467,168,0.01077526366430583,4,0.767,True
43,44,523.3295227599466,172,0.009697737297875247,4,0.773,True
44,45,491.29256462543526,169,0.009697737297875247,4,0.778,True
45,46,533.3646611835036,172,0.009697737297875247,4,0.783,True
46,47,514.1043846264001,171,0.009697737297875247,4,0.787,True
47,48,552.2114102437072,175,0.009697737297875247,4,0.792,True
48,49,452.3354290235583,168,0.009697737297875247,4,0.796,True
49,50,390.39487019489144,207,0.009697737297875247,4,0.78,False
50,51,531.9978649510347,172,0.009697737297875247,4,0.784,True
51,52,512.0786167471597,171,0.009697737297875247,4,0.788,True
52,53,473.7640513356748,168,0.009697737297875247,4,0.792,True
53,54,487.25855845037404,169,0.009697737297875247,4,0.796,True
54,55,483.8686116913917,169,0.009697737297875247,4,0.8,True
55,56,581.9684925365842,180,0.009697737297875247,4,0.804,True
56,57,470.9680956722117,169,0.009697737297875247,4,0.807,True
57,58,526.1989990506388,172,0.009697737297875247,4,0.81,True
58,59,462.2921727278242,169,0.009697737297875247,4,0.814,True
59,60,582.8797720889676,180,0.009697737297875247,4,0.817,True
60,61,499.9986423272577,170,0.009697737297875247,4,0.82,True
61,62,529.1184320158834,172,0.009697737297875247,4,0.823,True
62,63,502.7442389728386,170,0.009697737297875247,4,0.825,True
63,64,472.90397855853394,168,0.009697737297875247,4,0.828,True
64,65,471.90882470626116,168,0.009697737297875247,4,0.831,True
65,66,527.8773601065666,172,0.009697737297875247,4,0.833,True
66,67,463.2106381166501,168,0.009697737297875247,4,0.836,True
67,68,499.7229777103321,169,0.009697737297875247,4,0.838,True
68,69,483.89842037587675,169,0.009697737297875247,4,0.841,True
69,70,564.5305863366337,177,0.009697737297875247,4,0.843,True
70,71,490.3155575003966,169,0.009697737297875247,4,0.845,True
71,72,451.29375927676654,168,0.009697737297875247,4,0.847,True
