,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,-200.0,200,0.9,4,0.0,False
1,2,-200.0,200,0.81,4,0.0,False
2,3,-200.0,200,0.7290000000000001,4,0.0,False
3,4,-200.0,200,0.6561000000000001,4,0.0,False
4,5,869.0,132,0.5904900000000002,4,0.2,True
5,6,-200.0,200,0.5314410000000002,4,0.167,False
6,7,-200.0,200,0.47829690000000014,4,0.143,False
7,8,-200.0,200,0.43046721000000016,4,0.125,False
8,9,-200.0,200,0.38742048900000015,4,0.111,False
9,10,913.0,88,0.34867844010000015,4,0.2,True
10,11,-200.0,200,0.31381059609000017,4,0.182,False
11,12,-200.0,200,0.28242953648100017,4,0.167,False
12,13,-200.0,200,0.25418658283290013,4,0.154,False
13,14,-200.0,200,0.22876792454961012,4,0.143,False
14,15,-200.0,200,0.2058911320946491,4,0.133,False
15,16,-200.0,200,0.1853020188851842,4,0.125,False
16,17,-200.0,200,0.16677181699666577,4,0.118,False
17,18,-200.0,200,0.1500946352969992,4,0.111,False
18,19,844.0,157,0.13508517176729928,4,0.158,True
19,20,-200.0,200,0.12157665459056936,4,0.15,False
20,21,-200.0,200,0.10941898913151243,4,0.143,False
21,22,-200.0,200,0.0984770902183612,4,0.136,False
22,23,-200.0,200,0.08862938119652508,4,0.13,False
23,24,-200.0,200,0.07976644307687257,4,0.125,False
24,25,-200.0,200,0.07178979876918531,4,0.12,False
25,26,-200.0,200,0.06461081889226679,4,0.115,False
26,27,-200.0,200,0.05814973700304011,4,0.111,False
27,28,-200.0,200,0.0523347633027361,4,0.107,False
28,29,-200.0,200,0.04710128697246249,4,0.103,False
29,30,-200.0,200,0.042391158275216244,4,0.1,False
30,31,-200.0,200,0.03815204244769462,4,0.097,False
31,32,-200.0,200,0.03433683820292516,4,0.094,False
32,33,-200.0,200,0.030903154382632643,4,0.091,False
33,34,-200.0,200,0.02781283894436938,4,0.088,False
34,35,-200.0,200,0.025031555049932444,4,0.086,False
35,36,-200.0,200,0.0225283995449392,4,0.083,False
36,37,-200.0,200,0.020275559590445278,4,0.081,False
37,38,-200.0,200,0.01824800363140075,4,0.079,False
38,39,-200.0,200,0.016423203268260675,4,0.077,False
39,40,-200.0,200,0.014780882941434608,4,0.075,False
40,41,-200.0,200,0.013302794647291147,4,0.073,False
41,42,-200.0,200,0.011972515182562033,4,0.071,False
42,43,826.0,175,0.01077526366430583,4,0.093,True
43,44,-200.0,200,0.009697737297875247,4,0.091,False
44,45,-200.0,200,0.009697737297875247,4,0.089,False
45,46,-200.0,200,0.009697737297875247,4,0.087,False
46,47,915.0,86,0.009697737297875247,4,0.106,True
47,48,870.0,131,0.009697737297875247,4,0.125,True
48,49,-200.0,200,0.009697737297875247,4,0.122,False
49,50,843.0,158,0.009697737297875247,4,0.14,True
50,51,-200.0,200,0.009697737297875247,4,0.137,False
51,52,-200.0,200,0.009697737297875247,4,0.135,False
52,53,-200.0,200,0.009697737297875247,4,0.132,False
53,54,-200.0,200,0.009697737297875247,4,0.13,False
54,55,-200.0,200,0.009697737297875247,4,0.127,False
55,56,-200.0,200,0.009697737297875247,4,0.125,False
56,57,-200.0,200,0.009697737297875247,4,0.123,False
57,58,-200.0,200,0.009697737297875247,4,0.121,False
58,59,-200.0,200,0.009697737297875247,4,0.119,False
59,60,-200.0,200,0.009697737297875247,4,0.117,False
60,61,-200.0,200,0.009697737297875247,4,0.115,False
61,62,-200.0,200,0.009697737297875247,4,0.113,False
62,63,-200.0,200,0.009697737297875247,4,0.111,False
63,64,-200.0,200,0.009697737297875247,4,0.109,False
64,65,-200.0,200,0.009697737297875247,4,0.108,False
65,66,-200.0,200,0.009697737297875247,4,0.106,False
66,67,-200.0,200,0.009697737297875247,4,0.104,False
67,68,-200.0,200,0.009697737297875247,4,0.103,False
68,69,-200.0,200,0.009697737297875247,4,0.101,False
69,70,-200.0,200,0.009697737297875247,4,0.1,False
70,71,-200.0,200,0.009697737297875247,4,0.099,False
71,72,-200.0,200,0.009697737297875247,4,0.097,False
72,73,-200.0,200,0.009697737297875247,4,0.096,False
73,74,-200.0,200,0.009697737297875247,4,0.095,False
74,75,-200.0,200,0.009697737297875247,4,0.093,False
75,76,-200.0,200,0.009697737297875247,4,0.092,False
76,77,-200.0,200,0.009697737297875247,4,0.091,False
77,78,-200.0,200,0.009697737297875247,4,0.09,False
78,79,-200.0,200,0.009697737297875247,4,0.089,False
79,80,-200.0,200,0.009697737297875247,4,0.087,False
80,81,-200.0,200,0.009697737297875247,4,0.086,False
81,82,-200.0,200,0.009697737297875247,4,0.085,False
82,83,-200.0,200,0.009697737297875247,4,0.084,False
83,84,-200.0,200,0.009697737297875247,4,0.083,False
84,85,807.0,194,0.009697737297875247,4,0.094,True
85,86,-200.0,200,0.009697737297875247,4,0.093,False
86,87,-200.0,200,0.009697737297875247,4,0.092,False
87,88,-200.0,200,0.009697737297875247,4,0.091,False
88,89,-200.0,200,0.009697737297875247,4,0.09,False
89,90,828.0,173,0.009697737297875247,4,0.1,True
90,91,-200.0,200,0.009697737297875247,4,0.099,False
91,92,-200.0,200,0.009697737297875247,4,0.098,False
92,93,-200.0,200,0.009697737297875247,4,0.097,False
93,94,-200.0,200,0.009697737297875247,4,0.096,False
94,95,-200.0,200,0.009697737297875247,4,0.095,False
95,96,-200.0,200,0.009697737297875247,4,0.094,False
96,97,-200.0,200,0.009697737297875247,4,0.093,False
97,98,-200.0,200,0.009697737297875247,4,0.092,False
98,99,-200.0,200,0.009697737297875247,4,0.091,False
99,100,-200.0,200,0.009697737297875247,4,0.09,False
100,201,-200.0,200,0.009697737297875247,7,0.58,False
101,202,-200.0,200,0.009697737297875247,7,0.57,False
102,203,-200.0,200,0.009697737297875247,7,0.57,False
103,204,-200.0,200,0.009697737297875247,7,0.57,False
104,205,-200.0,200,0.009697737297875247,7,0.57,False
105,206,-200.0,200,0.009697737297875247,7,0.57,False
106,207,-200.0,200,0.009697737297875247,7,0.56,False
107,208,-200.0,200,0.009697737297875247,7,0.56,False
108,209,-200.0,200,0.009697737297875247,7,0.55,False
109,210,-200.0,200,0.009697737297875247,7,0.55,False
110,211,-200.0,200,0.009697737297875247,7,0.54,False
111,212,-200.0,200,0.009697737297875247,7,0.53,False
112,213,-200.0,200,0.009697737297875247,7,0.52,False
113,214,-200.0,200,0.009697737297875247,7,0.51,False
114,215,-200.0,200,0.009697737297875247,7,0.51,False
115,216,-200.0,200,0.009697737297875247,7,0.51,False
116,217,-200.0,200,0.009697737297875247,7,0.5,False
117,218,-200.0,200,0.009697737297875247,7,0.49,False
118,219,-200.0,200,0.009697737297875247,7,0.48,False
119,220,-200.0,200,0.009697737297875247,7,0.48,False
120,221,-200.0,200,0.009697737297875247,7,0.47,False
121,222,-200.0,200,0.009697737297875247,7,0.47,False
122,223,-200.0,200,0.009697737297875247,7,0.47,False
123,224,-200.0,200,0.009697737297875247,7,0.46,False
124,225,-200.0,200,0.009697737297875247,7,0.46,False
125,226,-200.0,200,0.009697737297875247,7,0.45,False
126,227,-200.0,200,0.009697737297875247,7,0.44,False
127,228,-200.0,200,0.009697737297875247,7,0.43,False
128,229,877.0,124,0.009697737297875247,7,0.43,True
129,230,-200.0,200,0.009697737297875247,7,0.43,False
130,231,-200.0,200,0.009697737297875247,7,0.43,False
131,232,-200.0,200,0.009697737297875247,7,0.42,False
132,233,-200.0,200,0.009697737297875247,7,0.42,False
133,234,-200.0,200,0.009697737297875247,7,0.42,False
134,235,-200.0,200,0.009697737297875247,7,0.41,False
135,236,-200.0,200,0.009697737297875247,7,0.4,False
136,237,-200.0,200,0.009697737297875247,7,0.4,False
137,238,-200.0,200,0.009697737297875247,7,0.39,False
138,239,-200.0,200,0.009697737297875247,7,0.38,False
139,240,-200.0,200,0.009697737297875247,7,0.37,False
140,241,-200.0,200,0.009697737297875247,7,0.37,False
141,242,-200.0,200,0.009697737297875247,7,0.37,False
142,243,-200.0,200,0.009697737297875247,7,0.37,False
143,244,-200.0,200,0.009697737297875247,7,0.36,False
144,245,-200.0,200,0.009697737297875247,7,0.35,False
145,246,-200.0,200,0.009697737297875247,7,0.34,False
146,247,-200.0,200,0.009697737297875247,7,0.33,False
147,248,-200.0,200,0.009697737297875247,7,0.32,False
148,249,-200.0,200,0.009697737297875247,7,0.32,False
149,250,-200.0,200,0.009697737297875247,7,0.31,False
150,251,-200.0,200,0.009697737297875247,7,0.3,False
151,252,-200.0,200,0.009697737297875247,7,0.29,False
152,253,-200.0,200,0.009697737297875247,7,0.28,False
153,254,-200.0,200,0.009697737297875247,7,0.27,False
154,255,-200.0,200,0.009697737297875247,7,0.27,False
155,256,-200.0,200,0.009697737297875247,7,0.26,False
156,257,-200.0,200,0.009697737297875247,7,0.26,False
157,258,-200.0,200,0.009697737297875247,7,0.25,False
158,259,-200.0,200,0.009697737297875247,7,0.25,False
159,260,-200.0,200,0.009697737297875247,7,0.24,False
160,261,-200.0,200,0.009697737297875247,7,0.23,False
161,262,-200.0,200,0.009697737297875247,7,0.22,False
162,263,-200.0,200,0.009697737297875247,7,0.21,False
163,264,-200.0,200,0.009697737297875247,7,0.21,False
164,265,875.0,126,0.009697737297875247,7,0.22,True
165,266,829.0,172,0.009697737297875247,7,0.22,True
166,267,-200.0,200,0.009697737297875247,7,0.21,False
167,268,-200.0,200,0.009697737297875247,7,0.2,False
168,269,-200.0,200,0.009697737297875247,7,0.19,False
169,270,-200.0,200,0.009697737297875247,7,0.18,False
170,271,-200.0,200,0.009697737297875247,7,0.18,False
171,272,-200.0,200,0.009697737297875247,7,0.17,False
172,273,-200.0,200,0.009697737297875247,7,0.16,False
173,274,-200.0,200,0.009697737297875247,7,0.16,False
174,275,-200.0,200,0.009697737297875247,7,0.15,False
175,276,-200.0,200,0.009697737297875247,7,0.14,False
176,277,-200.0,200,0.009697737297875247,7,0.13,False
177,278,-200.0,200,0.009697737297875247,7,0.13,False
178,279,-200.0,200,0.009697737297875247,7,0.13,False
179,280,-200.0,200,0.009697737297875247,7,0.12,False
180,281,-200.0,200,0.009697737297875247,7,0.11,False
181,282,-200.0,200,0.009697737297875247,7,0.11,False
182,283,-200.0,200,0.009697737297875247,7,0.1,False
183,284,843.0,158,0.009697737297875247,7,0.11,True
184,285,-200.0,200,0.009697737297875247,7,0.1,False
185,286,-200.0,200,0.009697737297875247,7,0.1,False
186,287,834.0,167,0.009697737297875247,7,0.11,True
187,288,830.0,171,0.009697737297875247,7,0.11,True
188,289,-200.0,200,0.009697737297875247,7,0.11,False
189,290,805.0,196,0.009697737297875247,7,0.11,True
190,291,828.0,173,0.009697737297875247,7,0.12,True
191,292,-200.0,200,0.009697737297875247,7,0.12,False
192,293,-200.0,200,0.009697737297875247,7,0.12,False
193,294,-200.0,200,0.009697737297875247,7,0.12,False
194,295,-200.0,200,0.009697737297875247,7,0.12,False
195,296,826.0,175,0.009697737297875247,7,0.12,True
196,297,-200.0,200,0.009697737297875247,7,0.11,False
197,298,829.0,172,0.009697737297875247,7,0.12,True
198,299,-200.0,200,0.009697737297875247,7,0.11,False
199,300,-200.0,200,0.009697737297875247,7,0.1,False
200,401,844.0,157,0.009697737297875247,10,0.02,True
201,402,-200.0,200,0.009697737297875247,10,0.02,False
202,403,-200.0,200,0.009697737297875247,10,0.02,False
203,404,-200.0,200,0.009697737297875247,10,0.02,False
204,405,914.0,87,0.009697737297875247,10,0.03,True
205,406,834.0,167,0.009697737297875247,10,0.04,True
206,407,814.0,187,0.009697737297875247,10,0.05,True
207,408,833.0,168,0.009697737297875247,10,0.06,True
208,409,-200.0,200,0.009697737297875247,10,0.06,False
209,410,809.0,192,0.009697737297875247,10,0.07,True
210,411,-200.0,200,0.009697737297875247,10,0.07,False
211,412,-200.0,200,0.009697737297875247,10,0.07,False
212,413,829.0,172,0.009697737297875247,10,0.08,True
213,414,-200.0,200,0.009697737297875247,10,0.08,False
214,415,911.0,90,0.009697737297875247,10,0.09,True
215,416,-200.0,200,0.009697737297875247,10,0.09,False
216,417,-200.0,200,0.009697737297875247,10,0.09,False
217,418,813.0,188,0.009697737297875247,10,0.1,True
218,419,-200.0,200,0.009697737297875247,10,0.1,False
219,420,-200.0,200,0.009697737297875247,10,0.1,False
220,421,-200.0,200,0.009697737297875247,10,0.1,False
221,422,-200.0,200,0.009697737297875247,10,0.1,False
222,423,899.0,102,0.009697737297875247,10,0.11,True
223,424,-200.0,200,0.009697737297875247,10,0.11,False
224,425,-200.0,200,0.009697737297875247,10,0.11,False
225,426,-200.0,200,0.009697737297875247,10,0.11,False
226,427,-200.0,200,0.009697737297875247,10,0.11,False
227,428,818.0,183,0.009697737297875247,10,0.12,True
228,429,-200.0,200,0.009697737297875247,10,0.12,False
229,430,876.0,125,0.009697737297875247,10,0.13,True
230,431,-200.0,200,0.009697737297875247,10,0.13,False
231,432,-200.0,200,0.009697737297875247,10,0.13,False
232,433,818.0,183,0.009697737297875247,10,0.14,True
233,434,-200.0,200,0.009697737297875247,10,0.14,False
234,435,-200.0,200,0.009697737297875247,10,0.13,False
235,436,-200.0,200,0.009697737297875247,10,0.13,False
236,437,816.0,185,0.009697737297875247,10,0.14,True
237,438,-200.0,200,0.009697737297875247,10,0.14,False
238,439,827.0,174,0.009697737297875247,10,0.15,True
239,440,-200.0,200,0.009697737297875247,10,0.15,False
240,441,-200.0,200,0.009697737297875247,10,0.15,False
241,442,838.0,163,0.009697737297875247,10,0.16,True
242,443,-200.0,200,0.009697737297875247,10,0.16,False
243,444,830.0,171,0.009697737297875247,10,0.17,True
244,445,869.0,132,0.009697737297875247,10,0.18,True
245,446,-200.0,200,0.009697737297875247,10,0.18,False
246,447,-200.0,200,0.009697737297875247,10,0.18,False
247,448,833.0,168,0.009697737297875247,10,0.19,True
248,449,-200.0,200,0.009697737297875247,10,0.19,False
249,450,-200.0,200,0.009697737297875247,10,0.19,False
250,451,808.0,193,0.009697737297875247,10,0.2,True
251,452,887.0,114,0.009697737297875247,10,0.21,True
252,453,-200.0,200,0.009697737297875247,10,0.21,False
253,454,880.0,121,0.009697737297875247,10,0.22,True
254,455,-200.0,200,0.009697737297875247,10,0.22,False
255,456,-200.0,200,0.009697737297875247,10,0.22,False
256,457,-200.0,200,0.009697737297875247,10,0.22,False
257,458,-200.0,200,0.009697737297875247,10,0.22,False
258,459,-200.0,200,0.009697737297875247,10,0.22,False
259,460,913.0,88,0.009697737297875247,10,0.23,True
260,461,-200.0,200,0.009697737297875247,10,0.23,False
261,462,-200.0,200,0.009697737297875247,10,0.23,False
262,463,905.0,96,0.009697737297875247,10,0.24,True
263,464,-200.0,200,0.009697737297875247,10,0.24,False
264,465,-200.0,200,0.009697737297875247,10,0.24,False
265,466,-200.0,200,0.009697737297875247,10,0.24,False
266,467,-200.0,200,0.009697737297875247,10,0.24,False
267,468,-200.0,200,0.009697737297875247,10,0.24,False
268,469,-200.0,200,0.009697737297875247,10,0.24,False
269,470,-200.0,200,0.009697737297875247,10,0.24,False
270,471,-200.0,200,0.009697737297875247,10,0.24,False
271,472,-200.0,200,0.009697737297875247,10,0.24,False
272,473,-200.0,200,0.009697737297875247,10,0.24,False
273,474,-200.0,200,0.009697737297875247,10,0.24,False
274,475,-200.0,200,0.009697737297875247,10,0.24,False
275,476,-200.0,200,0.009697737297875247,10,0.24,False
276,477,-200.0,200,0.009697737297875247,10,0.24,False
277,478,-200.0,200,0.009697737297875247,10,0.24,False
278,479,-200.0,200,0.009697737297875247,10,0.24,False
279,480,-200.0,200,0.009697737297875247,10,0.24,False
280,481,-200.0,200,0.009697737297875247,10,0.24,False
281,482,-200.0,200,0.009697737297875247,10,0.24,False
282,483,-200.0,200,0.009697737297875247,10,0.24,False
283,484,-200.0,200,0.009697737297875247,10,0.24,False
284,485,824.0,177,0.009697737297875247,10,0.25,True
285,486,-200.0,200,0.009697737297875247,10,0.25,False
286,487,-200.0,200,0.009697737297875247,10,0.25,False
287,488,-200.0,200,0.009697737297875247,10,0.25,False
288,489,823.0,178,0.009697737297875247,10,0.26,True
289,490,-200.0,200,0.009697737297875247,10,0.26,False
290,491,-200.0,200,0.009697737297875247,10,0.26,False
291,492,-200.0,200,0.009697737297875247,10,0.26,False
292,493,832.0,169,0.009697737297875247,10,0.27,True
293,494,-200.0,200,0.009697737297875247,10,0.27,False
294,495,-200.0,200,0.009697737297875247,10,0.27,False
295,496,-200.0,200,0.009697737297875247,10,0.27,False
296,497,910.0,91,0.009697737297875247,10,0.28,True
297,498,-200.0,200,0.009697737297875247,10,0.28,False
298,499,-200.0,200,0.009697737297875247,10,0.28,False
299,500,911.0,90,0.009697737297875247,10,0.29,True
300,601,-200.0,200,0.009697737297875247,13,0.01,False
301,602,-200.0,200,0.009697737297875247,13,0.01,False
302,603,-200.0,200,0.009697737297875247,13,0.01,False
303,604,-200.0,200,0.009697737297875247,13,0.01,False
304,605,-200.0,200,0.009697737297875247,13,0.01,False
305,606,-200.0,200,0.009697737297875247,13,0.01,False
306,607,908.0,93,0.009697737297875247,13,0.02,True
307,608,-200.0,200,0.009697737297875247,13,0.02,False
308,609,-200.0,200,0.009697737297875247,13,0.02,False
309,610,-200.0,200,0.009697737297875247,13,0.02,False
310,611,-200.0,200,0.009697737297875247,13,0.02,False
311,612,-200.0,200,0.009697737297875247,13,0.02,False
312,613,-200.0,200,0.009697737297875247,13,0.02,False
313,614,-200.0,200,0.009697737297875247,13,0.02,False
314,615,827.0,174,0.009697737297875247,13,0.03,True
315,616,-200.0,200,0.009697737297875247,13,0.03,False
316,617,-200.0,200,0.009697737297875247,13,0.03,False
317,618,-200.0,200,0.009697737297875247,13,0.03,False
318,619,-200.0,200,0.009697737297875247,13,0.03,False
319,620,-200.0,200,0.009697737297875247,13,0.03,False
320,621,-200.0,200,0.009697737297875247,13,0.03,False
321,622,-200.0,200,0.009697737297875247,13,0.03,False
322,623,-200.0,200,0.009697737297875247,13,0.03,False
323,624,-200.0,200,0.009697737297875247,13,0.03,False
324,625,-200.0,200,0.009697737297875247,13,0.03,False
325,626,-200.0,200,0.009697737297875247,13,0.03,False
326,627,-200.0,200,0.009697737297875247,13,0.03,False
327,628,-200.0,200,0.009697737297875247,13,0.03,False
328,629,-200.0,200,0.009697737297875247,13,0.03,False
329,630,-200.0,200,0.009697737297875247,13,0.03,False
330,631,-200.0,200,0.009697737297875247,13,0.03,False
331,632,-200.0,200,0.009697737297875247,13,0.03,False
332,633,-200.0,200,0.009697737297875247,13,0.03,False
333,634,-200.0,200,0.009697737297875247,13,0.03,False
334,635,-200.0,200,0.009697737297875247,13,0.03,False
335,636,-200.0,200,0.009697737297875247,13,0.03,False
336,637,-200.0,200,0.009697737297875247,13,0.03,False
337,638,-200.0,200,0.009697737297875247,13,0.03,False
338,639,-200.0,200,0.009697737297875247,13,0.03,False
339,640,913.0,88,0.009697737297875247,13,0.04,True
340,641,801.0,200,0.009697737297875247,13,0.04,False
341,642,801.0,200,0.009697737297875247,13,0.04,False
342,643,804.0,197,0.009697737297875247,13,0.05,True
343,644,-200.0,200,0.009697737297875247,13,0.05,False
344,645,-200.0,200,0.009697737297875247,13,0.05,False
345,646,811.0,190,0.009697737297875247,13,0.06,True
346,647,-200.0,200,0.009697737297875247,13,0.06,False
347,648,873.0,128,0.009697737297875247,13,0.07,True
348,649,803.0,198,0.009697737297875247,13,0.08,True
349,650,815.0,186,0.009697737297875247,13,0.09,True
350,651,-200.0,200,0.009697737297875247,13,0.09,False
351,652,816.0,185,0.009697737297875247,13,0.1,True
352,653,826.0,175,0.009697737297875247,13,0.11,True
353,654,844.0,157,0.009697737297875247,13,0.12,True
354,655,-200.0,200,0.009697737297875247,13,0.12,False
355,656,-200.0,200,0.009697737297875247,13,0.12,False
356,657,-200.0,200,0.009697737297875247,13,0.12,False
357,658,846.0,155,0.009697737297875247,13,0.13,True
358,659,-200.0,200,0.009697737297875247,13,0.13,False
359,660,-200.0,200,0.009697737297875247,13,0.13,False
360,661,816.0,185,0.009697737297875247,13,0.14,True
361,662,844.0,157,0.009697737297875247,13,0.15,True
362,663,-200.0,200,0.009697737297875247,13,0.15,False
363,664,848.0,153,0.009697737297875247,13,0.16,True
364,665,-200.0,200,0.009697737297875247,13,0.16,False
365,666,-200.0,200,0.009697737297875247,13,0.16,False
366,667,-200.0,200,0.009697737297875247,13,0.16,False
367,668,-200.0,200,0.009697737297875247,13,0.16,False
368,669,816.0,185,0.009697737297875247,13,0.17,True
369,670,-200.0,200,0.009697737297875247,13,0.17,False
370,671,-200.0,200,0.009697737297875247,13,0.17,False
371,672,-200.0,200,0.009697737297875247,13,0.17,False
372,673,-200.0,200,0.009697737297875247,13,0.17,False
373,674,816.0,185,0.009697737297875247,13,0.18,True
374,675,-200.0,200,0.009697737297875247,13,0.18,False
375,676,-200.0,200,0.009697737297875247,13,0.18,False
376,677,-200.0,200,0.009697737297875247,13,0.18,False
377,678,-200.0,200,0.009697737297875247,13,0.18,False
378,679,818.0,183,0.009697737297875247,13,0.19,True
379,680,-200.0,200,0.009697737297875247,13,0.19,False
380,681,814.0,187,0.009697737297875247,13,0.2,True
381,682,824.0,177,0.009697737297875247,13,0.21,True
382,683,-200.0,200,0.009697737297875247,13,0.21,False
383,684,-200.0,200,0.009697737297875247,13,0.21,False
384,685,-200.0,200,0.009697737297875247,13,0.21,False
385,686,816.0,185,0.009697737297875247,13,0.22,True
386,687,838.0,163,0.009697737297875247,13,0.23,True
387,688,-200.0,200,0.009697737297875247,13,0.23,False
388,689,-200.0,200,0.009697737297875247,13,0.23,False
389,690,818.0,183,0.009697737297875247,13,0.24,True
390,691,816.0,185,0.009697737297875247,13,0.25,True
391,692,-200.0,200,0.009697737297875247,13,0.25,False
392,693,-200.0,200,0.009697737297875247,13,0.25,False
393,694,-200.0,200,0.009697737297875247,13,0.25,False
394,695,-200.0,200,0.009697737297875247,13,0.25,False
395,696,848.0,153,0.009697737297875247,13,0.25,True
396,697,-200.0,200,0.009697737297875247,13,0.25,False
397,698,819.0,182,0.009697737297875247,13,0.26,True
398,699,-200.0,200,0.009697737297875247,13,0.26,False
399,700,-200.0,200,0.009697737297875247,13,0.26,False
400,801,818.0,183,0.009697737297875247,16,0.56,True
401,802,-200.0,200,0.009697737297875247,16,0.55,False
402,803,-200.0,200,0.009697737297875247,16,0.55,False
403,804,818.0,183,0.009697737297875247,16,0.56,True
404,805,-200.0,200,0.009697737297875247,16,0.55,False
405,806,819.0,182,0.009697737297875247,16,0.56,True
406,807,-200.0,200,0.009697737297875247,16,0.56,False
407,808,816.0,185,0.009697737297875247,16,0.56,True
408,809,816.0,185,0.009697737297875247,16,0.56,True
409,810,815.0,186,0.009697737297875247,16,0.56,True
410,811,-200.0,200,0.009697737297875247,16,0.55,False
411,812,-200.0,200,0.009697737297875247,16,0.54,False
412,813,818.0,183,0.009697737297875247,16,0.55,True
