,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,-20.3,203,0.9,4,0.0,False
1,2,83.3,167,0.81,4,0.5,True
2,3,91.5,85,0.7290000000000001,4,0.667,True
3,4,92.0,80,0.6561000000000001,4,0.75,True
4,5,91.50000000000001,85,0.5904900000000002,4,0.8,True
5,6,81.9,181,0.5314410000000002,4,0.833,True
6,7,83.30000000000001,167,0.47829690000000014,4,0.857,True
7,8,83.9,161,0.43046721000000016,4,0.875,True
8,9,92.00000000000001,80,0.38742048900000015,4,0.889,True
9,10,-20.400000000000006,204,0.34867844010000015,4,0.8,False
10,11,87.6,124,0.31381059609000017,4,0.818,True
11,12,92.2,78,0.28242953648100017,4,0.833,True
12,13,-20.80000000000001,208,0.25418658283290013,4,0.769,False
13,14,82.9,171,0.22876792454961012,4,0.786,True
14,15,88.30000000000001,117,0.2058911320946491,4,0.8,True
15,16,92.10000000000001,79,0.1853020188851842,4,0.812,True
16,17,-20.000000000000004,200,0.16677181699666577,4,0.765,False
17,18,88.10000000000001,119,0.1500946352969992,4,0.778,True
18,19,85.9,141,0.13508517176729928,4,0.789,True
19,20,89.2,108,0.12157665459056936,4,0.8,True
20,21,-20.800000000000004,208,0.10941898913151243,4,0.762,False
21,22,-20.300000000000004,203,0.0984770902183612,4,0.727,False
22,23,82.6,174,0.08862938119652508,4,0.739,True
23,24,87.6,124,0.07976644307687257,4,0.75,True
24,25,88.60000000000001,114,0.07178979876918531,4,0.76,True
25,26,87.5,125,0.06461081889226679,4,0.769,True
26,27,88.30000000000001,117,0.05814973700304011,4,0.778,True
27,28,88.5,115,0.0523347633027361,4,0.786,True
28,29,79.8,202,0.04710128697246249,4,0.793,True
29,30,88.7,113,0.042391158275216244,4,0.8,True
30,31,89.3,107,0.03815204244769462,4,0.806,True
31,32,89.4,106,0.03433683820292516,4,0.812,True
32,33,87.6,124,0.030903154382632643,4,0.818,True
33,34,87.5,125,0.02781283894436938,4,0.824,True
34,35,88.4,116,0.025031555049932444,4,0.829,True
35,36,88.5,115,0.0225283995449392,4,0.833,True
36,37,88.7,113,0.020275559590445278,4,0.838,True
37,38,88.30000000000001,117,0.01824800363140075,4,0.842,True
38,39,87.6,124,0.016423203268260675,4,0.846,True
39,40,83.4,166,0.014780882941434608,4,0.85,True
40,41,88.60000000000001,114,0.013302794647291147,4,0.854,True
41,42,87.5,125,0.011972515182562033,4,0.857,True
42,43,81.5,185,0.01077526366430583,4,0.86,True
43,44,88.30000000000001,117,0.009697737297875247,4,0.864,True
44,45,83.30000000000003,167,0.009697737297875247,4,0.867,True
45,46,88.4,116,0.009697737297875247,4,0.87,True
46,47,88.60000000000001,114,0.009697737297875247,4,0.872,True
47,48,-21.899999999999995,219,0.009697737297875247,4,0.854,False
48,49,87.6,124,0.009697737297875247,4,0.857,True
49,50,88.5,115,0.009697737297875247,4,0.86,True
50,51,88.50000000000001,115,0.009697737297875247,4,0.863,True
51,52,88.50000000000001,115,0.009697737297875247,4,0.865,True
52,53,88.4,116,0.009697737297875247,4,0.868,True
53,54,87.5,125,0.009697737297875247,4,0.87,True
54,55,88.30000000000001,117,0.009697737297875247,4,0.873,True
55,56,81.8,182,0.009697737297875247,4,0.875,True
56,57,88.30000000000001,117,0.009697737297875247,4,0.877,True
57,58,79.7,203,0.009697737297875247,4,0.879,True
58,59,88.50000000000001,115,0.009697737297875247,4,0.881,True
59,60,87.6,124,0.009697737297875247,4,0.883,True
60,61,88.60000000000001,114,0.009697737297875247,4,0.885,True
61,62,83.30000000000003,167,0.009697737297875247,4,0.887,True
62,63,88.30000000000001,117,0.009697737297875247,4,0.889,True
63,64,88.60000000000001,114,0.009697737297875247,4,0.891,True
64,65,88.5,115,0.009697737297875247,4,0.892,True
65,66,88.30000000000001,117,0.009697737297875247,4,0.894,True
66,67,88.5,115,0.009697737297875247,4,0.896,True
67,68,88.7,113,0.009697737297875247,4,0.897,True
68,69,79.0,210,0.009697737297875247,4,0.899,True
69,70,88.5,115,0.009697737297875247,4,0.9,True
70,71,79.7,203,0.009697737297875247,4,0.901,True
71,72,88.60000000000001,114,0.009697737297875247,4,0.903,True
72,73,88.50000000000001,115,0.009697737297875247,4,0.904,True
73,74,88.60000000000001,114,0.009697737297875247,4,0.905,True
74,75,88.60000000000001,114,0.009697737297875247,4,0.907,True
75,76,88.50000000000001,115,0.009697737297875247,4,0.908,True
76,77,88.7,113,0.009697737297875247,4,0.909,True
77,78,88.60000000000001,114,0.009697737297875247,4,0.91,True
78,79,88.30000000000001,117,0.009697737297875247,4,0.911,True
79,80,80.10000000000001,199,0.009697737297875247,4,0.912,True
80,81,88.6,114,0.009697737297875247,4,0.914,True
81,82,81.10000000000002,189,0.009697737297875247,4,0.915,True
82,83,88.30000000000001,117,0.009697737297875247,4,0.916,True
83,84,88.4,116,0.009697737297875247,4,0.917,True
84,85,88.7,113,0.009697737297875247,4,0.918,True
85,86,88.30000000000001,117,0.009697737297875247,4,0.919,True
86,87,88.30000000000001,117,0.009697737297875247,4,0.92,True
87,88,88.60000000000001,114,0.009697737297875247,4,0.92,True
88,89,80.10000000000001,199,0.009697737297875247,4,0.921,True
89,90,88.6,114,0.009697737297875247,4,0.922,True
90,91,81.3,187,0.009697737297875247,4,0.923,True
91,92,88.7,113,0.009697737297875247,4,0.924,True
92,93,81.6,184,0.009697737297875247,4,0.925,True
93,94,88.50000000000001,115,0.009697737297875247,4,0.926,True
94,95,87.6,124,0.009697737297875247,4,0.926,True
95,96,88.2,118,0.009697737297875247,4,0.927,True
96,97,87.6,124,0.009697737297875247,4,0.928,True
97,98,87.5,125,0.009697737297875247,4,0.929,True
98,99,88.5,115,0.009697737297875247,4,0.929,True
99,100,88.30000000000001,117,0.009697737297875247,4,0.93,True
100,101,81.5,185,0.009697737297875247,4,0.94,True
101,102,88.7,113,0.009697737297875247,4,0.94,True
102,103,87.4,126,0.009697737297875247,4,0.94,True
103,104,88.60000000000001,114,0.009697737297875247,4,0.94,True
104,105,88.30000000000001,117,0.009697737297875247,4,0.94,True
105,106,79.8,202,0.009697737297875247,4,0.94,True
106,107,88.5,115,0.009697737297875247,4,0.94,True
107,108,80.2,198,0.009697737297875247,4,0.94,True
108,109,88.30000000000001,117,0.009697737297875247,4,0.94,True
109,110,88.5,115,0.009697737297875247,4,0.95,True
110,111,88.5,115,0.009697737297875247,4,0.95,True
111,112,81.39999999999999,186,0.009697737297875247,4,0.95,True
112,113,87.6,124,0.009697737297875247,4,0.96,True
113,114,88.30000000000001,117,0.009697737297875247,4,0.96,True
114,115,87.5,125,0.009697737297875247,4,0.96,True
115,116,88.60000000000001,114,0.009697737297875247,4,0.96,True
116,117,87.5,125,0.009697737297875247,4,0.97,True
117,118,88.60000000000001,114,0.009697737297875247,4,0.97,True
118,119,88.30000000000001,117,0.009697737297875247,4,0.97,True
119,120,81.39999999999999,186,0.009697737297875247,4,0.97,True
120,121,88.30000000000001,117,0.009697737297875247,4,0.98,True
121,122,88.30000000000001,117,0.009697737297875247,4,0.99,True
122,123,88.60000000000001,114,0.009697737297875247,4,0.99,True
123,124,82.60000000000002,174,0.009697737297875247,4,0.99,True
124,125,-20.4,204,0.009697737297875247,4,0.98,False
125,126,88.6,114,0.009697737297875247,4,0.98,True
126,127,88.4,116,0.009697737297875247,4,0.98,True
