,episode,reward,epochs,epsilon,success
0,0,-69.74626119806798,66,0.995,False
1,1,-116.48133136111007,94,0.990025,False
2,2,-182.04035476551047,68,0.985074875,False
3,3,-303.8312865199048,91,0.9801495006250001,False
4,4,-341.09155264918184,124,0.9752487531218751,False
5,5,-171.76160028214676,81,0.9703725093562657,False
6,6,-261.6262755442781,109,0.9655206468094844,False
7,7,-104.27328832530146,87,0.960693043575437,False
8,8,-175.62833726704378,77,0.9558895783575597,False
9,9,-217.5594642944386,92,0.9511101304657719,False
10,10,-84.37269907390356,112,0.946354579813443,False
11,11,-77.26077685859096,104,0.9416228069143757,False
12,12,-107.04014796286603,84,0.9369146928798039,False
13,13,-320.1869370013211,91,0.9322301194154049,False
14,14,-66.26609116823879,137,0.9275689688183278,False
15,15,-186.8984772012995,69,0.9229311239742362,False
16,16,-143.95897207876232,107,0.918316468354365,False
17,17,46.066147389197354,1000,0.9137248860125932,False
18,18,34.468702942602704,100,0.9091562615825302,False
19,19,-120.83304254528855,58,0.9046104802746175,False
20,20,-90.82102060722184,108,0.9000874278732445,False
21,21,-177.59747981623045,134,0.8955869907338783,False
22,22,-181.4328632666945,71,0.8911090557802088,False
23,23,-203.21501024587272,146,0.8866535105013078,False
24,24,-90.55961709100424,66,0.8822202429488013,False
25,25,34.86035493437549,118,0.8778091417340573,False
26,26,-64.12116420033605,77,0.8734200960253871,False
27,27,-181.72618804190517,110,0.8690529955452602,False
28,28,-337.74085834768107,98,0.8647077305675338,False
29,29,-203.45476492425087,128,0.8603841919146962,False
30,30,-119.7948254210063,89,0.8560822709551227,False
31,31,-172.81713608045254,65,0.851801859600347,False
32,32,-96.9359949651764,59,0.8475428503023453,False
33,33,-265.6183221706599,112,0.8433051360508336,False
34,34,-36.37978210471363,139,0.8390886103705794,False
35,35,-66.11439690969519,140,0.8348931673187264,False
36,36,-109.93305257856771,83,0.8307187014821328,False
37,37,-56.42253459505661,107,0.8265651079747222,False
38,38,-117.74950155572762,130,0.8224322824348486,False
39,39,-53.4448138314236,99,0.8183201210226743,False
40,40,-81.03029714770707,85,0.8142285204175609,False
41,41,-95.00542359257116,155,0.810157377815473,False
42,42,-48.42597014976184,148,0.8061065909263957,False
43,43,-208.0980223104446,113,0.8020760579717637,False
44,44,-96.5752204154659,144,0.798065677681905,False
45,45,-370.8288821391369,88,0.7940753492934954,False
46,46,-83.13293028680977,84,0.7901049725470279,False
47,47,-108.55188408207931,105,0.7861544476842928,False
48,48,-59.08297788269298,82,0.7822236754458713,False
49,49,-53.117343105089574,73,0.778312557068642,False
50,50,-69.02108389209343,85,0.7744209942832988,False
