Num episodes,Cumulative rewards
10,"[-991.0, -992.0, -991.0, -993.0, -986.0, -993.0, -992.0, -990.0, -986.0, -992.0]"
20,"[-991.0, -986.0, -987.0, -991.0, -992.0, -991.0, -993.0, -992.0, -991.0, -992.0]"
30,"[-990.0, -992.0, -992.0, -990.0, -991.0, -990.0, -984.0, -990.0, -990.0, -992.0]"
40,"[-991.0, -986.0, -988.0, -990.0, -983.0, -991.0, -990.0, -985.0, -989.0, -992.0]"
50,"[-991.0, -990.0, -988.0, -991.0, -992.0, -991.0, -991.0, -982.0, -990.0, -989.0]"
60,"[-992.0, -991.0, -988.0, -991.0, -991.0, -990.0, -991.0, -992.0, -984.0, -992.0]"
70,"[-987.0, -987.0, -987.0, -991.0, -991.0, -990.0, -991.0, -989.0, -990.0, -986.0]"
80,"[-990.0, -992.0, -991.0, -989.0, -990.0, -989.0, -992.0, -992.0, -988.0, -989.0]"
90,"[-992.0, -985.0, -993.0, -993.0, -988.0, -989.0, -988.0, -988.0, -991.0, -991.0]"
100,"[-991.0, -990.0, -991.0, -986.0, -988.0, -992.0, -984.0, -989.0, -991.0, -989.0]"
110,"[-991.0, -992.0, -992.0, -991.0, -989.0, -988.0, -989.0, -990.0, -990.0, -992.0]"
120,"[-992.0, -991.0, -989.0, -991.0, -992.0, -992.0, -991.0, -993.0, -991.0, -988.0]"
130,"[-989.0, -992.0, -989.0, -985.0, -990.0, -991.0, -992.0, -990.0, -987.0, -991.0]"
140,"[-992.0, -988.0, -992.0, -986.0, -984.0, -989.0, -991.0, -983.0, -992.0, -990.0]"
150,"[-991.0, -988.0, -992.0, -986.0, -992.0, -988.0, -991.0, -989.0, -990.0, -991.0]"
160,"[-988.0, -990.0, -991.0, -993.0, -993.0, -991.0, -990.0, -991.0, -991.0, -989.0]"
170,"[-991.0, -992.0, -993.0, -989.0, -991.0, -992.0, -990.0, -993.0, -992.0, -987.0]"
180,"[-991.0, -991.0, -991.0, -992.0, -991.0, -993.0, -992.0, -992.0, -986.0, -988.0]"
190,"[-988.0, -991.0, -987.0, -988.0, -992.0, -992.0, -991.0, -991.0, -991.0, -993.0]"
200,"[-989.0, -992.0, -992.0, -991.0, -988.0, -991.0, -991.0, -992.0, -991.0, -989.0]"
210,"[-991.0, -988.0, -991.0, -989.0, -989.0, -989.0, -988.0, -991.0, -989.0, -990.0]"
220,"[-990.0, -986.0, -989.0, -992.0, -991.0, -991.0, -989.0, -989.0, -989.0, -986.0]"
230,"[-989.0, -992.0, -984.0, -992.0, -991.0, -991.0, -988.0, -991.0, -991.0, -991.0]"
240,"[-987.0, -989.0, -991.0, -991.0, -991.0, -991.0, -989.0, -991.0, -990.0, -988.0]"
250,"[-987.0, -991.0, -986.0, -989.0, -989.0, -990.0, -991.0, -991.0, -989.0, -989.0]"
260,"[-976.0, -992.0, -990.0, -992.0, -991.0, -990.0, -987.0, -989.0, -985.0, -989.0]"
270,"[-987.0, -991.0, -991.0, -993.0, -984.0, -992.0, -989.0, -987.0, -989.0, -992.0]"
280,"[-989.0, -992.0, -981.0, -985.0, -984.0, -992.0, -990.0, -993.0, -992.0, -989.0]"
290,"[-989.0, -991.0, -992.0, -991.0, -984.0, -991.0, -992.0, -992.0, -980.0, -988.0]"
300,"[-993.0, -984.0, -992.0, -992.0, -991.0, -991.0, -975.0, -989.0, -991.0, -990.0]"
310,"[-988.0, -993.0, -989.0, -990.0, -989.0, -989.0, -983.0, -993.0, -993.0, -991.0]"
320,"[-991.0, -989.0, -991.0, -987.0, -991.0, -987.0, -993.0, -991.0, -992.0, -988.0]"
330,"[-992.0, -992.0, -991.0, -991.0, -989.0, -991.0, -986.0, -987.0, -984.0, -990.0]"
340,"[-990.0, -989.0, -992.0, -989.0, -987.0, -988.0, -990.0, -992.0, -991.0, -989.0]"
350,"[-982.0, -985.0, -992.0, -986.0, -992.0, -992.0, -991.0, -990.0, -991.0, -988.0]"
360,"[-984.0, -993.0, -985.0, -990.0, -992.0, -988.0, -989.0, -992.0, -991.0, -987.0]"
370,"[-990.0, -988.0, -991.0, -992.0, -986.0, -983.0, -989.0, -992.0, -990.0, -991.0]"
380,"[-990.0, -990.0, -992.0, -991.0, -992.0, -987.0, -993.0, -991.0, -993.0, -992.0]"
390,"[-988.0, -992.0, -987.0, -991.0, -992.0, -992.0, -991.0, -992.0, -992.0, -987.0]"
400,"[-991.0, -992.0, -989.0, -984.0, -992.0, -992.0, -989.0, -984.0, -992.0, -991.0]"
410,"[-991.0, -992.0, -989.0, -992.0, -991.0, -991.0, -991.0, -984.0, -992.0, -992.0]"
420,"[-989.0, -992.0, -989.0, -991.0, -992.0, -992.0, -991.0, -978.0, -984.0, -988.0]"
430,"[-990.0, -992.0, -985.0, -992.0, -991.0, -990.0, -991.0, -984.0, -987.0, -991.0]"
440,"[-988.0, -992.0, -988.0, -993.0, -990.0, -992.0, -990.0, -992.0, -992.0, -992.0]"
450,"[-992.0, -992.0, -973.0, -993.0, -992.0, -988.0, -988.0, -986.0, -992.0, -989.0]"
460,"[-987.0, -983.0, -991.0, -986.0, -989.0, -988.0, -992.0, -991.0, -991.0, -991.0]"
470,"[-989.0, -993.0, -991.0, -993.0, -987.0, -987.0, -991.0, -985.0, -986.0, -993.0]"
480,"[-988.0, -992.0, -992.0, -988.0, -986.0, -992.0, -992.0, -989.0, -985.0, -986.0]"
490,"[-990.0, -986.0, -988.0, -989.0, -990.0, -987.0, -990.0, -989.0, -989.0, -990.0]"
500,"[-992.0, -990.0, -993.0, -987.0, -990.0, -988.0, -991.0, -987.0, -991.0, -990.0]"
510,"[-992.0, -993.0, -975.0, -978.0, -989.0, -991.0, -989.0, -984.0, -991.0, -979.0]"
520,"[-988.0, -993.0, -992.0, -992.0, -987.0, -992.0, -990.0, -993.0, -988.0, -993.0]"
530,"[-992.0, -984.0, -991.0, -977.0, -988.0, -993.0, -992.0, -991.0, -992.0, -991.0]"
540,"[-983.0, -989.0, -991.0, -973.0, -992.0, -988.0, -987.0, -992.0, -981.0, -984.0]"
550,"[-988.0, -989.0, -992.0, -986.0, -992.0, -992.0, -990.0, -991.0, -986.0, -992.0]"
560,"[-986.0, -990.0, -989.0, -985.0, -975.0, -984.0, -992.0, -976.0, -993.0, -991.0]"
570,"[-990.0, -985.0, -991.0, -991.0, -992.0, -977.0, -992.0, -989.0, -989.0, -989.0]"
580,"[-992.0, -992.0, -989.0, -989.0, -991.0, -991.0, -988.0, -991.0, -987.0, -992.0]"
590,"[-992.0, -990.0, -991.0, -983.0, -986.0, -987.0, -989.0, -992.0, -988.0, -984.0]"
600,"[-992.0, -992.0, -991.0, -992.0, -990.0, -983.0, -993.0, -988.0, -991.0, -980.0]"
610,"[-993.0, -990.0, -989.0, -992.0, -988.0, -991.0, -991.0, -987.0, -991.0, -990.0]"
620,"[-992.0, -992.0, -989.0, -990.0, -979.0, -987.0, -992.0, -988.0, -992.0, -993.0]"
630,"[-981.0, -989.0, -989.0, -991.0, -992.0, -991.0, -990.0, -986.0, -991.0, -990.0]"
640,"[-992.0, -991.0, -992.0, -989.0, -990.0, -989.0, -988.0, -989.0, -987.0, -992.0]"
650,"[-989.0, -989.0, -987.0, -990.0, -991.0, -992.0, -983.0, -991.0, -991.0, -988.0]"
660,"[-992.0, -990.0, -992.0, -986.0, -989.0, -988.0, -993.0, -986.0, -982.0, -988.0]"
670,"[-991.0, -992.0, -992.0, -986.0, -989.0, -989.0, -989.0, -985.0, -984.0, -987.0]"
680,"[-974.0, -987.0, -986.0, -984.0, -991.0, -992.0, -984.0, -989.0, -979.0, -993.0]"
690,"[-993.0, -989.0, -983.0, -982.0, -991.0, -978.0, -991.0, -989.0, -986.0, -993.0]"
700,"[-981.0, -992.0, -982.0, -987.0, -991.0, -986.0, -982.0, -990.0, -992.0, -990.0]"
710,"[-983.0, -979.0, -985.0, -993.0, -989.0, -989.0, -991.0, -992.0, -992.0, -983.0]"
720,"[-991.0, -981.0, -991.0, -988.0, -986.0, -989.0, -992.0, -991.0, -987.0, -992.0]"
730,"[-987.0, -986.0, -983.0, -969.0, -991.0, -991.0, -991.0, -991.0, -993.0, -988.0]"
740,"[-990.0, -979.0, -993.0, -982.0, -993.0, -992.0, -981.0, -989.0, -985.0, -989.0]"
750,"[-989.0, -991.0, -983.0, -984.0, -984.0, -991.0, -992.0, -992.0, -986.0, -985.0]"
760,"[-988.0, -985.0, -989.0, -992.0, -989.0, -991.0, -992.0, -991.0, -986.0, -987.0]"
770,"[-984.0, -990.0, -988.0, -991.0, -993.0, -993.0, -992.0, -991.0, -987.0, -992.0]"
780,"[-985.0, -983.0, -987.0, -989.0, -989.0, -987.0, -987.0, -987.0, -992.0, -988.0]"
790,"[-989.0, -987.0, -987.0, -992.0, -991.0, -986.0, -984.0, -990.0, -979.0, -989.0]"
800,"[-986.0, -980.0, -992.0, -986.0, -989.0, -984.0, -989.0, -986.0, -990.0, -988.0]"
810,"[-991.0, -989.0, -991.0, -990.0, -991.0, -991.0, -992.0, -992.0, -993.0, -989.0]"
820,"[-992.0, -970.0, -989.0, -989.0, -987.0, -988.0, -966.0, -992.0, -989.0, -992.0]"
830,"[-986.0, -990.0, -986.0, -989.0, -990.0, -992.0, -990.0, -993.0, -992.0, -985.0]"
840,"[-991.0, -984.0, -988.0, -982.0, -989.0, -977.0, -992.0, -976.0, -984.0, -990.0]"
850,"[-988.0, -987.0, -986.0, -991.0, -992.0, -989.0, -993.0, -987.0, -982.0, -990.0]"
860,"[-980.0, -988.0, -986.0, -983.0, -986.0, -990.0, -989.0, -988.0, -992.0, -989.0]"
870,"[-986.0, -989.0, -991.0, -992.0, -991.0, -991.0, -985.0, -979.0, -992.0, -989.0]"
880,"[-981.0, -990.0, -989.0, -990.0, -992.0, -990.0, -992.0, -990.0, -993.0, -992.0]"
890,"[-986.0, -987.0, -974.0, -989.0, -983.0, -992.0, -992.0, -989.0, -991.0, -992.0]"
900,"[-985.0, -987.0, -993.0, -992.0, -989.0, -986.0, -989.0, -987.0, -991.0, -991.0]"
910,"[-990.0, -992.0, -986.0, -991.0, -989.0, -976.0, -975.0, -989.0, -988.0, -991.0]"
920,"[-984.0, -983.0, -991.0, -992.0, -988.0, -986.0, -993.0, -986.0, -984.0, -983.0]"
930,"[-990.0, -990.0, -986.0, -992.0, -982.0, -984.0, -989.0, -991.0, -983.0, -989.0]"
940,"[-981.0, -985.0, -978.0, -988.0, -987.0, -989.0, -990.0, -992.0, -990.0, -991.0]"
950,"[-990.0, -982.0, -985.0, -988.0, -990.0, -980.0, -991.0, -989.0, -992.0, -988.0]"
960,"[-988.0, -980.0, -984.0, -979.0, -987.0, -991.0, -988.0, -990.0, -990.0, -985.0]"
970,"[-990.0, -983.0, -990.0, -985.0, -986.0, -981.0, -982.0, -989.0, -985.0, -993.0]"
980,"[-987.0, -989.0, -991.0, -983.0, -988.0, -985.0, -974.0, -987.0, -968.0, -990.0]"
990,"[-990.0, -986.0, -991.0, -991.0, -992.0, -989.0, -979.0, -992.0, -987.0, -992.0]"
1000,"[-974.0, -978.0, -986.0, -992.0, -987.0, -989.0, -978.0, -992.0, -982.0, -990.0]"
1010,"[-987.0, -991.0, -989.0, -989.0, -983.0, -988.0, -983.0, -985.0, -987.0, -990.0]"
1020,"[-989.0, -991.0, -988.0, -987.0, -988.0, -988.0, -980.0, -990.0, -984.0, -992.0]"
1030,"[-989.0, -991.0, -988.0, -987.0, -987.0, -989.0, -991.0, -989.0, -992.0, -990.0]"
1040,"[-991.0, -989.0, -986.0, -986.0, -990.0, -992.0, -993.0, -989.0, -985.0, -989.0]"
1050,"[-990.0, -988.0, -992.0, -989.0, -978.0, -986.0, -992.0, -991.0, -989.0, -954.0]"
1060,"[-988.0, -986.0, -987.0, -992.0, -992.0, -991.0, -992.0, -990.0, -987.0, -991.0]"
1070,"[-991.0, -986.0, -991.0, -991.0, -989.0, -976.0, -987.0, -980.0, -989.0, -976.0]"
1080,"[-991.0, -986.0, -990.0, -988.0, -989.0, -990.0, -985.0, -989.0, -992.0, -992.0]"
1090,"[-992.0, -989.0, -989.0, -989.0, -991.0, -982.0, -989.0, -981.0, -989.0, -991.0]"
1100,"[-992.0, -992.0, -985.0, -987.0, -989.0, -992.0, -992.0, -993.0, -990.0, -989.0]"
1110,"[-990.0, -993.0, -991.0, -986.0, -993.0, -980.0, -981.0, -983.0, -987.0, -993.0]"
