,episode,reward,epochs,epsilon,success
0,0,-67.16487202793378,74,0.999,False
1,1,-85.07063736763757,61,0.998001,False
2,2,-216.56917289839683,95,0.997002999,False
3,3,-260.47116779908004,119,0.996005996001,False
4,4,-118.26270908626796,110,0.995009990004999,False
5,5,-222.0663391715695,66,0.994014980014994,False
6,6,-130.0140156711963,101,0.993020965034979,False
7,7,-211.60923868949018,86,0.9920279440699441,False
8,8,-269.9448538581238,99,0.9910359161258742,False
9,9,-149.73007440289285,108,0.9900448802097482,False
10,10,-186.0794582874766,74,0.9890548353295385,False
11,11,-57.72831885041262,69,0.988065780494209,False
12,12,-433.34221537728683,124,0.9870777147137147,False
13,13,-181.58963247163754,97,0.986090636999001,False
14,14,-242.09548200451374,83,0.9851045463620021,False
15,15,-61.901496571521264,88,0.98411944181564,False
16,16,-128.808055026587,79,0.9831353223738244,False
17,17,-114.98309573264055,69,0.9821521870514506,False
18,18,-180.25875989192744,103,0.9811700348643991,False
19,19,-90.84730255827247,71,0.9801888648295347,False
20,20,-100.34835516368163,77,0.9792086759647052,False
21,21,-68.83520437358463,66,0.9782294672887405,False
22,22,-117.89335504904973,114,0.9772512378214517,False
23,23,-225.44997045288554,128,0.9762739865836303,False
24,24,-94.52062715913614,65,0.9752977125970467,False
25,25,-135.22635583188455,108,0.9743224148844496,False
26,26,-167.0387307947674,63,0.9733480924695651,False
27,27,-222.01541283275725,105,0.9723747443770956,False
28,28,-139.73821481538994,104,0.9714023696327185,False
29,29,-232.15320151231882,112,0.9704309672630859,False
30,30,-146.4201236157025,87,0.9694605362958227,False
31,31,-35.32038209437066,66,0.9684910757595269,False
32,32,-175.67098758602032,149,0.9675225846837673,False
33,33,-249.42067164552753,75,0.9665550620990835,False
34,34,-363.2851047294279,97,0.9655885070369844,False
35,35,-64.38004911394279,81,0.9646229185299474,False
36,36,-102.66245628745901,85,0.9636582956114175,False
37,37,-148.4560885993286,81,0.9626946373158061,False
38,38,-175.3731374866114,120,0.9617319426784903,False
39,39,-111.16643531778772,101,0.9607702107358118,False
40,40,-53.904874687856804,65,0.959809440525076,False
41,41,-118.06881738824276,85,0.9588496310845509,False
42,42,-169.1281573491253,73,0.9578907814534664,False
43,43,-220.2233984723771,74,0.9569328906720129,False
44,44,-204.0598992379014,107,0.9559759577813409,False
45,45,-80.3166584763453,61,0.9550199818235596,False
46,46,-50.28208713010811,160,0.9540649618417361,False
47,47,-102.88900515904527,72,0.9531108968798944,False
48,48,-340.798181411126,102,0.9521577859830145,False
49,49,-190.40541482084842,109,0.9512056281970315,False
50,50,-240.84393840459063,87,0.9502544225688344,False
51,51,-180.18106530800299,138,0.9493041681462656,False
52,52,-110.28025341934784,75,0.9483548639781193,False
53,53,-92.47450082993845,72,0.9474065091141411,False
54,54,-182.80372926677535,99,0.946459102605027,False
55,55,-114.8763926262892,106,0.9455126435024219,False
56,56,-147.1805957530139,57,0.9445671308589195,False
57,57,-103.3169353110876,59,0.9436225637280606,False
58,58,-286.1974176438166,111,0.9426789411643326,False
59,59,-132.74997892885438,122,0.9417362622231683,False
60,60,-416.58056250615385,116,0.9407945259609451,False
61,61,-120.12108229898777,79,0.9398537314349842,False
62,62,-235.7097348207999,99,0.9389138777035492,False
63,63,-7.678979627165077,105,0.9379749638258457,False
64,64,-108.08459077336185,113,0.9370369888620198,False
