,episode,reward,epochs,epsilon,success
0,0,-55.023782245552866,200,0.999,False
1,1,-113.87466551914258,200,0.998001,False
2,2,-142.80580433187424,200,0.997002999,False
3,3,-152.27589309852192,200,0.996005996001,False
4,4,-133.5015468954225,200,0.995009990004999,False
5,5,-33.5251003065423,200,0.994014980014994,False
6,6,-149.10687046358362,200,0.993020965034979,False
7,7,-52.906969118157576,200,0.9920279440699441,False
8,8,14.036607982052374,200,0.9910359161258742,False
9,9,-127.08167160493531,200,0.9900448802097482,False
10,10,-64.78743203333579,200,0.9890548353295385,False
11,11,-114.93039588059446,200,0.988065780494209,False
12,12,42.32867673817964,200,0.9870777147137147,False
13,13,-79.06630410871003,200,0.986090636999001,False
14,14,-129.1437687619691,200,0.9851045463620021,False
15,15,-30.44945064757485,200,0.98411944181564,False
16,16,24.731506599346176,200,0.9831353223738244,False
17,17,-153.79618114893674,200,0.9821521870514506,False
18,18,-135.7387895183365,200,0.9811700348643991,False
19,19,-143.44311868208024,200,0.9801888648295347,False
20,20,-70.50991570431506,200,0.9792086759647052,False
21,21,-59.10156058234861,200,0.9782294672887405,False
22,22,-147.38688539055147,200,0.9772512378214517,False
23,23,-108.50472662568791,200,0.9762739865836303,False
24,24,-84.80582778993266,200,0.9752977125970467,False
25,25,-38.209680606087204,200,0.9743224148844496,False
26,26,-147.89085470665668,200,0.9733480924695651,False
27,27,-153.27466257704145,200,0.9723747443770956,False
28,28,-45.11457605694886,200,0.9714023696327185,False
29,29,-107.79143919571652,200,0.9704309672630859,False
30,30,-101.4960276967031,200,0.9694605362958227,False
31,31,-64.10614317546788,200,0.9684910757595269,False
32,32,-55.83451401471393,200,0.9675225846837673,False
33,33,-67.66645487659844,200,0.9665550620990835,False
34,34,82.48409333900781,200,0.9655885070369844,False
35,35,-78.75024420523005,200,0.9646229185299474,False
36,36,3.4673956601182,200,0.9636582956114175,False
37,37,-124.57579106812773,200,0.9626946373158061,False
38,38,12.230363229173236,200,0.9617319426784903,False
39,39,27.24537077738205,200,0.9607702107358118,False
40,40,-86.56584603886586,200,0.959809440525076,False
41,41,-94.23259981649608,200,0.9588496310845509,False
42,42,-95.76802828713653,200,0.9578907814534664,False
43,43,-106.75282262163819,200,0.9569328906720129,False
44,44,-159.40546214151254,200,0.9559759577813409,False
45,45,-42.95698470859861,200,0.9550199818235596,False
46,46,-116.83605522703147,200,0.9540649618417361,False
47,47,-117.0741378024104,200,0.9531108968798944,False
48,48,-65.30021157959709,200,0.9521577859830145,False
49,49,-100.46795197858955,200,0.9512056281970315,False
50,50,-108.7142763322845,200,0.9502544225688344,False
51,51,-59.109835718845716,200,0.9493041681462656,False
52,52,-33.42067234420938,200,0.9483548639781193,False
53,53,-46.09548506232386,200,0.9474065091141411,False
54,54,-111.55089543781287,200,0.946459102605027,False
55,55,-119.37717886976316,200,0.9455126435024219,False
56,56,-64.03734433088175,200,0.9445671308589195,False
57,57,-77.22699209771235,200,0.9436225637280606,False
58,58,-59.74318749940721,200,0.9426789411643326,False
59,59,38.19662670866819,200,0.9417362622231683,False
60,60,-12.284952851769049,200,0.9407945259609451,False
61,61,-56.45610078804566,200,0.9398537314349842,False
62,62,-28.76268162872293,200,0.9389138777035492,False
63,63,-128.58529329787416,200,0.9379749638258457,False
64,64,-80.6004362540989,200,0.9370369888620198,False
65,65,-86.52415942506195,200,0.9360999518731578,False
66,66,-113.04277160561469,200,0.9351638519212846,False
67,67,-114.43471746358682,200,0.9342286880693633,False
68,68,0.9273170653614216,200,0.933294459381294,False
69,69,-33.35944514692528,200,0.9323611649219127,False
70,70,-31.02333197275584,200,0.9314288037569908,False
71,71,-135.3804043661512,200,0.9304973749532338,False
72,72,-66.75347908931144,200,0.9295668775782806,False
73,73,-66.73107276592418,200,0.9286373107007023,False
74,74,-116.34051158071088,200,0.9277086733900016,False
75,75,-27.810953755761147,200,0.9267809647166116,False
76,76,-0.6023426503816154,200,0.925854183751895,False
77,77,-72.76424194133142,200,0.9249283295681431,False
78,78,-59.07884701991861,200,0.9240034012385749,False
79,79,-111.6440093901474,200,0.9230793978373364,False
80,80,-119.34993892773491,200,0.9221563184394991,False
81,81,-46.192256843824,200,0.9212341621210596,False
82,82,-128.65596011351386,200,0.9203129279589385,False
83,83,44.967938812897046,200,0.9193926150309796,False
84,84,-61.628116240899544,200,0.9184732224159486,False
85,85,-34.90605581901036,200,0.9175547491935327,False
86,86,-101.78042729675099,200,0.9166371944443392,False
87,87,26.21728972735582,200,0.9157205572498949,False
88,88,-130.44563539715455,200,0.914804836692645,False
89,89,-5.610346482717432,200,0.9138900318559524,False
90,90,-143.53517583713256,200,0.9129761418240965,False
91,91,-42.59852374739239,200,0.9120631656822724,False
92,92,-27.034110165550373,200,0.9111511025165902,False
93,93,-100.88216049434777,200,0.9102399514140735,False
94,94,-51.08707829931518,200,0.9093297114626595,False
95,95,1.3830671880896261,200,0.9084203817511969,False
96,96,-29.333150573074818,200,0.9075119613694457,False
97,97,-94.11201850562065,200,0.9066044494080763,False
98,98,-129.4650666650341,200,0.9056978449586682,False
99,99,-48.21188717088489,200,0.9047921471137096,False
100,100,23.37053641822422,200,0.9038873549665959,False
101,101,-81.59355433745077,200,0.9029834676116293,False
102,102,-128.1033459925311,200,0.9020804841440176,False
103,103,-106.57905128664424,200,0.9011784036598737,False
104,104,-136.92841965794287,200,0.9002772252562138,False
105,105,-102.85912362596719,200,0.8993769480309576,False
106,106,-129.8337471247578,200,0.8984775710829266,False
107,107,-67.35016850598186,200,0.8975790935118436,False
108,108,-74.14803308565752,200,0.8966815144183318,False
109,109,-84.4375716084869,200,0.8957848329039134,False
110,110,-94.3840774743876,200,0.8948890480710096,False
111,111,-108.97816147808044,200,0.8939941590229386,False
112,112,-104.92317788448418,200,0.8931001648639156,False
113,113,-143.67561135150027,200,0.8922070646990518,False
114,114,-59.01421279704664,200,0.8913148576343527,False
115,115,24.609558295924217,200,0.8904235427767183,False
116,116,-99.12067328023113,200,0.8895331192339416,False
117,117,-50.13714542874368,200,0.8886435861147077,False
118,118,-65.73690221121069,200,0.887754942528593,False
