,episode,reward,epochs,epsilon,success
0,0,-1684.4498612310542,200,0.999,False
1,1,-1180.6628949501908,200,0.998001,False
2,2,-824.117191904503,200,0.997002999,False
3,3,-1007.6676397498029,200,0.996005996001,False
4,4,-1124.1842098996392,200,0.995009990004999,False
5,5,-1468.7913561927412,200,0.994014980014994,False
6,6,-677.2019616367884,200,0.993020965034979,False
7,7,-1281.8661633609906,200,0.9920279440699441,False
8,8,-1107.7290436380456,200,0.9910359161258742,False
9,9,-1647.1925981457464,200,0.9900448802097482,False
10,10,-1738.371499890269,200,0.9890548353295385,False
11,11,-1473.7241337224887,200,0.988065780494209,False
12,12,-882.904131212156,200,0.9870777147137147,False
13,13,-946.5673221582308,200,0.986090636999001,False
14,14,-1402.917484082021,200,0.9851045463620021,False
15,15,-867.3184864821374,200,0.98411944181564,False
16,16,-1311.1226869393092,200,0.9831353223738244,False
17,17,-1509.6651397831256,200,0.9821521870514506,False
18,18,-1056.168100192458,200,0.9811700348643991,False
19,19,-1280.021470155382,200,0.9801888648295347,False
20,20,-1085.3463768726645,200,0.9792086759647052,False
21,21,-830.4052577184958,200,0.9782294672887405,False
22,22,-1047.9619319104247,200,0.9772512378214517,False
23,23,-1693.4987829813203,200,0.9762739865836303,False
24,24,-991.94416246503,200,0.9752977125970467,False
25,25,-884.4491914954514,200,0.9743224148844496,False
26,26,-1158.6044687881556,200,0.9733480924695651,False
27,27,-971.2331127805942,200,0.9723747443770956,False
28,28,-989.5856703333702,200,0.9714023696327185,False
29,29,-862.5663022045084,200,0.9704309672630859,False
30,30,-1335.967791700059,200,0.9694605362958227,False
31,31,-1173.8903189109717,200,0.9684910757595269,False
32,32,-1143.712240869039,200,0.9675225846837673,False
33,33,-958.9100083782344,200,0.9665550620990835,False
34,34,-852.4626441592604,200,0.9655885070369844,False
35,35,-864.4968325107673,200,0.9646229185299474,False
36,36,-968.9280576307608,200,0.9636582956114175,False
37,37,-971.9578168961048,200,0.9626946373158061,False
38,38,-1147.995000886697,200,0.9617319426784903,False
39,39,-785.3299880331697,200,0.9607702107358118,False
40,40,-1003.4773642067096,200,0.959809440525076,False
41,41,-1599.09584237932,200,0.9588496310845509,False
42,42,-1458.90330794741,200,0.9578907814534664,False
43,43,-996.8887765600157,200,0.9569328906720129,False
44,44,-1065.973926499268,200,0.9559759577813409,False
