,success,times,rewards,steps
0,1,0.04253196716308594,10.0,10
1,1,0.057532310485839844,10.0,10
2,1,0.07153177261352539,9.0,9
3,1,0.09044766426086426,12.0,12
4,1,0.11745119094848633,12.0,12
5,1,0.151963472366333,13.0,13
6,1,0.1829667091369629,10.0,10
7,1,0.20519638061523438,10.0,10
8,1,0.228196382522583,11.0,11
9,1,0.245070219039917,8.0,8
10,1,0.26428866386413574,9.0,9
11,1,0.2843492031097412,9.0,9
12,1,0.3123509883880615,13.0,13
13,1,0.3338608741760254,12.0,12
14,1,0.355288028717041,11.0,11
15,1,0.3768033981323242,10.0,10
16,1,0.39679861068725586,9.0,9
17,1,0.41380834579467773,8.0,8
18,1,0.4298067092895508,8.0,8
19,1,0.45081162452697754,10.0,10
20,1,0.4741549491882324,11.0,11
21,1,0.5086641311645508,14.0,14
22,1,0.5454983711242676,10.0,10
23,1,0.5710475444793701,9.0,9
24,1,0.5960526466369629,10.0,10
25,1,0.6140484809875488,9.0,9
26,1,0.6350572109222412,10.0,10
27,1,0.6728312969207764,11.0,11
28,1,0.710148811340332,10.0,10
29,1,0.7301044464111328,9.0,9
30,1,0.753368616104126,10.0,10
31,1,0.7823824882507324,12.0,12
32,1,0.8024318218231201,9.0,9
33,1,0.8369591236114502,13.0,13
34,1,0.8556885719299316,9.0,9
35,1,0.8772683143615723,10.0,10
36,1,0.8970489501953125,10.0,10
37,1,0.9250516891479492,13.0,13
38,1,0.9437956809997559,10.0,10
39,1,0.9638032913208008,9.0,9
40,1,0.9838013648986816,11.0,11
41,1,1.0027976036071777,10.0,10
42,1,1.0254547595977783,10.0,10
43,1,1.0437748432159424,9.0,9
44,1,1.0632917881011963,10.0,10
45,1,1.086289882659912,11.0,11
46,1,1.1046667098999023,9.0,9
47,1,1.12166428565979,9.0,9
48,1,1.1411800384521484,10.0,10
49,1,1.159179925918579,9.0,9
50,1,1.1786985397338867,10.0,10
51,1,1.2027034759521484,12.0,12
52,1,1.219712734222412,9.0,9
53,1,1.241025686264038,9.0,9
54,1,1.2610416412353516,10.0,10
55,1,1.281637191772461,10.0,10
56,1,1.3036384582519531,10.0,10
57,1,1.3220598697662354,9.0,9
58,1,1.346458911895752,10.0,10
59,1,1.3837621212005615,14.0,14
60,1,1.4039299488067627,9.0,9
61,1,1.429443120956421,10.0,10
62,1,1.451965570449829,9.0,9
63,1,1.4702491760253906,9.0,9
64,1,1.488260269165039,9.0,9
65,1,1.513392686843872,11.0,11
66,1,1.5293996334075928,9.0,9
67,1,1.5493972301483154,10.0,10
68,1,1.5701990127563477,10.0,10
69,1,1.5927767753601074,9.0,9
70,1,1.6101765632629395,8.0,8
71,1,1.6375813484191895,11.0,11
72,1,1.664050817489624,10.0,10
73,1,1.6810529232025146,9.0,9
74,1,1.7030715942382812,10.0,10
75,1,1.731069803237915,12.0,12
76,1,1.7503976821899414,9.0,9
77,1,1.77339506149292,10.0,10
78,1,1.7926952838897705,9.0,9
79,1,1.8184521198272705,10.0,10
80,1,1.8443922996520996,11.0,11
81,1,1.8738632202148438,12.0,12
82,1,1.8972558975219727,11.0,11
83,1,1.923259973526001,10.0,10
84,1,1.9412641525268555,9.0,9
85,1,1.9644036293029785,11.0,11
86,1,1.9861857891082764,11.0,11
87,1,2.008185386657715,11.0,11
88,1,2.0295305252075195,9.0,9
89,1,2.050532817840576,10.0,10
90,1,2.070798397064209,10.0,10
91,1,2.088801622390747,9.0,9
92,1,2.1118268966674805,10.0,10
93,1,2.129826307296753,10.0,10
94,1,2.1513402462005615,10.0,10
95,1,2.1700046062469482,9.0,9
96,1,2.191019296646118,9.0,9
97,1,2.2132885456085205,9.0,9
98,1,2.232337474822998,9.0,9
99,1,2.251980781555176,9.0,9
100,1,2.2744932174682617,10.0,10
101,1,2.2934913635253906,9.0,9
102,1,2.3139960765838623,9.0,9
103,1,2.3399922847747803,12.0,12
104,1,2.3539958000183105,8.0,8
105,1,2.3759918212890625,9.0,9
106,1,2.393336057662964,9.0,9
107,1,2.4136829376220703,10.0,10
108,1,2.4352478981018066,10.0,10
109,1,2.4520819187164307,8.0,8
110,1,2.472086191177368,10.0,10
111,1,2.490086078643799,9.0,9
112,1,2.5120949745178223,10.0,10
113,1,2.534229278564453,9.0,9
114,1,2.5541515350341797,9.0,9
115,1,2.583540201187134,11.0,11
116,1,2.6039395332336426,10.0,10
117,1,2.626870632171631,10.0,10
118,1,2.6501832008361816,10.0,10
119,1,2.6732730865478516,11.0,11
120,1,2.6926608085632324,9.0,9
121,1,2.7106597423553467,10.0,10
122,1,2.7281734943389893,8.0,8
123,1,2.749176502227783,10.0,10
124,1,2.7671804428100586,9.0,9
125,1,2.7831828594207764,8.0,8
126,1,2.8040263652801514,9.0,9
127,1,2.829026460647583,12.0,12
128,1,2.85003662109375,9.0,9
129,1,2.876171112060547,11.0,11
130,1,2.898157835006714,11.0,11
131,1,2.9149019718170166,9.0,9
132,1,2.9336843490600586,9.0,9
133,1,2.9647812843322754,14.0,14
134,1,2.9882988929748535,10.0,10
135,1,3.002389907836914,8.0,8
136,1,3.024909257888794,10.0,10
137,1,3.0509092807769775,11.0,11
138,1,3.0709781646728516,10.0,10
139,1,3.093888282775879,11.0,11
140,1,3.116259813308716,11.0,11
141,1,3.1390507221221924,10.0,10
142,1,3.161414384841919,10.0,10
143,1,3.180938959121704,9.0,9
144,1,3.1979541778564453,8.0,8
145,1,3.2160067558288574,9.0,9
146,1,3.2345738410949707,9.0,9
147,1,3.2647175788879395,13.0,13
148,1,3.2822704315185547,9.0,9
149,1,3.301037311553955,10.0,10
150,1,3.317913293838501,8.0,8
151,1,3.3362176418304443,9.0,9
152,1,3.356731414794922,10.0,10
153,1,3.3759167194366455,10.0,10
154,1,3.3983354568481445,10.0,10
155,1,3.4161365032196045,9.0,9
156,1,3.441340208053589,11.0,11
157,1,3.467616558074951,12.0,12
158,1,3.4933559894561768,10.0,10
159,1,3.5173494815826416,9.0,9
160,1,3.5378479957580566,10.0,10
161,1,3.5588622093200684,10.0,10
162,1,3.577409029006958,9.0,9
163,1,3.601198196411133,11.0,11
164,1,3.6202011108398438,9.0,9
165,1,3.6421985626220703,10.0,10
166,1,3.657195806503296,8.0,8
167,1,3.6831891536712646,13.0,13
168,1,3.702967405319214,8.0,8
169,1,3.7249739170074463,11.0,11
170,1,3.7504918575286865,11.0,11
171,1,3.7752106189727783,9.0,9
172,1,3.797701597213745,11.0,11
173,1,3.8183510303497314,10.0,10
174,1,3.838348388671875,10.0,10
175,1,3.8593454360961914,9.0,9
176,1,3.881347179412842,11.0,11
177,1,3.8993468284606934,9.0,9
178,1,3.9241042137145996,12.0,12
179,1,3.946621894836426,11.0,11
180,1,3.966403007507324,9.0,9
181,1,3.9820518493652344,8.0,8
182,1,4.000699043273926,9.0,9
183,1,4.02148175239563,10.0,10
184,1,4.036009073257446,8.0,8
185,1,4.058903217315674,10.0,10
186,1,4.076066732406616,9.0,9
187,1,4.094710111618042,10.0,10
188,1,4.11757493019104,11.0,11
189,1,4.137932777404785,10.0,10
190,1,4.158450603485107,10.0,10
191,1,4.177768230438232,9.0,9
192,1,4.19527792930603,9.0,9
193,1,4.21027946472168,8.0,8
194,1,4.228278875350952,9.0,9
195,1,4.2489495277404785,9.0,9
196,1,4.267586708068848,10.0,10
197,1,4.284104347229004,8.0,8
198,1,4.30811071395874,11.0,11
199,1,4.33343243598938,10.0,10
200,1,4.359320878982544,10.0,10
201,1,4.386045455932617,10.0,10
202,1,4.407500267028809,10.0,10
203,1,4.430450201034546,11.0,11
204,1,4.449971675872803,10.0,10
