,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,-547.3567694134981,62,0.999,256,0.0,False
1,2,-646.820918063848,91,0.998001,256,0.0,False
2,3,-111.18600401442217,57,0.997002999,256,0.0,False
3,4,-206.89614464022515,90,0.996005996001,256,0.0,False
4,5,-604.6788653469231,86,0.995009990004999,256,0.0,False
5,6,-151.09513679388508,111,0.994014980014994,256,0.0,False
6,7,-629.4524472933198,134,0.993020965034979,256,0.0,False
7,8,-585.3776509531772,62,0.9920279440699441,256,0.0,False
8,9,-383.0071268081714,61,0.9910359161258742,256,0.0,False
9,10,-547.7291740827753,64,0.9900448802097482,256,0.0,False
10,11,-132.0401763976296,66,0.9890548353295385,256,0.0,False
11,12,-105.58550870767476,81,0.988065780494209,256,0.0,False
12,13,-126.11963737861143,51,0.9870777147137147,256,0.0,False
13,14,-360.12358818421063,52,0.986090636999001,256,0.0,False
14,15,-227.20937117406987,107,0.9851045463620021,256,0.0,False
15,16,-141.4341459487457,64,0.98411944181564,256,0.0,False
16,17,-125.52108281986372,79,0.9831353223738244,256,0.0,False
17,18,-105.75366448745487,69,0.9821521870514506,256,0.0,False
18,19,-108.16445953115911,62,0.9811700348643991,256,0.0,False
19,20,-523.9559431103203,58,0.9801888648295347,256,0.0,False
20,21,28.116122301230646,63,0.9792086759647052,256,0.0,False
21,22,-115.74442162589625,89,0.9782294672887405,256,0.0,False
22,23,-551.6806173787876,59,0.9772512378214517,256,0.0,False
23,24,-708.5608359574826,78,0.9762739865836303,256,0.0,False
24,25,-99.50708771572017,54,0.9752977125970467,256,0.0,False
25,26,-137.9277995433644,55,0.9743224148844496,256,0.0,False
26,27,-168.7554377130988,77,0.9733480924695651,256,0.0,False
27,28,-424.9704939239085,51,0.9723747443770956,256,0.0,False
28,29,-624.2022906029324,65,0.9714023696327185,256,0.0,False
29,30,-489.60438434408906,57,0.9704309672630859,256,0.0,False
30,31,-127.41466871726863,83,0.9694605362958227,256,0.0,False
31,32,-210.52892361053122,92,0.9684910757595269,256,0.0,False
32,33,-137.6046663624832,61,0.9675225846837673,256,0.0,False
