,episode,reward,epochs,epsilon,abs_size,rate,success
0,1,-1636.0300743640666,200,0.999,8,0.0,False
1,2,-1037.1648262351366,200,0.998001,8,0.0,False
2,3,-1127.464873486406,200,0.997002999,8,0.0,False
3,4,-1135.944010288441,200,0.996005996001,8,0.0,False
4,5,-1110.6877235386462,200,0.995009990004999,8,0.0,False
5,6,-959.5946092604826,200,0.994014980014994,8,0.0,False
6,7,-1068.531898456692,200,0.993020965034979,8,0.0,False
7,8,-1308.0403914643528,200,0.9920279440699441,8,0.0,False
8,9,-1396.9320481821258,200,0.9910359161258742,8,0.0,False
9,10,-1177.6060702773552,200,0.9900448802097482,8,0.0,False
10,11,-1598.5600122334026,200,0.9890548353295385,8,0.0,False
11,12,-341.13942431342514,200,0.988065780494209,8,0.083,True
12,13,-1261.5345421181598,200,0.9870777147137147,8,0.077,False
13,14,-1129.10124849569,200,0.986090636999001,8,0.071,False
14,15,-1324.8209984039258,200,0.9851045463620021,8,0.067,False
15,16,-1166.7869016096865,200,0.98411944181564,8,0.062,False
16,17,-933.6543919506818,200,0.9831353223738244,8,0.059,False
17,18,-1540.9610710100833,200,0.9821521870514506,8,0.056,False
18,19,-1687.607040737941,200,0.9811700348643991,8,0.053,False
19,20,-1441.0125505952278,200,0.9801888648295347,8,0.05,False
20,21,-1014.1650888878715,200,0.9792086759647052,8,0.048,False
21,22,-1554.2814734222325,200,0.9782294672887405,8,0.045,False
22,23,-1064.6481147957015,200,0.9772512378214517,8,0.043,False
23,24,-1446.871627345722,200,0.9762739865836303,8,0.042,False
24,25,-1409.7260796860703,200,0.9752977125970467,8,0.04,False
25,26,-1366.9929424607515,200,0.9743224148844496,8,0.038,False
26,27,-1544.385117947356,200,0.9733480924695651,8,0.037,False
27,28,-982.3916643090258,200,0.9723747443770956,8,0.036,False
28,29,-1528.1827345684467,200,0.9714023696327185,8,0.034,False
29,30,-1132.2256230810285,200,0.9704309672630859,8,0.033,False
30,31,-1248.5819857606755,200,0.9694605362958227,8,0.032,False
31,32,-1509.1844728436981,200,0.9684910757595269,8,0.031,False
32,33,-1204.0930750489474,200,0.9675225846837673,8,0.03,False
33,34,-1069.9296394576213,200,0.9665550620990835,8,0.029,False
34,35,-1073.6121239494848,200,0.9655885070369844,8,0.029,False
35,36,-1091.2932795866534,200,0.9646229185299474,8,0.028,False
36,37,-1354.5590396267942,200,0.9636582956114175,8,0.027,False
37,38,-1294.9960151601972,200,0.9626946373158061,8,0.026,False
38,39,-1301.2842857208204,200,0.9617319426784903,8,0.026,False
39,40,-1077.456338842102,200,0.9607702107358118,8,0.025,False
40,41,-1479.9295287698353,200,0.959809440525076,8,0.024,False
41,42,-1445.947444893981,200,0.9588496310845509,8,0.024,False
42,43,-1123.417863880014,200,0.9578907814534664,8,0.023,False
43,44,-1453.3603610773052,200,0.9569328906720129,8,0.023,False
44,45,-1196.1123980969394,200,0.9559759577813409,8,0.022,False
45,46,-1470.3438917331705,200,0.9550199818235596,8,0.022,False
46,47,-1574.8627113366967,200,0.9540649618417361,8,0.021,False
47,48,-1254.1906509603014,200,0.9531108968798944,8,0.021,False
48,49,-1098.9056836495142,200,0.9521577859830145,8,0.02,False
49,50,-1590.7898860199987,200,0.9512056281970315,8,0.02,False
50,51,-1487.1779786450734,200,0.9502544225688344,8,0.02,False
51,52,-1273.5933699086377,200,0.9493041681462656,8,0.019,False
52,53,-1670.227367675547,200,0.9483548639781193,8,0.019,False
53,54,-1057.1721523531387,200,0.9474065091141411,8,0.019,False
54,55,-1589.8991667377577,200,0.946459102605027,8,0.018,False
55,56,-979.9308999453926,200,0.9455126435024219,8,0.018,False
56,57,-998.7201023102856,200,0.9445671308589195,8,0.018,False
57,58,-1399.2032466426972,200,0.9436225637280606,8,0.017,False
58,59,-1496.8701182010586,200,0.9426789411643326,8,0.017,False
59,60,-1087.592979530171,200,0.9417362622231683,8,0.017,False
60,61,-885.271541535144,200,0.9407945259609451,8,0.016,False
61,62,-1153.7408958859432,200,0.9398537314349842,8,0.016,False
62,63,-1063.6698156161247,200,0.9389138777035492,8,0.016,False
63,64,-1455.7872499043303,200,0.9379749638258457,8,0.016,False
64,65,-1457.7149739847646,200,0.9370369888620198,8,0.015,False
65,66,-1528.7567372890746,200,0.9360999518731578,8,0.015,False
66,67,-1440.2948214293287,200,0.9351638519212846,8,0.015,False
67,68,-1095.3630603884703,200,0.9342286880693633,8,0.015,False
68,69,-1004.5279236151767,200,0.933294459381294,8,0.014,False
69,70,-1144.824204011929,200,0.9323611649219127,8,0.014,False
70,71,-1602.4035061826285,200,0.9314288037569908,8,0.014,False
71,72,-1549.25329894727,200,0.9304973749532338,8,0.014,False
72,73,-1498.7676243900348,200,0.9295668775782806,8,0.014,False
73,74,-1325.6026615406433,200,0.9286373107007023,8,0.014,False
74,75,-1501.6006377701017,200,0.9277086733900016,8,0.013,False
75,76,-1047.4482285926974,200,0.9267809647166116,8,0.013,False
76,77,-1123.084627008521,200,0.925854183751895,8,0.013,False
77,78,-1035.8546439149177,200,0.9249283295681431,8,0.013,False
78,79,-1178.5758823593847,200,0.9240034012385749,8,0.013,False
79,80,-1270.052581810442,200,0.9230793978373364,8,0.013,False
80,81,-1455.6117496758975,200,0.9221563184394991,8,0.012,False
81,82,-1517.6426582423835,200,0.9212341621210596,8,0.012,False
82,83,-1448.7753010048561,200,0.9203129279589385,8,0.012,False
83,84,-1439.4393256776686,200,0.9193926150309796,8,0.012,False
84,85,-1014.913693973229,200,0.9184732224159486,8,0.012,False
85,86,-1172.479803814974,200,0.9175547491935327,8,0.012,False
86,87,-1102.25196589447,200,0.9166371944443392,8,0.011,False
87,88,-870.0083874853425,200,0.9157205572498949,8,0.011,False
88,89,-1441.3261185509182,200,0.914804836692645,8,0.011,False
89,90,-1325.1286653581933,200,0.9138900318559524,8,0.011,False
90,91,-477.2095222802586,200,0.9129761418240965,8,0.022,True
91,92,-1374.7647915066616,200,0.9120631656822724,8,0.022,False
92,93,-1493.2330841963865,200,0.9111511025165902,8,0.022,False
93,94,-1286.6218299626828,200,0.9102399514140735,8,0.021,False
94,95,-1315.9659398285662,200,0.9093297114626595,8,0.021,False
95,96,-1030.4060080680545,200,0.9084203817511969,8,0.021,False
96,97,-1013.2555481937741,200,0.9075119613694457,8,0.021,False
97,98,-899.3917833566813,200,0.9066044494080763,8,0.02,False
98,99,-1703.4020011830028,200,0.9056978449586682,8,0.02,False
99,100,-1187.3347736214062,200,0.9047921471137096,8,0.02,False
100,201,-1446.6294654695807,200,0.9038873549665959,22,0.0,False
101,202,-1475.6594998287756,200,0.9029834676116293,22,0.0,False
102,203,-1080.471302836196,200,0.9020804841440176,22,0.0,False
103,204,-1072.2832671239405,200,0.9011784036598737,22,0.0,False
104,205,-980.8179977851426,200,0.9002772252562138,22,0.0,False
105,206,-1041.2841274085254,200,0.8993769480309576,22,0.0,False
106,207,-1066.1171441076626,200,0.8984775710829266,22,0.0,False
107,208,-995.1625002026457,200,0.8975790935118436,22,0.0,False
108,209,-1084.7449537297641,200,0.8966815144183318,22,0.0,False
109,210,-1537.2154103279536,200,0.8957848329039134,22,0.0,False
110,211,-1338.466329924542,200,0.8948890480710096,22,0.0,False
111,212,-1566.9447383672543,200,0.8939941590229386,22,0.0,False
112,213,-1004.1320278732186,200,0.8931001648639156,22,0.0,False
113,214,-1448.1773975311733,200,0.8922070646990518,22,0.0,False
114,215,-1637.8995282887365,200,0.8913148576343527,22,0.0,False
115,216,-1286.8513285082129,200,0.8904235427767183,22,0.0,False
116,217,-1507.6766335481975,200,0.8895331192339416,22,0.0,False
117,218,-1018.906167941444,200,0.8886435861147077,22,0.0,False
118,219,-1089.2559838289385,200,0.887754942528593,22,0.0,False
119,220,-1318.8193267631748,200,0.8868671875860644,22,0.0,False
120,221,-1598.7310073169542,200,0.8859803203984784,22,0.0,False
121,222,-1469.0071472003906,200,0.88509434007808,22,0.0,False
122,223,-1484.9043922967194,200,0.8842092457380019,22,0.0,False
123,224,-1541.2193775503777,200,0.8833250364922639,22,0.0,False
124,225,-776.0112753537916,200,0.8824417114557717,22,0.0,False
125,226,-1613.4341535674107,200,0.8815592697443159,22,0.0,False
126,227,-1439.5491127295059,200,0.8806777104745716,22,0.0,False
127,228,-1044.8038593937426,200,0.8797970327640969,22,0.0,False
128,229,-757.03521042924,200,0.8789172357313328,22,0.0,False
129,230,-1159.718424642407,200,0.8780383184956015,22,0.0,False
130,231,-1167.1560754022962,200,0.8771602801771059,22,0.0,False
131,232,-1450.1981380735058,200,0.8762831198969288,22,0.0,False
132,233,-1432.9096135446475,200,0.8754068367770318,22,0.0,False
133,234,-976.1151186114544,200,0.8745314299402548,22,0.0,False
134,235,-1567.482020110781,200,0.8736568985103146,22,0.0,False
135,236,-995.3674961602965,200,0.8727832416118043,22,0.0,False
136,237,-1600.953185677923,200,0.8719104583701925,22,0.0,False
137,238,-1532.675847265283,200,0.8710385479118223,22,0.0,False
138,239,-1384.7478595527566,200,0.8701675093639105,22,0.0,False
139,240,-1278.6839307733867,200,0.8692973418545467,22,0.0,False
140,241,-1120.6687458404056,200,0.8684280445126921,22,0.0,False
141,242,-1493.1645534324605,200,0.8675596164681794,22,0.0,False
142,243,-1403.0689731363977,200,0.8666920568517111,22,0.0,False
143,244,-1641.491429227972,200,0.8658253647948594,22,0.0,False
144,245,-1045.7662979000995,200,0.8649595394300645,22,0.0,False
145,246,-855.6479548667547,200,0.8640945798906344,22,0.0,False
146,247,-764.9832578118827,200,0.8632304853107438,22,0.0,False
147,248,-1572.1045576092044,200,0.862367254825433,22,0.0,False
148,249,-898.9990901002307,200,0.8615048875706075,22,0.0,False
149,250,-1641.9966442202294,200,0.8606433826830369,22,0.0,False
150,251,-1359.3905388966186,200,0.8597827393003539,22,0.0,False
151,252,-986.7894826760768,200,0.8589229565610536,22,0.0,False
152,253,-1183.5926398303955,200,0.8580640336044925,22,0.0,False
153,254,-1280.338886674406,200,0.857205969570888,22,0.0,False
154,255,-1174.6693129951825,200,0.8563487636013172,22,0.0,False
155,256,-1160.4464739195628,200,0.8554924148377159,22,0.0,False
156,257,-1186.7899878337284,200,0.8546369224228781,22,0.0,False
157,258,-868.3229500809226,200,0.8537822855004553,22,0.0,False
158,259,-1652.2609674458959,200,0.8529285032149548,22,0.0,False
159,260,-1430.5445430343311,200,0.8520755747117399,22,0.0,False
160,261,-1242.5581186076734,200,0.8512234991370281,22,0.0,False
161,262,-1134.4260355631857,200,0.8503722756378911,22,0.0,False
162,263,-1627.42276714152,200,0.8495219033622532,22,0.0,False
163,264,-1581.3591829207048,200,0.8486723814588909,22,0.0,False
